Year Water_Delivered Annual_Recovery Evaporation_Transpiration_Losses Cut_to_Aquifer Other_Losses LTS_Credits_Recovered LTS_Credits_Extinguished Other_Adjustment
1989 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1990 296.10 0.00 0.00 14.81 0.00 0.00 0.00 0.00
1991 24.90 0.00 0.00 1.24 0.00 0.00 0.00 0.00
1992 82803.00 0.00 54.00 4137.45 0.00 0.00 0.00 0.00
1993 128006.47 0.00 55.00 6335.00 628.64 0.00 0.00 0.00
1994 52713.51 0.00 383.24 2616.50 0.00 2829.92 0.00 0.00
1995 120424.42 0.00 826.19 5946.37 670.76 2.88 0.00 0.00
1996 179497.55 0.00 443.22 8952.72 1236.50 537.59 199.70 0.00
1997 305345.16 0.00 319.63 15251.28 1170.50 159.78 0.00 0.00
1998 177739.87 0.00 941.41 8704.62 2706.03 0.00 0.00 0.00
1999 285606.20 0.00 822.13 14237.41 1355.91 416.28 42.00 0.00
2000 304969.72 8486.88 1318.28 14421.32 1595.94 15243.19 413.85 0.00
2001 313795.99 13768.35 1118.50 14933.41 1560.88 16682.51 3966.72 0.00
2002 304470.29 30092.49 1303.00 13650.09 1590.22 8036.89 3328.24 0.00
2003 268972.66 30010.01 1299.55 11869.26 1704.94 3097.69 15031.24 0.00
2004 360141.14 31743.08 1740.86 15794.29 6847.49 523.37 472.42 0.00
2005 205361.47 32616.51 1101.96 7646.90 1935.52 4932.97 544.83 0.00
2006 336714.59 33801.83 1550.40 13930.72 1973.88 1965.68 0.00 0.00
2007 388885.68 42644.10 2212.99 15477.01 596.60 8417.72 0.00 0.00
2008 325341.85 49748.46 1401.98 11306.16 358.27 9094.35 29012.27 0.00
2009 409295.71 47226.72 1764.83 15820.30 126.72 10009.72 14733.89 0.00
2010 343896.41 26708.64 1800.02 13945.60 3025.60 7137.47 1264.05 0.00
2011 332030.86 38875.43 1575.54 12675.71 119.48 10208.01 1477.85 0.00
2012 247603.77 34600.63 823.29 9067.61 0.00 14454.96 1521.00 0.00
2013 273992.42 37908.35 695.48 9663.96 0.00 16550.76 0.00 0.00
2014 317789.39 46036.00 1075.63 11494.93 0.07 12242.35 0.00 0.00
2015 367657.89 49326.66 1042.97 13687.97 0.00 8745.34 0.00 0.00
2016 355896.83 63998.31 1143.91 12202.08 497.70 2861.70 0.00 0.00
2017 312203.51 67796.35 1207.87 10559.06 0.00 9636.73 0.00 0.00
2018 357680.61 41587.53 1281.94 13779.27 0.00 14123.26 0.00 0.00
2019 314963.84 30872.13 1368.75 12906.08 4.10 21431.59 0.00 0.00
2020 357636.64 50760.71 1696.80 14229.43 0.00 5140.36 0.00 160.13
2021 294465.63 34835.64 1514.80 11346.86 0.00 21784.82 0.00 0.00
2022 228539.73 41032.53 1379.56 7710.61 0.00 5306.92 0.00 128.74
2023 159989.69 30219.68 1130.83 4765.45 0.00 24516.55 0.00 120.47
Total 8814753.50 914697.02 36394.56 359081.48 29705.75 256091.36 72008.06 409.34
