Year Water_Delivered Annual_Recovery Evaporation_Transpiration_Losses Cut_to_Aquifer Other_Losses LTS_Credits_Recovered LTS_Credits_Extinguished Other_Adjustment
1989 0.00 0.00 0.00 0.00 0.00 0.00 0 0
1990 0.00 0.00 0.00 0.00 0.00 0.00 0 0
1991 0.00 0.00 0.00 0.00 0.00 0.00 0 0
1992 163364.00 0.00 0.00 8168.20 0.00 0.00 0 0
1993 228599.00 0.00 0.00 11429.95 0.00 0.00 0 0
1994 0.00 0.00 0.00 0.00 0.00 0.00 0 0
1995 45070.53 0.00 0.00 2253.53 0.00 0.00 0 0
1996 59706.86 0.00 75.41 2981.57 0.00 0.00 0 0
1997 159510.00 0.00 3816.00 7650.75 2679.00 325.00 0 0
1998 77754.00 0.00 1993.30 3887.73 0.00 574.00 0 0
1999 71343.00 0.00 1728.00 3480.75 0.00 600.00 0 0
2000 101455.82 0.00 2535.00 4946.04 0.00 600.00 0 0
2001 117343.00 0.00 3526.87 5690.81 0.00 600.00 0 0
2002 155318.20 0.00 4515.00 7540.15 0.00 872.00 0 0
2003 47934.50 0.00 941.25 2349.69 0.00 259.36 0 0
2004 60121.00 0.00 1630.72 2924.21 0.00 999.63 0 0
2005 109871.00 0.00 3594.15 5313.84 0.00 0.00 0 0
2006 148069.00 0.00 4011.31 7195.40 176.17 302.00 0 0
2007 198286.00 0.00 4949.05 9662.91 0.00 10998.00 0 0
2008 151012.00 0.00 3346.15 7383.00 587.79 27465.00 5883 0
2009 116639.00 0.00 2340.10 5695.92 0.00 28217.00 0 0
2010 138867.00 0.00 2812.40 6795.60 0.00 8159.00 0 0
2011 220319.00 0.00 3514.71 10826.04 0.00 3367.00 0 0
2012 210328.00 0.00 3697.22 10309.86 0.00 0.00 0 0
2013 130820.00 0.00 2453.69 6407.06 0.00 0.00 0 0
2014 103133.00 0.00 1636.04 5055.89 1.56 0.00 0 0
2015 81079.00 4896.97 1663.83 3725.66 285.15 344.20 0 0
2016 101655.00 5881.09 2023.55 4679.68 800.72 228.29 0 0
2017 113607.00 6836.68 2749.17 5201.06 0.00 562.90 0 0
2018 170940.92 8006.56 2655.00 8013.96 107.51 521.60 0 0
2019 70991.60 8095.70 1328.97 3078.35 0.00 557.41 0 0
2020 101348.44 8250.47 2093.65 4550.21 0.00 11070.96 0 0
2021 69177.00 7956.74 1121.08 3004.96 0.00 15518.81 0 0
2022 74674.00 8049.89 1455.61 3258.42 0.00 13496.24 0 0
Total 3598336.87 57974.10 68207.23 173461.20 4637.90 125638.40 5883 0
