Year Water_Delivered Annual_Recovery Evaporation_Transpiration_Losses Cut_to_Aquifer Other_Losses LTS_Credits_Recovered LTS_Credits_Extinguished Other_Adjustment
1989 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1990 296.10 0.00 0.00 14.81 0.00 0.00 0.00 0.00
1991 24.90 0.00 0.00 1.24 0.00 0.00 0.00 0.00
1992 246167.00 0.00 54.00 12305.65 0.00 0.00 0.00 0.00
1993 361902.57 0.00 55.00 17764.95 628.64 0.00 0.00 0.00
1994 56301.11 0.00 383.24 2616.50 0.00 2829.92 0.00 0.00
1995 175631.95 0.00 826.19 8199.90 670.76 2.88 0.00 0.00
1996 258828.51 0.00 537.80 13647.86 1236.50 537.59 199.70 0.00
1997 497713.66 0.00 4225.93 24540.44 3849.50 484.78 0.00 0.00
1998 302300.30 0.00 3202.06 14919.30 2706.03 574.00 0.00 0.00
1999 412204.83 0.00 2863.06 20465.30 1826.91 3956.88 42.00 0.00
2000 480084.08 8486.88 4185.16 23033.69 1595.94 22250.89 413.85 0.00
2001 513015.68 30975.35 5009.75 23839.48 1560.88 22926.81 3992.72 0.00
2002 556924.19 48707.19 6344.34 25089.97 1590.22 15601.09 9998.24 0.00
2003 437106.26 71371.31 3270.72 18109.35 1704.94 12795.55 21475.94 0.00
2004 563498.84 88058.28 4630.37 23001.64 6908.10 10388.68 7724.42 0.00
2005 469926.47 94175.11 5929.11 17476.10 1968.01 14334.79 5607.83 0.00
2006 630655.59 96204.58 6858.71 25200.96 2197.12 11740.66 5586.00 0.00
2007 753878.68 135931.83 8541.57 28456.29 666.03 33823.28 49867.21 0.00
2008 676453.85 145154.83 6773.36 23780.36 996.59 44700.82 79414.07 0.00
2009 724999.71 145898.24 6505.93 26428.53 155.72 53767.22 14733.89 0.00
2010 704689.41 126124.67 7443.59 26584.47 3135.94 29964.12 1264.05 0.00
2011 756790.86 151270.52 7705.28 27813.06 182.98 14966.46 1477.85 0.00
2012 680579.77 143781.37 7325.62 24821.51 5.70 18030.02 1521.00 0.00
2013 616978.42 145317.87 6028.93 20841.75 0.00 18138.72 0.00 0.00
2014 636614.39 153012.62 5459.67 21618.82 1.63 13484.31 0.00 0.00
2015 664561.89 160057.45 5393.43 22569.31 285.15 9500.22 0.00 0.00
2016 666331.83 174580.18 5999.59 21755.07 1298.42 6282.42 0.00 0.00
2017 638395.51 182952.76 6603.86 20672.01 3.96 16657.35 0.00 0.00
2018 751167.69 159069.47 6581.25 27188.29 107.51 15049.78 0.00 0.00
2019 610414.44 143470.22 4808.90 21718.07 4.10 22977.73 0.00 0.00
2020 705385.08 170784.71 6025.18 25339.49 0.00 17372.47 0.00 162.21
2021 602508.63 155443.76 5130.07 20438.48 0.00 38249.37 0.00 0.00
2022 482464.73 166229.05 4873.16 13862.92 0.00 19921.45 0.00 128.74
Total 16634796.93 2897058.25 149574.83 644115.57 35287.28 491310.26 203318.77 290.95
