Year Water_Delivered Annual_Recovery Evaporation_Transpiration_Losses Cut_to_Aquifer Other_Losses LTS_Credits_Recovered LTS_Credits_Extinguished Other_Adjustment
1989 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1990 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1991 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1992 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1993 5297.10 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1994 3587.60 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1995 10137.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1996 19624.10 0.00 19.17 1713.57 0.00 0.00 0.00 0.00
1997 32858.50 0.00 90.30 1638.41 0.00 0.00 0.00 0.00
1998 46806.43 0.00 267.35 2326.95 0.00 0.00 0.00 0.00
1999 55255.63 0.00 312.93 2747.14 471.00 2940.60 0.00 0.00
2000 73658.54 0.00 331.88 3666.33 0.00 6407.70 0.00 0.00
2001 81876.69 17207.00 364.38 3215.27 0.00 5644.30 26.00 0.00
2002 97135.70 18614.70 526.34 3899.73 0.00 6692.20 6670.00 0.00
2003 120199.10 41361.30 1029.92 3890.39 0.00 9438.50 6444.70 0.00
2004 143236.70 56315.20 1258.79 4283.14 60.61 8865.68 7252.00 0.00
2005 154694.00 61558.60 1233.00 4515.36 32.49 9401.82 5063.00 0.00
2006 145872.00 62402.75 1297.00 4074.84 47.07 9472.98 5586.00 0.00
2007 166707.00 93287.73 1379.53 3316.37 69.43 14407.56 49867.21 0.00
2008 200100.00 95406.37 2025.23 5091.20 50.53 8141.47 44518.80 0.00
2009 199065.00 98671.52 2401.00 4912.31 29.00 15540.50 0.00 0.00
2010 221926.00 99416.03 2831.17 5843.27 110.34 14667.65 0.00 0.00
2011 204441.00 112395.09 2615.03 4311.31 63.50 1391.45 0.00 0.00
2012 222648.00 109180.74 2805.11 5444.04 5.70 3575.06 0.00 0.00
2013 212166.00 107409.52 2879.76 4770.73 0.00 1587.96 0.00 0.00
2014 215692.00 106976.62 2748.00 5068.00 0.00 1241.96 0.00 0.00
2015 215825.00 105833.82 2686.63 5155.68 0.00 410.68 0.00 0.00
2016 208780.00 104700.78 2832.13 4873.31 0.00 3192.43 0.00 0.00
2017 212585.00 108319.73 2646.82 4911.89 3.96 6457.72 0.00 0.00
2018 222546.16 109475.38 2644.31 5395.06 0.00 404.92 0.00 0.00
2019 224459.00 104502.39 2111.18 5733.64 0.00 988.73 0.00 0.00
2020 246400.00 111773.53 2234.73 6559.85 0.00 1161.15 0.00 2.08
2021 238866.00 112651.38 2494.19 6086.66 0.00 945.74 0.00 0.00
2022 179251.00 117146.63 2037.99 2893.89 0.00 1118.29 0.00 0.00
Total 4381696.25 1954606.81 46103.87 116338.34 943.63 134097.05 125427.71 2.08
