Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3120,3117.09,0.01,0.04
3120.01,3117.1,0.01,0.04
3120.02,3117.11,0.01,0.04
3120.03,3117.12,0.01,0.04
3120.04,3117.13,0.01,0.04
3120.05,3117.14,0.01,0.04
3120.06,3117.15,0.01,0.04
3120.07,3117.16,0.01,0.04
3120.08,3117.17,0.01,0.04
3120.09,3117.18,0.01,0.04
3120.1,3117.19,0.01,0.04
3120.11,3117.2,0.01,0.04
3120.12,3117.21,0.01,0.04
3120.13,3117.22,0.01,0.04
3120.14,3117.23,0.01,0.04
3120.15,3117.24,0.01,0.04
3120.16,3117.25,0.01,0.04
3120.17,3117.26,0.01,0.04
3120.18,3117.27,0.01,0.04
3120.19,3117.28,0.01,0.04
3120.2,3117.29,0.01,0.04
3120.21,3117.3,0.01,0.04
3120.22,3117.31,0.01,0.04
3120.23,3117.32,0.01,0.04
3120.24,3117.33,0.01,0.04
3120.25,3117.34,0.01,0.04
3120.26,3117.35,0.01,0.04
3120.27,3117.36,0.01,0.04
3120.28,3117.37,0.01,0.04
3120.29,3117.38,0.01,0.04
3120.3,3117.39,0.01,0.04
3120.31,3117.4,0.01,0.04
3120.32,3117.41,0.01,0.04
3120.33,3117.42,0.01,0.04
3120.34,3117.43,0.01,0.04
3120.35,3117.44,0.01,0.04
3120.36,3117.45,0.01,0.04
3120.37,3117.46,0.01,0.04
3120.38,3117.47,0.01,0.04
3120.39,3117.48,0.01,0.04
3120.4,3117.49,0.01,0.04
3120.41,3117.5,0.01,0.04
3120.42,3117.51,0.01,0.04
3120.43,3117.52,0.01,0.04
3120.44,3117.53,0.01,0.04
3120.45,3117.54,0.01,0.04
3120.46,3117.55,0.01,0.04
3120.47,3117.56,0.01,0.04
3120.48,3117.57,0.01,0.04
3120.49,3117.58,0.01,0.04
3120.5,3117.59,0.01,0.04
3120.51,3117.6,0.01,0.04
3120.52,3117.61,0.01,0.04
3120.53,3117.62,0.01,0.04
3120.54,3117.63,0.01,0.05
3120.55,3117.64,0.01,0.05
3120.56,3117.65,0.01,0.05
3120.57,3117.66,0.01,0.05
3120.58,3117.67,0.01,0.05
3120.59,3117.68,0.01,0.05
3120.6,3117.69,0.01,0.05
3120.61,3117.7,0.01,0.05
3120.62,3117.71,0.01,0.05
3120.63,3117.72,0.01,0.05
3120.64,3117.73,0.01,0.05
3120.65,3117.74,0.01,0.05
3120.66,3117.75,0.01,0.05
3120.67,3117.76,0.01,0.05
3120.68,3117.77,0.01,0.05
3120.69,3117.78,0.01,0.05
3120.7,3117.79,0.01,0.05
3120.71,3117.8,0.01,0.05
3120.72,3117.81,0.01,0.05
3120.73,3117.82,0.01,0.05
3120.74,3117.83,0.01,0.05
3120.75,3117.84,0.01,0.05
3120.76,3117.85,0.01,0.05
3120.77,3117.86,0.01,0.05
3120.78,3117.87,0.01,0.05
3120.79,3117.88,0.01,0.05
3120.8,3117.89,0.01,0.05
3120.81,3117.9,0.01,0.05
3120.82,3117.91,0.01,0.05
3120.83,3117.92,0.01,0.05
3120.84,3117.93,0.01,0.05
3120.85,3117.94,0.01,0.05
3120.86,3117.95,0.01,0.05
3120.87,3117.96,0.01,0.05
3120.88,3117.97,0.01,0.05
3120.89,3117.98,0.01,0.05
3120.9,3117.99,0.01,0.05
3120.91,3118,0.01,0.05
3120.92,3118.01,0.01,0.05
3120.93,3118.02,0.01,0.05
3120.94,3118.03,0.01,0.05
3120.95,3118.04,0.01,0.05
3120.96,3118.05,0.01,0.05
3120.97,3118.06,0.01,0.05
3120.98,3118.07,0.01,0.05
3120.99,3118.08,0.01,0.05
3121,3118.09,0.01,0.05
3121.01,3118.1,0.01,0.05
3121.02,3118.11,0.01,0.05
3121.03,3118.12,0.01,0.05
3121.04,3118.13,0.01,0.05
3121.05,3118.14,0.01,0.05
3121.06,3118.15,0.01,0.05
3121.07,3118.16,0.01,0.05
3121.08,3118.17,0.01,0.05
3121.09,3118.18,0.01,0.05
3121.1,3118.19,0.01,0.05
3121.11,3118.2,0.01,0.05
3121.12,3118.21,0.01,0.05
3121.13,3118.22,0.01,0.05
3121.14,3118.23,0.01,0.05
3121.15,3118.24,0.01,0.05
3121.16,3118.25,0.01,0.05
3121.17,3118.26,0.01,0.05
3121.18,3118.27,0.01,0.05
3121.19,3118.28,0.01,0.05
3121.2,3118.29,0.01,0.05
3121.21,3118.3,0.01,0.05
3121.22,3118.31,0.01,0.05
3121.23,3118.32,0.01,0.05
3121.24,3118.33,0.01,0.05
3121.25,3118.34,0.01,0.05
3121.26,3118.35,0.01,0.05
3121.27,3118.36,0.01,0.05
