
Water_Year,Dam_Release_MAF,Lees_Ferry_Gage_MAF_approx
1985,19.094,19.18
1986,16.848,16.95
1987,13.429,13.52
1988,8.144,8.20
1989,7.981,8.04
1990,8.140,8.18
1991,8.121,8.16
1992,8.002,8.05
1993,8.289,8.34
1994,9.223,9.27
1995,11.522,11.58
1996,13.824,13.88
1997,13.510,13.57
1998,11.204,11.26
1999,9.381,9.43
2000,8.236,8.29
2001,8.230,8.28
2002,8.229,8.28
2003,8.231,8.28
2004,8.231,8.28
2005,8.232,8.28
2006,8.228,8.28
2007,8.231,8.28
2008,8.978,9.03
2009,8.236,8.29
2010,8.235,8.29
2011,12.518,12.58
2012,9.466,9.52
2013,8.232,8.29
2014,7.480,7.54
2015,9.000,9.08
2016,9.000,9.08
2017,9.000,9.08
2018,9.000,9.08
2019,9.001,9.08
2020,8.230,8.29
2021,8.230,8.29
2022,7.000,7.08
2023,8.580,8.65
2024,7.480,7.54
