
Year,Glen_Canyon_Release_af,Lees_Ferry_Total_af,Difference_af
1985,10500000,10680000,180000
1986,12000000,12150000,150000
1987,11500000,11680000,180000
1988,11000000,11150000,150000
1989,10500000,10680000,180000
1990,10000000,10150000,150000
1991,9500000,9650000,150000
1992,9000000,9150000,150000
1993,8500000,8650000,150000
1994,9000000,9150000,150000
1995,9500000,9650000,150000
1996,10000000,10150000,150000
1997,10500000,10680000,180000
1998,10000000,10150000,150000
1999,9500000,9650000,150000
2000,9000000,9150000,150000
2001,8500000,8650000,150000
2002,8000000,8150000,150000
2003,8200000,8350000,150000
2004,8300000,8450000,150000
2005,8500000,8650000,150000
2006,8700000,8850000,150000
2007,9000000,9150000,150000
2008,8800000,8950000,150000
2009,8500000,8650000,150000
2010,8500000,8650000,150000
2011,9000000,9150000,150000
2012,8500000,8650000,150000
2013,8200000,8350000,150000
2014,8300000,8450000,150000
2015,8500000,8650000,150000
2016,8700000,8850000,150000
2017,8800000,8950000,150000
2018,8500000,8650000,150000
2019,8230000,8380000,150000
2020,8230000,8350000,120000
2021,7480000,7600000,120000
2022,7480000,7550000,70000
2023,7480000,7580000,100000
2024,7480000,7550000,70000
2025,7480000,7520000,40000
