# USBR 24-Month Studies: Davis Dam - Lake Mohave,  Evap Losses
Year Oct Nov Dec Jan Feb Mar Apr May Jun Jul Aug Sep Water_Year_Total
2009 12 9 7 6 8 9 11 13 16 17 17 15 140
2010 12 9 7 6 8 9 11 13 16 17 17 15 140
2011 12 9 7 6 8 9 11 13 15 17 17 15 140
2012 12 9 7 6 8 9 11 13 16 17 17 15 140
2013 12 9 7 6 8 9 11 13 16 17 17 15 140
2014 12 9 7 6 8 9 11 13 16 17 17 15 140
2015 12 9 7 6 8 9 11 13 16 17 17 15 140
2016 12 9 7 6 8 9 11 13 16 17 17 15 140
2017 12 9 7 6 8 9 11 13 16 17 17 15 140
2018 12 9 7 6 8 9 11 13 15 17 17 15 139
2019 12 9 7 6 8 9 11 13 16 17 17 15 140
2020 12 9 7 6 8 9 11 13 15 17 17 15 139
2021 12 9 7 6 8 9 11 13 16 17 17 15 140
2022 12 9 7 6 8 9 11 13 16 17 17 15 140
