# USBR 24-Month Studies: Davis Dam - Lake Mohave,  Evap Losses
Year Oct Nov Dec Jan Feb Mar Apr May Jun Jul Aug Sep Water_Year_Total
2010 15 10 9 10 10 13 17 22 25 25 23 18 198
2011 15 10 9 10 10 13 17 22 25 25 23 18 198
2012 15 10 9 10 10 13 17 22 25 25 23 18 198
2013 14 10 9 10 10 13 17 22 26 26 23 18 198
2014 15 11 9 10 10 13 17 22 25 25 23 18 198
2015 15 10 9 10 10 13 17 22 26 25 23 18 198
2016 15 10 9 10 10 13 17 22 26 26 23 18 198
2017 15 11 9 10 10 13 17 22 26 26 23 18 198
2018 15 11 9 10 10 13 17 22 26 26 23 18 198
2019 15 11 9 10 10 13 17 22 25 25 23 18 198
2020 15 11 9 10 10 13 17 22 25 25 23 18 198
2021 15 11 9 10 10 13 17 22 25 25 23 18 198
2022 14 13 13 9 8 10 13 14 14 12 16 16 151
