Year January February March April May June July August September October November December Total
1971 30962 81916 106611 130937 134698 130660 169542 138908 130237 54899 35231 25129 1169730
1972 21138 80495 103553 122068 144321 139203 160234 146234 100417 4760 21803 28494 1072720
1973 13739 51490 64013 130077 152101 138689 175996 149543 123653 72815 30692 23369 1126177
1974 11876 73472 87637 132634 140389 155144 166292 164954 119672 67032 32853 29334 1181289
1975 34033 69371 98459 135456 145399 136346 162193 158888 128033 76531 38430 33986 1217125
1976 29138 53378 132501 129387 116722 140997 153956 160944 94705 47740 23382 29681 1112531
1977 988 86792 104946 114455 111845 158967 179036 126544 95353 52782 37978 21497 1091183
1978 -14079 41543 89239 123123 128740 168351 183635 159242 114160 54424 28228 22922 1099528
1979 -3620 55430 81859 112975 121772 151106 157770 121659 97437 54271 29957 26093 1006709
1980 9739 38716 84518 122805 93444 135891 181927 162137 115939 57188 31259 28325 1061888
1981 16657 77704 103037 140032 126239 177457 196779 177214 118756 52170 35207 24609 1245861
1982 22094 69245 83391 122001 125560 158704 181984 129768 103543 59337 24179 6091 1085897
1983 23286 38806 75716 110168 119678 140017 139422 78569 100590 46468 36388 15467 924575
1984 19581 82246 106496 109332 128670 151466 121439 108886 100767 61503 33533 -12047 1011872
1985 8910 40822 94385 133198 124786 137666 163975 158738 87147 52242 31253 17601 1050723
1986 33824 60421 104099 131138 123043 149418 138097 141175 97777 59318 40402 19236 1097948
1987 31364 68611 89329 122360 131536 150627 166286 147415 115845 79783 37496 34960 1175612
1988 21321 68424 110731 99988 145088 162471 171562 131903 122018 77452 52475 43077 1206510
1989 12307 58082 136530 148025 141070 161856 156928 123193 121617 87292 51899 37888 1236687
1990 12997 62274 116125 127475 158108 171108 173836 144073 120977 93501 58223 54156 1292853
1991 12528 72800 60546 122264 155974 159470 171199 152131 116242 104337 65073 28284 1220848
1992 15026 45362 64600 129087 133777 158990 169681 117223 102861 98150 69009 17781 1121547
1993 -22062 14359 88180 122548 126235 138696 150316 117408 99333 93678 44499 45797 1018987
1994 47477 62498 104623 141883 135655 169497 163794 159337 112145 105184 63580 40206 1305879
1995 -7814 51407 114557 120244 141993 161251 166132 156536 120988 97903 52755 40112 1216064
1996 41143 65410 122492 137539 156588 159683 170724 146673 107775 99167 57206 46875 1311275
1997 29299 83595 112310 130605 162617 156260 169882 143492 88343 93395 56873 23715 1250386
1998 27297 18867 105707 137519 141327 141568 162954 132218 101090 94827 53528 40840 1157742
1999 34710 58472 107379 95205 146039 141219 133086 124041 103414 96652 58401 56027 1154645
2000 34312 64027 96402 129927 154187 147828 145752 116895 105161 80877 57751 39272 1172391
2001 19451 54284 64263 121750 158918 143732 142252 119773 107526 98516 62784 34730 1127979
2002 45579 62702 109465 133111 150480 132964 140053 124105 98748 93622 60593 30380 1181802
2003 35631 26313 91731 133470 131851 136847 147990 110333 105031 103070 42827 37895 1102989
2004 31949 54577 105373 127267 143712 130112 142802 117888 104688 76175 23428 19005 1076976
2005 1767 7991 100464 140451 143690 141488 136684 107486 109905 86547 59636 36279 1072388
2006 37532 57105 84266 123594 155970 144493 133704 113750 93594 81663 50970 47102 1123743
2007 44314 57676 101488 132742 145997 137118 133847 116064 105805 90507 52429 17270 1135257
2008 31547 63143 130348 157631 139438 126322 144049 121304 101530 90506 44656 866 1151340
2009 50561 46836 116285 140453 142057 114070 135063 121196 98606 83884 54243 30196 1133450
2010 7039 24566 87209 123408 128044 135102 164161 141644 115885 79100 53376 32059 1091593
2011 37670 43863 101724 131814 133348 140029 155958 134278 96658 86862 31632 25616 1119452
2012 34433 57409 106728 131940 154621 146635 137718 115771 92939 85672 45892 19479 1129237
2013 25100 52604 101026 143950 146274 140826 123610 109624 83152 92640 44673 29932 1093411
2014 42634 59526 104696 137121 139547 128173 141058 91165 88280 93426 55352 28643 1109621
2015 32796 62575 105881 145511 109084 109968 111773 103853 87466 83521 58467 41907 1052802
2016 19145 71379 112244 121465 126781 127281 129854 105157 95623 91362 56768 27429 1084485
2017 13512 38789 107629 143233 123941 122806 129330 107667 87592 95039 45826 39926 1055294
2018 32946 52324 104752 134071 142805 129707 122242 106535 103838 61787 57631 22601 1071242
2019 17649 41246 88355 124646 135263 128888 141943 123417 87488 88632 41881 4937 1024624
2020 37734 49811 33210 121218 140296 121639 129520 110371 97996 86382 54948 45017 1028143
2021 13171 57936 100818 129263 130338 123344 111049 90781 96405 82481 53430 37898 1026911
2022 34885 61786 104808 129564 127286 113042 100671 72593 94878 81560 54830 38957 1014857
2023 25996 49020 82451 124664 139446 123754 116954 99605 95521 97510 50007 24313 1029331
2024 5471 23282 92468 113965 124937 112822 117947 109682 107056 97698 55607 45529 1006460
