Year January February March April May June July August September October November December Total
1971 773 755 1010 1080 1270 1503 1957 1637 1556 1114 927 741 14323
1972 934 864 1256 1351 1564 1734 2093 1974 1752 1039 967 924 16452
1973 836 775 931 1217 1720 1768 2104 1795 1727 1359 1059 931 16222
1974 851 930 1109 1375 1671 2066 2045 1968 1855 1486 1184 1019 17559
1975 522 524 733 813 1165 1631 1770 1803 1328 1035 762 567 12653
1976 600 490 745 828 1332 1632 1758 1660 1125 893 694 561 12318
1977 397 699 843 1170 1517 2015 2052 1673 1420 1022 803 634 14245
1978 447 487 809 1193 1537 1851 2329 2315 1775 1244 878 665 15530
1979 488 687 737 1282 1479 1869 1851 1479 1612 1337 902 784 14507
1980 507 506 764 1241 1476 1702 2066 2154 1736 1534 934 918 15538
1981 798 768 955 1353 1636 2007 2138 2041 1741 1308 1059 868 16672
1982 658 721 703 1191 1570 1791 2036 1718 1522 1277 858 557 14602
1983 829 729 1003 1333 1827 2015 2331 1533 1694 1221 1034 791 16340
1984 1075 1340 1776 1711 2289 2316 2180 2114 1999 1803 1117 781 20501
1985 986 904 1706 2434 2444 2631 3133 3165 2373 1381 1020 918 23095
1986 1091 939 1449 1890 2503 2471 2585 2590 2184 1602 1297 1081 21682
1987 1144 1105 2055 1805 2168 2514 2685 2562 2154 1763 1222 1117 22294
1988 1184 1255 1553 1558 2213 2927 2796 2510 2295 2060 1689 1396 23436
1989 1121 1179 1676 2160 2462 2754 2950 2570 2438 2057 1691 1369 24427
1990 1133 1133 1710 1975 2377 2745 2921 2852 2422 1995 1772 1396 24431
1991 1388 1409 1364 1735 2392 2757 3165 3045 2479 2371 1805 1371 25281
1992 1338 1309 1343 1947 2578 2919 3238 3016 2748 2475 1850 1468 26229
1993 1586 1310 1891 2725 3244 3748 4265 4201 3717 3220 2424 2204 34535
1994 2241 1846 2704 3361 3779 4478 4885 4867 4253 2867 2414 2104 39799
1995 2689 2189 2504 2957 3715 4403 4709 4902 3825 3447 2990 2345 40675
1996 2310 1992 2378 2890 3635 3811 4066 4094 3468 3287 2511 2350 36792
1997 2046 1923 2568 2644 3615 3675 3920 4042 3029 2945 2240 2419 35066
1998 2328 1488 2219 2533 3266 3580 4109 3821 3064 3060 2351 2145 33964
1999 2094 1936 2492 2518 3187 3608 3734 3751 3388 3400 2853 2472 35433
2000 3121 2498 2949 3412 4440 4906 5065 4691 4450 3457 2794 2774 44557
2001 2097 1924 2338 2823 3684 3945 3918 3953 3707 3168 2745 2445 36747
2002 2312 2245 2889 3021 3741 4082 3975 3941 3844 3163 2714 2348 38275
2003 2615 2215 2627 2938 3828 4490 4818 4304 3713 3598 2941 2650 40737
2004 2613 2190 2896 2966 3610 3991 4715 4197 3740 4579 2319 2223 40039
2005 2174 1780 2288 2717 3400 3715 4063 3693 3440 2835 2518 2561 35184
2006 2437 2337 2519 2970 3753 4410 4595 4425 3846 3370 2932 2691 40285
2007 2557 2505 2771 2673 3065 3595 3677 3837 3145 2922 2498 2319 35564
2008 2155 2111 2708 3072 3659 4228 4592 4135 3552 3379 2693 2498 38782
2009 2635 2207 2917 2739 3556 3457 4392 4040 3471 3283 2815 2268 37780
2010 2084 1859 2460 2295 2786 3374 3558 4146 3812 3296 2744 2808 35222
2011 2545 2335 2771 2694 3327 3575 3848 4025 3228 3059 2335 2198 35940
2012 2268 2229 2741 2471 3167 3300 3512 3467 3104 2873 2615 2070 33817
2013 2281 2033 2604 2794 3354 3611 3503 3475 2840 2595 2125 2425 33640
2014 2263 2125 2634 2935 3259 3213 3312 3032 2836 2858 2691 2782 33940
2015 2215 2087 2676 2791 3080 3164 3493 3422 2957 2668 2572 2288 33413
2016 2284 2526 2853 2925 3255 3468 3370 3632 2911 2628 2850 2445 35165
2017 2404 2349 2931 3225 3535 3645 3800 3834 3286 3352 3277 2937 38582
2018 2717 2574 2981 3252 3493 3497 3842 4064 3519 2846 3140 2687 38620
2019 2677 2281 2720 3093 3291 3899 4236 4275 3702 3484 3126 2694 39491
2020 2897 2622 2686 3151 3885 3648 3905 4153 3697 3289 3177 2961 40083
2021 3143 2488 3082 3417 3685 4067 4239 3989 3415 3401 3214 2813 40957
2022 2813 2642 3281 4143 4170 4100 4311 3907 3539 2984 3313 2864 42071
2023 2492 2486 2816 3378 3776 4208 4552 4408 4010 3732 2847 3208 41921
2024 2766 2682 3061 3365 3904 4197 4921 5023 4436 3895 3152 2967 44374
