Year January February March April May June July August September October November December Total
1971 31735 82671 107621 132017 135968 132163 171499 140545 131793 56013 36158 25870 1184053
1972 22072 81359 104809 123419 145885 140937 162327 148208 102169 5799 22770 29418 1089172
1973 14575 52265 64944 131294 153821 140457 178100 151338 125380 74174 31751 24300 1142399
1974 12727 74402 88746 134009 142060 157210 168337 166922 121527 68518 34037 30353 1198848
1975 34555 69895 99192 136269 146564 137977 163963 160691 129361 77566 39192 34553 1229778
1976 29738 53868 133246 130215 118054 142629 155714 162604 95830 48633 24076 30242 1124849
1977 1385 87491 105789 115625 113362 160982 181088 128217 96773 53804 38781 22131 1105428
1978 -13632 42030 90048 124316 130277 170202 185964 161557 115935 55668 29106 23587 1115058
1979 -3132 56117 82596 114257 123251 152975 159621 123138 99049 55608 30859 26877 1021216
1980 10246 39222 85282 124046 94920 137593 183993 164291 117675 58722 32193 29243 1077426
1981 17455 78472 103992 141385 127875 179464 198917 179255 120497 53478 36266 25477 1262533
1982 22752 69966 84094 123192 127130 160495 184020 131486 105065 60614 25037 6648 1100499
1983 24115 39535 76719 111501 121505 142032 141753 80102 102284 47689 37422 16258 940915
1984 20656 83586 108272 111043 130959 153782 123619 111000 102766 63306 34650 -11266 1032373
1985 9896 41726 97394 136793 131035 141909 171044 174444 94436 55959 33383 19301 1107320
1986 34930 61376 106827 142612 135864 168789 163031 176030 114871 60920 41699 20317 1227266
1987 37422 79865 110979 156082 167081 200338 239735 217061 154343 95340 44859 49366 1552471
1988 32010 85323 153842 136210 197129 244826 282830 213714 160754 93454 69878 59301 1729271
1989 22637 71482 206977 214800 212413 282706 308971 272193 189088 109718 69214 59922 2020121
1990 27131 80005 203386 207745 238881 315143 304200 266924 185107 119171 77295 71350 2096338
1991 15549 83366 92734 165269 202443 228285 270844 245670 156667 120637 83984 34512 1699960
1992 24606 58858 86458 163998 189906 248049 301674 223318 145848 125575 92647 78920 1739857
1993 7195 19832 150247 248638 245222 265798 308070 239402 150051 129446 102018 212403 2078322
1994 165734 107870 233578 241611 229463 182442 184568 177115 122329 175501 194376 62689 2077276
1995 64374 83320 201838 228579 254660 201994 198343 184237 140128 167306 120307 196915 2042001
1996 158854 188744 306872 321350 345750 314818 225038 193379 144260 105580 62487 176994 2544126
1997 193311 248650 276102 290439 349682 249597 211809 180748 104842 182806 226961 184435 2699382
1998 197778 184612 239464 255944 290867 283698 211563 160852 122706 138123 182498 151834 2419939
1999 179585 205739 276669 270674 331142 259622 203768 176145 125725 167385 209653 172136 2578243
2000 162002 212176 270005 308320 342306 224000 210986 177786 152368 139215 210784 231158 2641106
2001 212970 227496 243442 291474 326178 280102 230859 183261 166501 143696 173705 208134 2687818
2002 204491 237573 308781 322426 340442 297899 231952 216324 172724 136871 171033 161156 2801672
2003 216856 195722 282381 312003 319495 285214 228336 162858 162763 231483 220488 211317 2828916
2004 222729 231529 294137 311384 335630 299263 251560 167544 178433 84201 196506 210426 2783342
2005 179106 77521 124139 306757 310390 246900 231511 177463 219837 229517 209215 115087 2427443
2006 193085 186597 185145 292553 335196 330667 215438 165176 234473 265927 173037 203447 2780741
2007 180598 191499 275473 296223 308361 289165 237538 162318 243050 257489 202035 137825 2781574
2008 200427 222555 301029 326433 315280 256861 226682 190812 198595 229719 215315 68133 2751841
2009 224539 211383 299499 315517 310343 211095 214411 195611 245420 220276 200996 181948 2831038
2010 135417 117305 217975 278857 302643 309231 217527 229887 290347 248024 214939 217430 2779582
2011 129244 180761 290654 314942 303148 298213 236701 198471 201648 239331 208953 178369 2780435
2012 223265 228597 296966 313942 336998 279886 175667 204464 232953 120126 222419 153833 2789116
2013 107269 201516 283360 295188 323866 273924 207414 208365 235244 281274 190675 170223 2778318
2014 129364 191916 283567 317953 326409 264437 236902 193579 231162 231083 204649 163217 2774238
2015 215503 174103 254925 302716 289194 190327 185750 176862 257931 201442 181119 174365 2604237
2016 177409 190876 237615 293015 306194 219345 207718 173471 232166 227163 200107 147739 2612833
2017 142840 103497 246835 306306 302088 205465 204388 181698 224952 228889 175818 186716 2509503
2018 125826 164095 246672 305723 324457 221188 197693 132208 271566 240255 234037 168529 2632260
2019 110856 194250 173749 271508 292305 236637 238374 229463 251348 243151 170442 79332 2491707
2020 115949 127149 129952 272666 323927 228603 202747 175988 265993 253194 181273 193309 2470763
2021 140208 171600 252554 295855 301869 213813 167068 143076 206188 224676 180991 127837 2425736
2022 126615 167335 241037 274262 281073 177082 123384 92830 150661 150277 124979 104640 2014176
2023 68765 91423 176750 297362 309224 196556 143643 122632 154997 170015 103318 54734 1889517
2024 56253 83767 231952 272476 289541 189320 145533 137938 180190 169891 100236 77420 1934518
