Year January February March April May June July August September October November December Total
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 0 0 0 0 0 0 0 0 0
1977 0 0 0 0 0 0 0 0 0 0 0 0 0
1978 0 0 0 0 0 0 0 0 0 0 0 0 0
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 1303 1161 3805 1612 3936 12541 4916 2336 1110 782 33502
1986 15 16 1279 9584 10318 16900 22349 32265 14910 0 0 0 107636
1987 4914 10149 19595 31917 33377 47197 70764 67084 36344 13794 6141 13289 354565
1988 9505 15644 41558 34664 49828 79428 108472 79301 36441 13942 15714 14828 499325
1989 9209 12221 68771 64615 68881 118096 149093 146430 65033 20369 15624 20665 759007
1990 13001 16598 85551 78295 78396 141290 127443 119999 61708 23675 17300 15798 779054
1991 1633 9157 30824 41270 44077 66058 96480 90494 37946 13929 17106 4857 453831
1992 8242 12187 20515 32964 53551 86140 128755 103079 40239 24950 21788 59671 592081
1993 27671 4163 60176 123365 115743 123354 153489 117793 47001 32548 55095 164402 1024800
1994 116016 43526 126251 96367 90029 8467 15889 12911 5931 67450 128382 20379 731598
1995 69499 29724 84777 105378 108952 36340 27502 22799 15315 65956 64562 154458 785262
1996 115401 121342 182002 180921 185527 151324 50248 42612 33017 3126 2770 127769 1196059
1997 161966 163132 161224 157190 183450 89662 38007 33214 13470 86466 167848 158301 1413930
1998 168153 164257 131538 115892 146274 138550 44500 24813 18552 40236 126619 108849 1228233
1999 142781 145331 166798 172951 181916 114795 66948 48353 18923 67333 148399 113637 1388165
2000 124569 145651 170654 174981 183679 71266 60169 56200 42757 54881 150239 189112 1424158
2001 191422 171288 176841 166901 163576 132425 84689 59535 55268 42012 108176 170959 1523092
2002 156600 172626 196427 186294 186221 160853 87924 88278 70132 40086 107726 128428 1581595
2003 178610 167194 188023 175595 183816 143877 75528 48221 54019 124815 174720 170772 1685190
2004 188167 174762 185868 181151 188308 165160 104043 45459 70005 3447 170759 189198 1666327
2005 175165 67750 21387 163589 163300 101697 90764 66284 106492 140135 147061 76247 1319871
2006 153116 127155 98360 165989 175473 181764 77139 47001 137033 180894 119135 153654 1616713
2007 133727 131318 171214 160808 159299 148452 100014 42417 134100 164060 147108 118236 1610753
2008 166725 157301 167973 165730 172183 126311 78041 65373 93513 135834 167966 64769 1561719
2009 171343 162340 180297 172325 164730 93568 74956 70375 143343 133109 143938 149484 1659808
2010 126294 90880 128306 153154 171813 170755 49808 84097 170650 165628 158819 182563 1652767
2011 89029 134563 186159 180434 166473 154609 76895 60168 101762 149410 174986 150555 1625043
2012 186564 168959 187497 179531 179210 129951 34437 85226 136910 31581 173912 132284 1626062
2013 79888 146879 179730 148444 174238 129487 80301 95266 149252 186039 143877 137866 1651267
2014 84467 130265 176237 177897 183603 133051 92532 99382 140046 134799 146606 131792 1630677
2015 180492 109441 146368 154414 177030 77195 70484 69587 167508 115253 120080 130170 1518022
2016 155980 116971 122518 168623 176141 88596 74494 64682 133630 133167 140485 117864 1493151
2017 126924 62359 136275 159848 174612 79014 71258 70184 134073 130498 126715 143853 1415613
2018 90163 109197 138939 168400 178154 87984 71609 21609 164209 175602 173266 143241 1522373
2019 90530 150723 82674 143769 153751 103850 92195 101771 160158 151035 125435 71701 1427592
2020 75318 74716 94056 148297 179746 103316 69322 61464 164300 163523 123148 145331 1402537
2021 123894 111176 148654 163175 167846 86402 51780 48306 106368 138794 124347 87126 1357868
2022 88917 102907 132948 140555 149617 59940 18402 16330 52244 65733 66836 62819 957248
2023 40277 39917 91483 169320 166002 68594 22137 18619 55466 68773 50464 27213 818265
2024 48016 57803 136423 155146 160700 72301 22665 23233 68698 68298 41477 28924 883684
