Year January February March April May June July August September October November December Total
1971 9652 32671 42315 55323 53420 55909 79635 45954 44580 18183 21165 18840 477647
1972 10997 30368 47908 60622 56717 54610 75585 55299 38126 -8238 17058 16984 456036
1973 8662 12030 30435 69012 68513 62858 77779 62492 50685 23782 10730 8615 485593
1974 5155 35692 42616 60776 58002 64222 68717 57840 48129 13227 11370 6257 472003
1975 18829 28541 43525 56717 65657 44339 61629 58741 43958 24882 14717 7794 469329
1976 10992 9594 55041 51643 58419 60973 71003 65821 13718 9292 12062 716 419274
1977 2279 29993 40260 57362 50564 71626 86561 50058 26846 12597 14460 6609 449215
1978 -11379 23270 47745 69221 53005 71406 84564 51284 31221 10300 9992 -1650 438979
1979 -7241 25304 46873 65535 63447 69868 73522 54473 49094 15127 10227 10636 476865
1980 1567 9417 51547 66268 41748 61367 77728 64791 45153 12814 5712 6085 444197
1981 8468 36336 36698 65260 60438 81659 92638 84934 54530 9491 1208 3821 535481
1982 8514 34594 40072 68201 56155 66712 82656 60051 48870 14027 977 -6965 473864
1983 4463 18547 32340 49673 47667 56035 56233 27750 34669 5723 7873 4031 345004
1984 3461 29290 39390 51870 50588 46421 33693 42136 39465 7507 -387 -19371 324063
1985 -3911 25049 40901 60872 56661 60857 64801 62723 21773 1078 4847 7139 402790
1986 4796 21226 43261 57567 47806 56514 60668 62765 35556 6224 5590 2355 404328
1987 2063 29863 33337 53236 50975 62525 65829 61074 38139 18212 836 3850 419939
1988 856 24601 53033 36404 61788 69970 84371 51319 29482 15896 13409 15776 456905
1989 1414 29015 48496 59876 54369 52826 74812 59084 40690 22623 11298 12565 467068
1990 4651 26308 40891 49794 62699 72740 74821 55376 36871 26574 15510 20084 486319
1991 149 24388 11437 49691 59939 70400 69604 56016 39590 34322 12506 9861 437903
1992 592 14539 18113 52503 60824 68170 61871 35440 36930 24198 12202 -1545 383837
1993 -13143 2309 39552 60884 65617 66108 76703 54845 42732 27513 9034 20460 452614
1994 7160 19325 34557 55688 57249 72317 68687 62576 39542 30848 15495 4460 467904
1995 -14895 9790 40602 52467 59820 64730 67859 62208 39623 24314 12600 19750 438868
1996 12223 27661 46931 63780 63473 64635 70087 55029 33373 31820 14535 21945 505492
1997 5311 28150 39689 49195 65993 64419 61592 58530 19924 21033 5449 3445 422730
1998 3858 -4932 34593 57038 64790 67979 70296 59155 30391 32560 9681 8061 433470
1999 8345 25053 38882 42387 64122 63150 65682 64074 39278 28386 14870 15696 469925
2000 7891 28736 42199 65536 73006 73693 76238 56439 40527 23974 11524 11292 511055
2001 -4177 28256 17816 56433 71347 82541 77222 65250 43003 28761 17812 15639 499903
2002 12194 27142 39898 63231 70833 75106 86436 78531 37745 33845 16717 9747 551425
2003 11787 10651 41835 58323 64413 59077 58901 53958 42520 21092 4231 20217 447005
2004 7548 25132 45730 56560 73428 72659 78278 63536 33912 12506 2556 4041 475886
2005 -9081 -6121 33030 50478 61863 64895 64336 40363 48564 20988 10622 8847 388784
2006 9641 22171 29867 42102 55459 58284 61317 58912 39033 24314 11541 6696 419337
2007 6144 21515 33375 45456 69946 63075 61042 61580 47168 23834 13097 -234 445998
2008 3895 25718 45287 54671 55425 59614 61240 56102 38827 27258 11767 1029 440833
2009 5157 10949 36427 45629 53020 46918 49808 38773 30177 17291 7672 2602 344423
2010 -10544 -3321 25093 32430 44772 47921 60356 57250 38131 17435 11456 2029 323008
2011 4866 13908 35287 44662 49415 51974 52104 63735 44221 22479 4273 -811 386113
2012 4065 26688 42700 42463 62460 62594 48346 56360 42348 29435 11504 766 429729
2013 7267 24575 47862 55442 73487 73956 62201 65095 41995 31836 4439 14528 502683
2014 11629 23766 44697 59986 72482 73404 68459 41523 48699 30209 14753 9095 498702
2015 5510 25500 41237 63189 53211 58094 58384 60340 41449 25789 17732 12936 463371
2016 -2597 18668 37521 42973 53164 57377 58383 54634 33991 25774 13185 -2981 390074
2017 -5395 10049 30858 44621 40656 52321 57466 53812 30338 26803 9053 7558 358136
2018 6596 16837 36805 45289 57509 53564 55560 68928 46042 10750 13927 -1318 410472
2019 37 18443 40159 45839 55022 57365 65943 56973 42738 21203 3637 -8560 398777
2020 8349 15936 7008 42076 59223 57983 63856 58425 42880 24830 9748 7412 397713
2021 -3665 17052 43295 49853 57791 60104 65762 54331 37215 22932 10760 2142 417552
2022 7629 20220 38839 45102 54834 56115 54057 35400 42930 17525 10941 3680 387248
2023 4307 13165 25838 40225 52708 50408 48560 39821 25664 22708 7400 736 331529
2024 -2100 5499 28267 36297 46612 48625 52946 50452 35291 25427 15492 10578 353361
