Year January February March April May June July August September October November December Total
1971 180 193 237 311 432 560 762 570 506 322 286 176 4535
1972 233 241 300 396 429 456 642 644 544 285 190 179 4539
1973 160 144 153 336 508 646 783 576 594 327 268 207 4702
1974 134 166 252 337 487 602 642 613 485 324 226 159 4427
1975 164 161 227 261 464 590 687 699 473 336 232 187 4481
1976 170 144 221 295 462 555 695 621 387 279 267 200 4296
1977 195 217 296 423 386 532 680 496 462 387 270 207 4551
1978 179 113 217 267 343 506 609 475 492 293 191 161 3846
1979 50 57 84 143 160 253 321 281 261 201 100 71 1982
1980 71 81 118 178 267 366 419 399 350 241 151 129 2770
1981 96 115 134 229 298 404 475 457 311 258 129 172 3078
1982 151 141 184 284 400 502 499 407 356 238 177 111 3450
1983 106 114 141 204 366 446 479 378 335 216 190 122 3097
1984 116 130 207 250 266 428 379 363 332 266 196 146 3079
1985 169 181 148 230 353 354 414 431 272 186 120 97 2955
1986 86 89 143 203 319 400 429 325 268 195 123 86 2666
1987 82 86 121 230 295 384 420 369 330 246 128 102 2793
1988 114 139 257 230 352 433 509 443 364 312 205 147 3505
1989 122 125 239 325 379 436 502 482 418 296 190 154 3668
1990 98 77 147 162 203 250 262 251 202 156 86 85 1979
1991 193 252 324 566 600 803 759 654 486 403 218 189 5447
1992 59 50 59 114 152 188 179 178 156 111 79 41 1366
1993 79 404 650 641 623 719 1027 660 228 222 177 134 5564
1994 110 112 169 444 485 616 570 683 687 272 178 194 4520
1995 111 186 378 517 640 785 1031 885 927 304 232 79 6075
1996 101 80 138 150 183 220 240 231 182 151 109 107 1892
1997 118 187 320 323 495 520 482 474 276 242 288 125 3850
1998 450 102 407 729 710 824 1189 909 680 850 329 130 7309
1999 114 87 159 172 207 247 285 276 217 187 131 122 2204
2000 99 91 144 147 205 219 263 228 168 158 97 95 1914
2001 97 146 171 260 356 419 410 330 290 221 170 182 3052
2002 106 99 144 150 199 235 251 243 184 161 112 101 1985
2003 152 97 180 202 254 306 337 311 351 330 260 143 2923
2004 172 31 339 410 459 408 251 460 300 248 155 150 3383
2005 124 100 307 388 328 468 516 356 413 248 172 188 3608
2006 169 156 189 229 292 320 331 337 254 245 201 165 2888
2007 156 166 240 285 328 367 365 367 305 308 211 112 3210
2008 130 166 258 258 292 337 376 306 259 277 151 52 2862
2009 141 131 207 238 327 308 359 371 295 285 201 125 2988
2010 95 97 156 214 312 333 391 338 262 232 196 128 2754
2011 129 92 143 164 246 285 304 324 214 218 175 132 2426
2012 151 163 207 263 335 342 330 329 226 263 211 148 2968
2013 142 114 223 267 307 363 371 318 197 243 212 173 2930
2014 154 158 223 244 270 326 331 278 190 227 204 139 2744
2015 115 116 156 168 217 232 218 268 186 147 152 154 2129
2016 110 154 201 193 252 296 307 293 234 236 153 139 2592
2017 114 125 153 199 278 306 303 430 260 201 179 149 2705
2018 141 147 179 177 219 267 263 266 201 177 162 117 2339
2019 113 96 134 147 197 278 248 246 218 211 155 109 2179
2020 134 128 142 155 197 242 275 297 177 208 176 148 2293
2021 124 103 185 201 271 282 278 274 203 243 149 127 2466
2022 119 128 175 183 238 259 288 244 241 179 142 91 2311
2023 94 109 114 163 222 344 293 292 234 335 173 129 2512
2024 86 82 137 178 228 279 284 284 237 196 145 135 2295
