Year January February March April May June July August September October November December Total
1971 314069 346458 484550 508640 489268 498878 548456 467304 434704 406879 333616 299950 5132772
1972 365303 358788 499250 523223 525173 480909 557148 508527 454737 297708 299846 279349 5149961
1973 333171 256177 389869 555548 562386 507902 547813 517078 504396 434200 328333 293817 5230690
1974 246887 340695 470136 577253 563725 532699 578598 573605 516802 403498 264384 260777 5329059
1975 300625 311588 442032 479561 554916 450329 494641 504788 451524 393590 266251 244421 4894266
1976 271268 234177 497137 474887 521585 482582 539331 554141 306454 303246 203333 228071 4616212
1977 218867 347631 471458 535277 509470 532973 629995 451705 382082 350132 309727 272037 5011354
1978 133110 251469 403009 518115 457556 471283 527547 493589 416575 309335 242105 195681 4419374
1979 142497 256777 396406 550292 517144 493650 525075 492911 451657 354160 265889 256114 4702572
1980 205712 161891 396098 534997 455842 472449 547731 560775 454443 364156 254091 233499 4641684
1981 207442 305140 396415 540671 493140 489793 567059 513648 442266 318900 216928 198041 4689443
1982 227169 278405 355054 517599 481181 440889 502546 460450 325073 297938 194803 129604 4210711
1983 258406 163817 296849 449710 438498 425660 496994 397419 387309 337973 292409 224806 4169850
1984 259306 319084 454445 513912 492756 449912 437864 444955 416015 365472 269298 159966 4582985
1985 208047 292257 430828 536876 515394 480459 509147 534651 386826 339537 274444 189644 4698110
1986 260568 279860 448631 510754 505039 479743 488468 478402 420844 318783 278489 255139 4724720
1987 274005 315637 408920 509709 492281 488656 521420 516238 434205 348277 235314 254406 4799068
1988 262497 285329 471415 461500 521722 496276 549359 496832 415665 368536 318253 292609 4939993
1989 221171 324709 479479 547565 509449 476863 546697 498366 436073 408371 301951 290302 5040996
1990 263612 319440 446223 508409 556103 519210 560107 504175 423526 392283 326426 307628 5127142
1991 237417 318966 330508 517558 556178 523675 558131 505927 414559 423789 317753 207767 4912228
1992 238436 231989 314985 460956 514662 493342 516197 404950 371339 381467 316201 216535 4461059
1993 128732 179093 414384 545740 534007 511601 538577 500871 426408 405861 271602 296443 4753319
1994 288272 264555 436899 554863 526582 546310 569158 530835 443675 420700 314803 250153 5146805
1995 156447 246430 445309 476929 500867 531357 571144 546605 439245 394886 277366 250010 4836595
1996 281963 324107 483196 566318 541602 517874 555571 507188 416884 416740 317508 296794 5225745
1997 253281 332052 487424 546122 551568 536682 572111 539603 379855 390777 322680 249599 5161754
1998 284254 184732 420038 476872 509705 513606 593918 521320 427703 412325 316781 291664 4952918
1999 271106 282960 450964 488025 552438 533252 523855 502348 431215 426003 334274 310544 5106984
2000 295042 330043 464720 555543 579286 542579 570466 502400 439675 394020 314754 280096 5268624
2001 232870 305879 360783 527489 582809 556300 579178 538768 449931 414394 337300 282764 5168465
2002 285021 334711 452324 528180 566547 545410 604645 557467 437518 361691 330380 271601 5275495
2003 246971 153644 416175 504883 478069 434218 473590 433069 388473 366376 258373 254904 4408745
2004 221166 237242 392360 450334 501285 489702 484423 434337 354259 271190 254317 225570 4316185
2005 100485 132078 337760 473454 510496 515012 532497 422475 428019 349081 314286 213615 4329258
2006 223335 253322 328403 433338 492627 474991 500708 470466 383406 312303 223065 197687 4293651
2007 227318 275839 359914 457405 518079 482430 497339 476744 408129 298273 211888 157337 4370695
2008 213982 286047 416617 504906 506188 475709 500197 444101 373128 344176 252512 181247 4498810
2009 267120 244172 443569 481260 463414 420202 449168 409533 360987 288152 292636 237860 4358073
2010 183385 174030 375260 389511 481904 441951 501023 467149 430782 348168 328769 234907 4356839
2011 218239 188974 409563 467821 484968 478232 520926 489191 404435 299026 196058 155228 4312661
2012 228158 277273 380936 509205 536663 501715 479910 434609 385103 318617 216935 147594 4416718
2013 216806 201525 422252 472366 506130 493786 462052 417254 355558 400136 262915 265009 4475789
2014 263854 251788 415742 481151 523387 493609 506040 408488 383090 370843 305952 245790 4649734
2015 258934 262979 390407 478782 434775 458893 457516 460369 398263 398916 335176 285746 4620756
2016 223907 248525 421499 428164 475997 472083 449880 413383 359802 359834 296040 231981 4381101
2017 154192 183907 337284 399845 417225 438278 428839 392518 326208 362216 296444 289555 4026515
2018 177404 217310 354906 441874 488851 472246 464248 464814 388709 339339 286088 169730 4265525
2019 202959 188497 309787 390512 456029 441069 461068 439354 358511 296791 166173 129931 3840686
2020 157466 179812 217740 369930 490850 476390 471217 419795 377847 357819 284569 256429 4059865
2021 181235 184503 418448 469089 502161 476717 471768 428708 375258 360110 284081 252643 4404727
2022 254642 215647 426153 471607 505421 479740 453452 383778 343440 338310 295652 256405 4424247
2023 161350 177106 330272 380451 460698 431045 401329 316486 300630 298506 233465 207818 3699155
2024 149641 165737 309551 395405 469876 452003 428104 336009 293261 386957 301289 255906 3943738
