Year January February March April May June July August September October November December Total
1971 347583 431104 594513 642980 628279 636544 727953 614676 572543 468098 374011 329079 6367363
1972 390494 443301 610288 652467 679098 631283 729896 666326 565408 309968 327231 314358 6320118
1973 353447 312993 460113 693769 723982 657867 737536 679036 639425 516796 366842 323852 6465658
1974 265420 420997 565792 718990 715700 700756 757960 751722 647483 478603 303512 295817 6622752
1975 341436 386130 547976 622710 710416 599929 670868 677155 590664 479504 313372 285095 6225255
1976 304270 290824 634143 610008 647819 635539 705668 726732 409334 356620 231481 261737 5814175
1977 223221 438319 581541 657428 629358 702984 821826 589920 486189 410482 353002 295621 6189891
1978 120406 295191 495393 647132 595268 651751 724658 665724 541071 372348 275695 221022 5605659
1979 143495 318129 484360 671493 648106 655125 694471 625403 559744 418725 304149 289348 5812548
1980 219618 204749 483879 666405 560081 620703 743391 736956 582090 431612 293204 268784 5811472
1981 231022 389683 507117 691187 631138 681969 780167 704351 573811 381678 260931 228867 6061921
1982 255669 353408 445959 648952 618983 612682 699235 604476 440534 366531 225970 141062 5413461
1983 285516 206585 378429 567027 569826 580462 652527 487115 499772 391227 334434 244370 5197290
1984 284506 407642 569689 633561 637060 617649 573762 566297 529207 436567 308895 151880 5716715
1985 223930 340013 535870 683486 657383 634534 692271 721636 490500 402481 311772 213182 5907058
1986 301435 346436 564558 663739 654171 661837 665828 668749 546818 386161 324807 279583 6064122
1987 314738 400231 526154 675564 670562 701838 776995 745869 603910 452508 284055 307940 6460364
1988 298780 375702 633421 607103 732482 756274 851409 726493 588907 474630 395553 357419 6798173
1989 248153 401316 697454 777237 737284 777026 876663 788785 640825 532563 380032 356297 7213635
1990 296210 405832 661586 730100 811745 850978 885797 791168 626126 528674 416900 385682 7390798
1991 260603 409373 432070 695994 775518 770020 850084 770924 586482 561013 412744 251519 6776344
1992 268723 296135 406916 636151 722885 760472 840389 650725 535652 522768 418412 302238 6361466
1993 138382 202854 572932 808231 799732 799047 871912 763831 596937 554653 385051 517947 7011509
1994 463443 380288 683837 814197 778576 753362 778646 731532 586177 617290 521236 321141 7429725
1995 223256 337947 657681 721947 774251 755110 793792 754874 603810 585851 413306 457986 7079811
1996 450107 522235 805264 909643 913643 859491 807632 727491 586321 547059 394710 483653 8007249
1997 456819 590530 780892 855501 928801 816181 810817 745472 502014 595437 558871 443154 8084489
1998 492406 374124 669177 749846 823680 822134 835095 710945 568335 573583 514397 456079 7589801
1999 461213 499578 746009 777911 913029 819697 749491 708219 583736 622840 563973 496694 7942390
2000 468810 551867 751309 889815 956675 799685 817824 716770 621307 559858 541569 524312 8199801
2001 454895 542610 616916 842225 947111 867800 847221 759828 648458 588111 530045 504122 8149342
2002 502564 584220 781633 880799 943375 878438 876346 814700 643852 529706 521987 444791 8402411
2003 475604 359173 712178 840126 823917 753294 738835 629369 578817 627114 493152 476756 7508335
2004 455236 476652 703842 781130 874356 822898 769848 633376 561022 379170 461359 447457 7366346
2005 285458 215397 476486 803175 856753 795079 801718 632020 678801 605040 540400 342856 7033183
2006 425990 450933 527910 746855 861500 838127 750602 671614 649209 602637 411677 411041 7348095
2007 418450 478555 655254 778076 860770 806999 773711 672549 675591 581014 428953 305868 7435790
2008 424049 519480 735426 855942 851984 763691 760904 669122 595035 600369 482886 257223 7516111
2009 500953 464632 760735 817563 807153 656727 694117 635806 628976 533717 508812 429067 7438258
2010 325456 296735 605540 687617 812587 779302 752871 730486 744478 617763 557595 459133 7369563
2011 355016 377332 715127 803340 814171 802204 784840 716361 624787 559055 418411 342538 7313182
2012 460347 516605 694389 843931 904714 810605 684939 663303 637188 459798 454898 312722 7443439
2013 333040 411511 720912 788304 858072 796389 698616 653157 606981 701429 465448 444155 7478014
2014 401348 451732 713292 819968 879990 786124 770628 625920 633862 624042 524416 417756 7649078
2015 480583 445079 659825 802396 749126 674876 672236 664684 681137 620541 528537 469048 7448068
2016 409769 449707 677290 739578 804292 719817 688358 615953 614593 611130 512981 389215 7232704
2017 304544 294825 600027 726258 748633 672913 664762 602844 572853 615195 488498 488658 6780025
2018 313188 392047 616300 769354 841156 721664 689377 625892 685062 602839 536154 349246 7142296
2019 322395 388668 497287 677458 766659 705455 732707 703767 640665 565109 349971 216273 6566711
2020 282848 315768 359937 660883 846890 736265 710877 632584 672863 632932 477404 457603 6786868
2021 332349 364520 686535 786960 831649 723049 670400 603470 606367 601641 475350 391022 7073319
2022 392104 393366 684611 763250 811638 686952 607932 502033 516790 505566 429383 369264 6662890
2023 237145 276902 517923 690216 792439 651087 575808 464692 472136 483070 345567 269062 5776144
2024 212193 254887 553696 685174 781340 666526 602520 503458 495118 577858 414837 343885 6091492
