Year January February March April May June July August September October November December Total
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 1 1 0 0 2 1 1 6
1974 32 1 1 0 1 1 0 1 1 0 0 0 38
1975 1 0 0 0 0 1 1 1 0 1 0 1 6
1976 1 1 0 0 0 0 0 0 0 0 1 1 4
1977 0 0 1 0 1 1 1 1 0 0 0 0 5
1978 0 1 1 0 0 0 1 1 1 0 1 0 6
1979 0 1 0 1 0 0 1 1 1 0 1 0 6
1980 0 1 0 1 1 0 0 0 1 0 1 0 5
1981 0 0 1 1 0 0 1 1 0 0 0 1 5
1982 0 0 0 0 0 1 1 1 0 0 1 0 4
1983 0 0 0 0 0 1 1 1 0 0 1 0 4
1984 0 0 1 0 0 1 1 0 1 0 0 0 4
1985 0 0 1 0 0 1 0 0 1 0 0 1 4
1986 1 0 0 1 0 1 1 0 0 0 0 1 5
1987 1 1 0 1 0 0 1 1 1 0 0 0 6
1988 1 1 1 2 3 2 3 3 2 1 1 2 22
1989 0 0 1 0 0 1 0 0 1 0 1 0 4
1990 0 0 1 0 1 0 1 0 1 0 0 0 4
1991 1 1 1 0 2 2 2 1 1 1 1 1 14
1992 1 1 1 1 1 2 2 2 1 1 1 1 15
1993 2 1 2 2 3 3 4 4 3 2 2 2 30
1994 1 1 2 3 2 3 3 3 2 2 1 1 24
1995 1 1 2 3 2 3 4 3 2 3 1 1 26
1996 5 3 7 8 9 11 12 12 10 8 6 7 98
1997 80 66 109 118 145 175 191 184 144 122 86 85 1505
1998 143 73 156 203 206 207 159 164 106 88 73 62 1640
1999 176 141 241 260 317 385 419 403 318 266 189 186 3301
2000 77 144 92 479 474 536 697 720 332 372 365 45 4333
2001 115 146 200 291 429 460 364 325 284 158 153 126 3051
2002 124 201 229 276 295 441 359 351 292 201 175 96 3040
2003 148 138 199 259 354 422 335 304 301 213 136 116 2925
2004 112 139 190 205 250 303 331 319 250 210 148 147 2604
2005 67 105 207 360 497 528 487 453 386 209 223 93 3615
2006 67 223 191 355 396 565 440 542 211 254 67 67 3378
2007 77 285 227 401 442 207 161 197 368 133 264 108 2870
2008 140 238 259 526 593 636 426 365 302 123 89 83 3780
2009 54 36 526 261 296 574 554 493 180 146 90 51 3261
2010 52 233 237 90 191 498 627 568 52 152 88 56 2844
2011 57 177 242 107 380 608 660 450 78 168 155 109 3191
2012 127 166 136 210 366 415 424 394 493 146 216 48 3141
2013 69 215 251 248 446 539 425 535 271 276 96 63 3434
2014 71 124 342 291 308 276 392 201 46 359 71 123 2604
2015 142 227 297 366 313 304 290 392 259 256 198 104 3148
2016 118 146 380 222 396 421 428 422 279 289 149 108 3358
2017 22 44 128 102 315 238 321 350 135 74 66 1 1795
2018 65 127 170 162 292 296 143 353 226 112 93 1 2041
2019 34 34 107 235 316 314 152 319 262 63 1 1 1838
2020 1 80 1 166 412 317 198 266 313 65 35 6 1862
2021 13 136 99 267 368 365 226 367 291 196 58 50 2437
2022 51 96 163 288 271 226 290 146 177 115 100 0 1924
2023 0 81 166 237 229 232 280 178 232 125 0 76 1836
2024 11 44 133 150 123 155 126 303 152 271 21 145 1632
