Year January February March April May June July August September October November December Total
1971 1627 1631 1900 1970 2394 4895 7290 6548 5502 4499 3735 3101 45092
1972 2819 2903 4670 4847 6988 8144 9179 8239 7171 5853 4347 4656 69816
1973 4540 4003 4678 6061 6889 8525 10154 9516 8055 7292 5771 4892 80376
1974 4729 5165 6036 6674 8561 9966 9832 9688 7785 5376 4005 3550 81367
1975 4896 3810 5632 6161 7746 10132 10633 10340 8631 7049 6545 5208 86783
1976 2161 1719 3573 4179 6599 8711 8752 8481 5600 3660 2896 2070 58401
1977 1593 2430 3452 5272 5150 7590 9302 8468 5877 5436 3365 842 58777
1978 353 1033 1735 4142 6741 9406 10122 9667 7651 6361 3822 1135 62168
1979 3359 4245 4713 5955 6835 7657 8429 7939 8181 7499 6297 5711 76820
1980 3013 3134 1899 6146 8239 9473 10615 10919 8763 8418 6138 5437 82194
1981 5123 4897 5727 8041 9119 11263 12857 10299 9864 7953 6693 4121 95957
1982 4323 3662 4982 7046 9176 10429 11062 10723 8788 6586 4701 3475 84953
1983 2204 2375 3959 4965 8203 11169 12177 8055 8593 4817 3485 1843 71845
1984 3189 3604 5385 7420 12205 12536 10560 8796 8998 7099 4533 2830 87155
1985 4985 4807 6138 8606 10137 11996 12077 12537 9237 6929 3937 3983 95369
1986 4956 4138 7819 9039 11786 12051 12992 13200 9811 5577 4285 3215 98869
1987 2289 3586 4960 8829 10404 11627 14175 11065 13826 8169 3282 2952 95164
1988 2937 4070 7388 8211 12009 13473 17323 14187 11134 10959 6689 4522 112902
1989 3181 3922 9449 13893 13996 15754 19462 16709 14669 13544 8197 5473 138249
1990 4589 5097 10730 13032 15724 15395 19892 18297 15588 15791 11054 4852 150041
1991 6299 5825 7547 12575 15637 16788 19308 17456 14129 15696 9994 8067 149321
1992 4614 4238 4270 10326 17154 18237 20993 20867 17141 14782 8601 5381 146604
1993 1194 2848 7265 13068 19489 20263 23748 21852 19095 17934 10398 7877 165031
1994 8726 6875 12459 17212 21410 23001 23534 22207 18618 19690 10710 7196 191638
1995 1750 7140 10024 15562 17467 20603 22878 22502 23090 22352 14423 10117 187908
1996 8575 8422 14278 21380 25231 25417 25609 25571 24032 23372 13650 8594 224131
1997 8965 8925 16312 18275 26064 28669 25474 23502 15773 20582 7956 8224 208721
1998 9293 3913 8571 16380 22331 23506 28033 27250 16635 21859 13804 10878 202453
1999 9553 10011 17369 18289 28255 25268 20115 27848 25215 28057 18833 12900 241713
2000 10731 8577 15341 24795 33645 31284 34233 34454 27586 25217 14557 11916 272336
2001 8167 8235 11539 22443 36450 29544 35459 36010 30527 28533 17805 12328 277040
2002 11876 10815 19541 29377 34989 33418 38028 39186 32160 29947 19535 11035 309907
2003 10631 8951 12534 22556 25442 32247 35320 31932 26071 27921 13137 9443 256185
2004 10510 6964 16059 18578 35949 32395 32645 29911 26845 22421 9369 10531 252177
2005 4801 5043 13334 21952 34196 31427 36019 30378 29456 25094 15781 12985 260466
2006 9322 10691 14021 20459 33056 31764 33942 35362 31079 24111 15469 9801 269077
2007 10436 10923 19635 24042 33859 35156 38622 33236 23989 25071 14729 10557 280255
2008 9464 10605 17481 24036 29882 30443 33553 33799 22969 26306 14929 7722 261189
2009 9197 9007 17097 20483 33053 24813 29939 30122 22339 25096 15046 9174 245366
2010 6582 5149 12050 19145 27825 27566 33640 32838 23258 21382 13773 6720 229928
2011 7463 7409 14658 20446 25660 25136 26544 28249 18626 20530 13245 8832 216798
2012 8797 10569 16351 20574 30687 28589 28938 23836 18639 20909 15328 11247 234464
2013 8896 8255 15049 20502 27630 28140 28725 27003 15908 19743 11762 8860 220473
2014 8059 7904 13641 20573 29886 27802 27294 23652 19564 21757 13744 8626 222502
2015 6004 7770 14196 20532 24844 25352 28680 27061 24684 19927 12044 8833 219927
2016 8335 10160 17796 18177 21705 27968 30332 28677 22346 23844 16685 9387 235412
2017 7490 7377 15780 20005 29005 28932 31214 28278 21558 24016 16170 12386 242212
2018 9893 10515 14552 21595 27556 27934 27293 28517 24561 23133 15936 10986 242470
2019 8546 5887 13644 15203 18009 27435 33113 34631 30544 25104 13355 7009 232480
2020 9432 8727 12244 18121 31701 30955 36715 36535 28710 21854 11527 7859 254378
2021 10893 8281 15434 21749 27251 32154 31338 31319 24630 16659 10220 10492 240419
2022 10796 10288 17258 17093 24873 29904 30806 25279 22512 16864 8652 8219 222543
2023 7030 8292 10735 12166 22288 23254 30556 25396 16277 14424 8784 6434 185636
2024 6288 5339 12060 17143 21800 25048 28757 29208 21515 20739 13291 10414 211604
