Year January February March April May June July August September October November December Total
1971 1779 1975 2342 2323 3043 5503 7998 6827 6046 5206 4237 3259 50538
1972 3119 3154 6229 5825 8040 9437 10421 9591 8502 6461 4615 5591 80985
1973 5701 4551 5300 6927 7775 9508 11623 10620 9649 8422 6758 5735 92569
1974 5806 5900 6910 7728 9915 10847 11025 11195 9154 6587 5091 4687 94845
1975 6256 4647 6752 6880 8936 11623 12264 11676 9779 8348 7929 6121 101211
1976 3264 2779 3760 4906 8180 10328 10623 9987 7050 4741 4072 3424 73114
1977 2969 3197 4294 6526 6526 9029 10743 9998 7334 6546 4494 1453 73109
1978 928 1692 2336 4701 7435 10266 11147 10578 8561 7345 4484 1754 71227
1979 4130 5235 5358 6944 7711 8500 9775 9354 9038 8957 7401 6357 88760
1980 3660 3636 2499 7362 9319 10661 11667 11890 9972 8734 6920 6042 92362
1981 6125 6071 6710 9131 10123 12712 14191 11448 11048 9300 7737 5349 109945
1982 5748 5037 6811 8161 10672 11298 12669 12540 10396 7979 6130 4810 102251
1983 2995 3233 4861 5816 9823 12770 13780 9594 10179 5565 4603 3306 86525
1984 4544 4972 6972 8606 13345 13955 12279 10342 10426 7789 4947 3180 101357
1985 5987 6030 7648 9817 10954 12166 12080 12541 9238 6985 3945 4237 101628
1986 5937 5200 9100 10373 13268 13305 14329 14317 11103 6458 4619 4127 112136
1987 3311 4729 6255 9773 11200 12844 15840 12570 15362 8891 3882 4168 108825
1988 4273 5050 8164 9393 13631 15172 19220 15947 12488 12640 7422 5509 128909
1989 4345 5125 10998 14872 15422 17457 20995 18226 15664 14474 8867 6073 152518
1990 5467 6387 11977 13946 16761 16625 21490 20069 17493 17220 13179 6704 167318
1991 7637 7041 8828 13167 16897 18060 21109 19327 15256 16587 11007 9240 164156
1992 5681 5288 5473 11197 18317 19081 22518 22457 18465 15726 9564 6783 160550
1993 2455 3929 8301 13853 20503 21648 25265 23558 20478 19346 11431 9101 179868
1994 9437 7863 13360 17723 22531 24610 24920 23582 20173 21089 12057 8299 205644
1995 2435 8197 10534 16439 18724 21759 24305 24032 24437 23659 15633 11061 201215
1996 9290 9384 15196 21975 26291 26799 27023 26924 25177 24739 14715 9865 237378
1997 10227 9828 17366 18940 27551 29902 26897 25121 17317 21854 9230 9120 223353
1998 10374 4780 9675 17030 23108 24830 29614 28773 17926 23135 15118 12581 216944
1999 10522 10879 18376 19212 29449 26823 21868 29726 26796 29452 20046 14014 257163
2000 11766 9648 16584 25952 35083 33106 36372 36584 29264 26623 16031 13058 290071
2001 9055 9235 12691 23262 38124 31398 37184 37799 32026 30021 19040 13224 293059
2002 13052 11936 20528 30193 36386 35129 39749 40909 33610 31144 20574 12034 325244
2003 11777 9807 13622 23240 26353 33862 36909 33442 27581 29255 14291 10535 270674
2004 11341 7881 17345 19412 37441 33933 33865 31495 28330 23779 10536 11461 266819
2005 5867 5798 14587 22964 35867 33167 37710 32082 30945 26442 16899 14154 276482
2006 9570 11014 14362 20964 33677 32469 34456 35972 31330 24407 15575 9907 273703
2007 10534 11217 19867 24448 34330 35404 38834 33487 24412 25252 15030 10706 283521
2008 9640 10878 17780 24603 30516 31121 34025 34209 23312 26474 15059 7843 265460
2009 9294 9077 17667 20786 33396 25430 30538 30662 22569 25289 15180 9259 249147
2010 6654 5400 12305 19249 28040 28120 34321 33450 23349 21571 13887 6796 233142
2011 7533 7597 14910 20577 26055 25759 27213 28699 18704 20698 13400 8941 220086
2012 8924 10735 16487 20784 31053 29004 29362 24230 19132 21055 15544 11295 237605
2013 8965 8470 15300 20750 28076 28679 29150 27538 16179 20019 11858 8923 223907
2014 8130 8028 13983 20864 30194 28078 27686 23853 19610 22116 13815 8749 225106
2015 6146 7997 14493 20898 25157 25656 28970 27453 24943 20183 12242 8937 223075
2016 8453 10306 18176 18399 22101 28389 30760 29099 22625 24133 16834 9495 238770
2017 7512 7421 15908 20107 29320 29170 31535 28628 21693 24090 16236 12387 244007
2018 9958 10642 14722 21757 27848 28230 27436 28870 24787 23245 16029 10987 244511
2019 8580 5921 13751 15438 18325 27749 33265 34950 30806 25167 13356 7010 234318
2020 9433 8807 12245 18287 32113 31272 36913 36801 29023 21919 11562 7865 256240
2021 10906 8417 15533 22016 27619 32519 31564 31686 24921 16855 10278 10542 242856
2022 10847 10384 17421 17381 25144 30130 31096 25425 22689 16979 8752 8219 224467
2023 7030 8373 10901 12403 22517 23486 30836 25574 16509 14549 8784 6510 187472
2024 6299 5383 12193 17293 21923 25203 28883 29511 21667 21010 13312 10559 213236
