Year January February March April May June July August September October November December Total
1971 819 1115 1909 2508 3385 3664 3779 3129 2209 1856 1151 751 26275
1972 820 1145 1909 2619 3392 3417 3773 3282 2549 935 1019 762 25622
1973 808 868 1528 2619 3382 3664 3778 2967 2584 1874 1048 803 25923
1974 529 1145 1848 2619 3392 3664 3737 3323 2506 1770 1146 696 26375
1975 794 1122 1816 2485 3392 3664 3743 3343 2277 1870 1101 694 26301
1976 809 758 1889 2497 3356 3664 3593 3366 1639 1736 990 803 25100
1977 652 1134 1889 2614 3348 3654 3779 2829 2413 1755 1148 629 25844
1978 175 907 1453 2576 3386 3664 3738 3364 2584 1482 922 524 24775
1979 87 1117 1665 2619 3304 3641 3496 3074 2569 1874 1151 776 25373
1980 462 727 1686 2597 3345 3664 3742 3357 2536 1874 1151 803 25944
1981 740 1044 1618 2619 3337 3664 3728 3311 2568 1820 887 803 26139
1982 717 1101 1526 2619 3373 3664 3777 2784 2511 1873 1101 480 25526
1983 562 938 1746 2610 3392 3664 3777 2449 2493 1848 1138 537 25154
1984 787 1145 1909 2457 3392 3664 3311 2873 2437 1874 985 89 24923
1985 738 1073 1893 2610 3392 3664 3691 3355 2346 1698 627 754 25841
1986 782 1047 1837 2619 3392 3659 3466 3134 2481 1616 995 673 25701
1987 742 1099 1907 2619 3388 3663 3593 3266 2374 1727 885 515 25778
1988 577 1110 1899 2412 3392 3652 3773 3203 2556 1790 1151 802 26317
1989 549 1145 1872 2619 3392 3664 3540 3211 2583 1873 1151 799 26398
1990 733 1086 1872 2610 3385 3651 3632 3055 2401 1871 1094 794 26184
1991 651 1030 1411 2619 3392 3663 3778 3326 2166 1814 1130 677 25657
1992 548 654 1052 2435 3300 3664 3779 3122 2584 1838 1151 98 24225
1993 -169 634 1760 2619 3390 3664 3779 3329 2584 1840 843 801 25074
1994 813 1020 1724 2612 3355 3658 3748 3313 2532 1869 1064 193 25901
1995 255 1027 1804 2557 3392 3664 3779 3358 2584 1874 1148 802 26244
1996 819 1070 1870 2619 3386 3664 3768 3342 2508 1874 1144 799 26863
1997 610 1137 1901 2560 3392 3654 3487 3355 1945 1874 1146 235 25296
1998 782 582 1769 2611 3392 3664 3753 3204 2442 1869 1064 787 25919
1999 818 983 1909 2303 3392 3662 3679 3337 2477 1874 1151 803 26388
2000 820 1129 1817 2619 3392 3618 3779 3300 2584 1517 1151 803 26529
2001 582 759 1507 2595 3392 3664 3716 3269 2584 1865 1142 789 25864
2002 820 1145 1901 2619 3392 3664 3779 3366 2582 1868 1094 794 27024
2003 770 739 1812 2611 3392 3664 3770 3277 2433 1874 1019 782 26143
2004 785 1012 1792 2496 3392 3664 3779 3272 2483 1304 977 517 25473
2005 419 619 1830 2612 3392 3664 3771 3245 2584 1751 1151 803 25841
2006 820 1134 1775 2619 3392 3660 3666 3364 2516 1749 1151 803 26649
2007 799 1145 1833 2614 3392 3664 3737 3364 2434 1856 999 648 26485
2008 520 1145 1909 2619 3308 3664 3715 3011 2410 1874 836 576 25587
2009 819 994 1909 2616 3392 3662 3745 3348 2550 1874 1151 732 26792
2010 -146 921 1675 2610 3392 3664 3779 3329 2584 1839 1151 585 25383
2011 820 958 1892 2570 3391 3664 3718 3360 2284 1868 880 645 26050
2012 819 1131 1862 2596 3392 3664 3692 2769 2526 1836 1151 571 26009
2013 582 1120 1872 2619 3392 3664 3513 3273 2341 1874 653 749 25652
2014 820 1145 1864 2618 3391 3664 3736 2916 2506 1849 1151 614 26274
2015 499 1137 1699 2614 3342 3601 3741 3358 2554 1778 1131 786 26240
2016 570 1139 1908 2478 3320 3664 3692 3311 2533 1866 1121 457 26059
2017 563 775 1876 2619 3337 3664 3765 3190 2540 1874 1137 802 26142
2018 735 1126 1896 2619 3392 3664 3628 3350 2584 1140 1136 635 25905
2019 566 985 1824 2587 3386 3664 3773 3309 2465 1874 662 627 25722
2020 808 850 967 2507 3392 3664 3779 3365 2584 1874 1150 789 25729
2021 305 1146 1905 2611 3392 3659 3714 3117 2575 1849 1150 586 26009
2022 808 1125 1882 2619 3392 3664 3747 3073 2508 1816 1138 700 26472
2023 635 1072 1776 2619 3391 3664 3772 3146 2394 1874 1078 497 25918
2024 493 909 1776 2517 3392 3664 3771 3349 2572 1874 1150 802 26269
