Year January February March April May June July August September October November December Total
1971 6297 7304 8923 11106 12867 15517 17131 14680 14559 11778 8519 5999 134678
1972 6297 7592 8923 11106 13389 13805 17125 15402 13883 9026 6498 5902 128949
1973 5798 5804 5692 11106 13236 15517 17131 16560 15268 12170 7466 6503 132251
1974 4235 7592 8024 11106 13389 15517 16856 16585 15248 11350 8392 4995 133289
1975 6223 7438 8046 10700 13389 15517 17127 16869 13922 11944 8210 6313 135698
1976 6225 4484 8625 9829 13111 15659 16642 16581 11458 11822 8337 6347 129121
1977 5277 7526 8750 11016 13220 15633 17197 13336 15109 11022 8435 6038 132559
1978 1199 3238 7299 10397 13378 15702 16998 16512 15187 8466 6731 4359 119465
1979 3729 7108 6278 10739 12716 15196 14935 15139 15086 11934 8540 6193 127594
1980 -952 3938 6788 10797 13078 15391 14698 16486 14480 11678 8470 6415 121266
1981 6225 6979 7212 11209 13122 15767 16267 16117 13798 9960 7491 6431 130580
1982 5628 6093 6757 11140 13109 15837 16636 14417 15224 12055 7631 3838 128365
1983 5644 6673 6005 11057 13386 15263 16580 11552 11750 10792 8198 5438 122338
1984 6195 7564 8840 10983 13148 15105 15326 15640 14676 12102 7615 372 127567
1985 4783 6599 8582 10793 13355 15463 16757 16662 13518 10897 5659 6586 129656
1986 5924 6228 8091 10999 13287 15007 15114 15218 13296 11672 7111 5187 127133
1987 6122 7421 8696 10849 13403 15803 17307 16764 14182 11203 7291 5532 134573
1988 4775 5971 8807 8917 13609 15682 16891 14550 15172 12035 8232 6334 130974
1989 4031 7470 8824 11167 13491 15671 17051 16761 15117 11988 8450 6277 136297
1990 4295 7064 8458 10711 13270 15501 15864 16153 14774 11980 8034 6380 132485
1991 5287 6790 4301 11377 13459 15599 17268 16703 13668 11702 8251 5507 129911
1992 5007 3432 3277 10727 12674 15628 16418 14184 15120 10842 8369 3809 119487
1993 -717 3678 7674 11211 13536 15699 17251 16029 15432 11808 7670 6341 125613
1994 6162 6964 6268 10948 12883 15649 16891 16795 15259 12067 7864 3927 131677
1995 1132 6047 7781 10432 13506 15728 17229 16004 15529 12454 8691 6374 130909
1996 6268 7063 8391 10903 13239 15649 17133 16762 15470 12329 8028 6234 137470
1997 3764 7346 8993 10669 13435 15635 17077 16418 11746 12106 8407 4704 130300
1998 5696 2150 7082 10499 13444 15420 14462 16632 13563 11853 7798 6439 125036
1999 6240 6590 8675 9943 13404 15491 15452 17033 15234 12206 8510 6443 135221
2000 6258 6556 7998 10963 13315 15510 17123 16316 15353 11956 8588 6411 136347
2001 4241 6467 7175 11153 13305 15371 17080 16826 15269 10666 8523 6364 132440
2002 6267 7588 8943 11251 13376 15470 16825 16558 13071 12027 7806 6025 135207
2003 5715 4133 7459 11025 13429 15536 17070 16493 14449 12128 8181 4909 130527
2004 5913 5762 8781 9660 13146 15420 17145 16717 13035 7065 5264 5375 123284
2005 942 978 8655 10833 13335 15399 16178 13992 15090 10217 8543 6637 120798
2006 6387 7424 7993 10981 13019 15192 16699 15788 12909 11389 8647 6601 133029
2007 6213 7597 8092 11042 13274 15463 15945 16595 14701 12214 8427 4701 134265
2008 4244 7296 8850 10957 12498 15544 16229 15257 15139 12181 8230 4546 130970
2009 6255 4621 8843 11131 13433 15426 16467 16240 15253 12229 8689 4792 133379
2010 2042 6910 7689 11156 13431 15519 17240 16792 15234 11609 8772 4226 130619
2011 6333 5296 8741 10988 13403 15403 15893 16915 14169 11883 7595 5168 131788
2012 6234 7588 8891 10732 13488 15487 15669 15990 15215 11967 8820 4290 134373
2013 4595 7420 8713 11172 13392 15509 16494 15370 13859 12193 7486 6460 132663
2014 6195 7657 8166 11052 13292 15399 15816 13936 13523 11941 8578 4334 129887
2015 4683 7501 7438 11003 13229 15403 16053 16681 15362 11722 8576 6216 133868
2016 4362 7180 8820 10195 13448 15550 16933 16684 14892 12168 8233 3072 131537
2017 3593 6044 9086 11280 13119 15531 17283 16437 14136 11970 8548 6540 133567
2018 5364 7484 8773 11000 13200 15600 16409 16487 15500 10455 8726 5921 134919
2019 2363 5252 7933 10804 12966 15600 17200 16791 14295 12500 5277 5110 126091
2020 6304 6885 5024 10554 13100 15300 17000 16800 15200 12100 8700 6364 133331
2021 4663 7700 8816 11096 13400 15439 15444 16701 15316 12102 8700 5295 134672
2022 6253 7469 8773 11100 13300 15600 15720 13919 14410 11654 8162 5328 131688
2023 4479 7051 7424 11200 12973 15100 17200 15400 14375 12275 8498 6253 132228
2024 4902 5967 7190 10807 13250 15600 17400 16801 14647 12130 8700 6550 133944
