Year January February March April May June July August September October November December Total
1971 35180 27488 35175 47665 52477 74603 70732 67161 77533 71305 64949 44786 669055
1972 37879 34841 36870 48568 61528 72950 71878 73598 72419 65234 56914 53621 686300
1973 33370 27188 19007 58208 71810 86408 86035 90202 89936 84353 71627 59240 777382
1974 28828 37846 35974 54557 68363 83880 74575 85829 86363 66758 68432 52844 744248
1975 39811 34947 30782 47770 68665 86040 79098 83411 84764 83798 72318 59424 770827
1976 41863 18316 40974 52561 68577 88705 75413 90684 64498 76187 75844 63082 756702
1977 39255 40888 37090 57973 61462 85051 81160 75819 82890 83125 73510 51679 769901
1978 23647 24859 18460 48971 68618 90613 84006 87116 84209 80044 63695 52600 726839
1979 25466 33516 29294 62246 75308 95122 83206 88893 96464 89276 80124 61289 820204
1980 23830 11112 32130 61024 75652 97911 82938 99888 93808 92097 82949 66770 820107
1981 42711 39598 29924 61604 71361 94385 89155 85764 78224 87638 77446 66051 823862
1982 37395 31746 35174 61308 75923 95505 88064 80861 92953 92129 79866 57413 828337
1983 39809 37810 34152 57577 82559 105249 101775 74322 98843 88661 84468 58470 863695
1984 47564 42813 46580 63424 82207 101844 69328 78166 91843 94843 68993 38341 825948
1985 38106 42007 45125 63386 82297 102744 87245 106349 98470 95349 78264 65801 905146
1986 40715 36508 39861 63428 81737 99046 90571 100378 97236 93756 78287 62338 883860
1987 37788 35100 40587 61437 76045 96389 89487 104984 101597 82003 68454 60276 854146
1988 35830 39773 48196 50577 81091 97557 91290 85807 98076 92872 80006 64351 865427
1989 34978 41133 45250 62062 74918 92993 84758 87115 94084 88701 77989 63708 847688
1990 28809 31453 43033 57790 71381 83875 75416 87305 79581 83485 73698 60073 775899
1991 36146 32304 22471 56644 68207 82219 80264 82651 79345 79943 69403 51105 740702
1992 31901 16071 -1544 56315 69169 86301 81272 86074 87051 64800 72899 44468 694778
1993 18796 -15 39879 60394 75721 89405 88135 94687 93950 88083 73235 61084 783355
1994 42662 34673 38967 57643 71698 88233 81501 85776 86862 83676 70459 47710 789860
1995 11888 37363 29900 53448 68595 87192 85151 88917 91653 87673 78225 63402 783408
1996 43636 30941 44333 60837 72516 93051 84472 96386 93130 86238 72018 62727 840286
1997 39372 38298 45921 61263 78989 96791 89576 87977 79741 97021 83524 68587 867060
1998 46509 8932 39528 62861 81624 99937 79732 101555 91074 93759 84860 68584 858954
1999 45443 42608 48194 51240 80465 92496 78280 101828 98010 97986 86108 70455 893112
2000 48363 29762 43832 64548 81573 98660 92932 91389 97057 82308 80525 65354 876306
2001 25842 22078 36590 58416 74745 89884 84246 89478 88897 84214 71089 59087 784565
2002 40613 37946 39641 53650 65582 79005 72838 80844 77771 68963 63597 50872 731320
2003 35653 15646 27884 42146 59127 72064 66701 70723 72121 68523 55304 42244 628134
2004 32449 16351 32263 35280 55368 67168 63434 65441 67473 51559 41399 27301 555485
2005 14941 9844 29903 43501 58303 69948 60555 65814 71329 54381 58649 48174 585342
2006 32757 30987 23552 44997 55705 66335 61864 69763 67369 52691 56554 43532 606105
2007 31632 27652 31772 42269 52190 63439 47932 58215 61385 60332 52781 31462 561059
2008 26188 25555 29792 40570 48997 61208 57896 61629 62330 58755 47391 31102 551415
2009 28376 22172 29396 38519 48144 58606 52044 60282 59121 55881 48948 35852 537340
2010 10458 17837 20244 38146 47586 57003 54435 48736 56383 46140 46644 22952 466564
2011 27187 20720 26891 38054 47841 60528 55640 64621 59792 57152 54846 45354 558625
2012 32519 29144 30592 40877 52891 64084 58787 50353 60904 54549 54331 38604 567635
2013 28100 28626 28894 40494 50438 61248 55120 55394 54277 57849 40412 41578 542431
2014 29231 26680 26189 37269 46445 55992 48609 44079 52266 53842 47367 35118 503086
2015 19753 20791 24188 34514 43105 53243 52059 54400 54431 45144 44582 37324 483534
2016 17250 22655 25713 24634 40886 53089 48769 50888 55115 50578 46040 30036 465653
2017 19732 19249 27247 35946 45310 55537 45757 50434 54431 53717 47018 38281 492659
2018 16562 23330 22992 36740 43898 55063 44655 52603 55928 49436 45628 36985 483820
2019 19427 9547 23652 35402 38278 56616 53444 56827 56471 53845 31576 31280 466365
2020 27357 22818 13657 37280 47547 57381 54467 58622 57037 53792 46825 38267 515050
2021 20363 24805 23926 36124 44350 52603 41008 53676 51994 49496 43968 30530 472843
2022 23967 22744 23483 32461 39605 47258 40563 41152 42351 45130 37635 30880 427229
2023 13556 17664 16545 30953 38891 48249 48046 42737 42836 50014 42786 35549 427826
2024 20846 16604 19365 33130 43219 51892 47950 53351 52147 49334 42984 35154 465976
