Year January February March April May June July August September October November December Total
1971 8872 6341 9953 12593 13290 13858 11609 12612 15347 13526 12492 10818 141310
1972 8872 7648 9992 11567 14266 13293 11441 13889 14383 12421 9458 12067 139296
1973 7761 4659 3407 12229 14149 12748 11752 14544 15375 13737 11365 12715 134442
1974 5718 7559 9027 12108 13885 13472 10291 14053 14765 12142 12179 11290 136491
1975 8595 7066 8415 11461 13846 13644 11475 13938 14391 13487 11999 12008 140326
1976 8848 2092 9611 10783 14422 13751 11862 15063 7988 12382 13013 12617 132431
1977 7458 7648 9521 12468 13390 13516 10581 11013 15437 13511 12263 11808 138614
1978 3381 4176 3954 10705 14174 13294 10723 13292 15502 12546 9886 9862 121495
1979 5564 5751 5471 12028 13096 13561 9037 13115 15429 13742 12772 11484 131050
1980 1353 1981 7341 11211 13564 13483 10591 14890 14798 14008 12686 12784 128690
1981 8309 7049 6406 12535 13351 13438 11461 13896 13032 13001 11174 12758 136411
1982 7291 4914 7007 12369 13641 13804 11476 9286 14987 13615 11922 9122 129434
1983 7450 6496 4337 11406 13885 14232 12457 6377 14145 10350 12497 11661 125292
1984 9011 7766 10069 11943 13801 13644 6594 12512 15144 14360 9525 4654 129024
1985 6211 7514 9654 12229 14103 14018 12174 15665 14334 13320 10308 12074 141605
1986 7813 6106 7864 11857 14044 13764 11411 12675 14138 13198 11146 9866 133881
1987 7347 6988 9740 12317 13886 13347 11221 14379 13572 12522 8961 10860 135140
1988 6723 5926 9973 8075 14375 13911 10707 9486 15800 14177 12476 12578 134206
1989 6510 7700 9611 12068 14247 14178 11689 14763 15262 13500 12857 12772 145158
1990 6668 6848 9311 11760 12615 13258 8763 14249 14340 13456 12412 12842 136523
1991 6463 6049 2143 12269 13939 13512 11745 13183 14917 14429 12576 12118 133344
1992 6067 3342 -45 12137 13603 13561 11831 15169 16224 9548 12606 10619 124663
1993 -1150 -550 6747 12068 14180 13515 12143 14384 15216 14015 11862 12681 125112
1994 8669 5810 7169 12485 14140 13858 11445 15113 15430 13462 11062 10511 139153
1995 2298 5004 7820 11863 13972 13887 12190 15360 16180 14456 12515 12819 138365
1996 8513 6929 9660 12593 14170 13858 11966 15366 15712 13577 10983 12591 145918
1997 4829 6683 10107 12434 14320 13911 11790 14254 12591 14169 12045 12602 139734
1998 8134 -3562 7398 11700 14046 13911 10893 14557 14962 14519 12727 12497 131782
1999 8269 6899 9950 10806 14124 13094 10509 15665 14712 13785 12558 12800 143170
2000 9011 5697 8631 12481 14320 13584 12285 13886 15854 12477 12601 12839 143667
2001 4291 4833 8509 12173 14103 13858 11969 15054 16125 14106 12673 12787 140480
2002 8923 7589 10045 12496 14320 14018 12247 15605 15578 13694 11792 12838 149146
2003 8781 1831 8623 11557 14210 13911 12510 14394 15530 14121 11966 12205 139641
2004 8724 4482 9708 10216 14266 13911 12280 14171 15941 9570 9561 11068 133897
2005 3458 -11 9386 12054 14266 13842 11715 13349 16066 11904 12583 12920 131531
2006 8871 7553 9186 12121 14103 13659 11383 15665 15143 13040 12729 12628 146081
2007 8785 7276 9949 12689 14320 13911 11919 14625 14876 14073 12706 9363 144491
2008 4825 6475 9750 12352 13881 13964 11734 14092 16119 14025 10546 10001 137764
2009 8618 4854 9915 12505 14241 13798 11796 15049 14710 14121 12686 10694 142986
2010 137 5360 7939 12050 14103 13886 12428 13204 16051 11738 12881 9393 129170
2011 8977 4759 9572 12273 14064 13858 11560 15545 13713 12949 11468 11938 140676
2012 8872 7445 9055 10808 14157 13911 10287 12342 15816 11993 12729 9654 137070
2013 7708 7452 9293 12641 14266 13964 12108 12065 14188 14348 11333 12809 142176
2014 8907 7539 9648 12389 14266 13911 11661 13128 12767 14085 12772 11508 142581
2015 6502 6395 7732 12444 13671 13990 9586 15040 16160 12376 12449 12546 138893
2016 6526 7525 10286 10780 14635 14483 11545 14894 16530 14494 12979 9565 144242
2017 6854 4992 10390 13008 13881 14451 11654 15408 16442 14947 13346 13315 148688
2018 7481 7701 9503 12900 14332 14500 11915 15752 16800 12302 13072 12556 148814
2019 5299 3875 9489 11737 14293 14400 12762 15802 16045 15000 6652 10356 135710
2020 9200 6172 5038 11799 14600 14400 12800 16099 16700 14700 13300 13300 148108
2021 8231 7939 9918 12751 14600 14050 12206 15835 16572 14456 13100 11474 151132
2022 9085 7900 10110 13000 14700 14354 11354 14410 15350 14481 11498 12568 148810
2023 5911 6827 6180 13000 14558 14252 12800 12551 14929 14900 13113 13185 142206
2024 8018 4739 7258 12186 14620 14420 12870 15799 16842 15000 13360 13230 148342
