Year January February March April May June July August September October November December Total
1971 16045 14848 20909 26376 29795 33311 32762 30714 32331 27311 22253 17617 304269
1972 16059 16493 20970 25461 31324 30702 32605 32801 30999 22425 17057 18776 295672
1973 14426 11425 10743 26138 31056 32184 32920 34312 33341 27934 19988 20082 294550
1974 10523 16392 19085 26044 30821 32870 31033 34191 32687 25416 21792 17013 297869
1975 15682 15710 18454 24858 30892 33073 32700 34391 30775 27433 21391 19056 304416
1976 15956 7360 20295 23245 31155 33344 32424 35281 21267 26067 22404 19847 288645
1977 13447 16425 20346 26294 30200 32928 31839 27337 33155 26401 21948 18550 298870
1978 4783 8400 12820 23862 31185 32933 31789 33414 33418 22639 17645 14797 267684
1979 9392 14082 13607 25651 29399 32683 27725 31560 33277 27710 22558 18526 286171
1980 917 6699 16012 24897 30271 32804 29274 34988 31996 27694 22395 20066 278012
1981 15337 15154 15400 26629 30128 33171 31758 33567 29632 24924 19633 20047 295383
1982 13701 12201 15402 26369 30498 33597 32278 26773 32887 27703 20738 13484 285631
1983 13725 14179 12275 25284 30926 33447 33079 20596 28641 23129 21919 17678 274877
1984 16071 16567 20959 25563 30601 32690 25478 31238 32449 28480 18203 5132 283433
1985 11798 15263 20280 25832 31101 33350 32893 35934 30364 26041 16641 19465 298965
1986 14585 13461 17936 25672 30985 32706 30244 31264 30104 26606 19332 15784 288677
1987 14295 15599 20496 25991 30937 33096 32392 34658 30303 25592 17207 16950 297516
1988 12126 13099 20808 19598 31677 33527 31622 27394 33650 28086 21915 19756 293256
1989 11145 16445 20464 26040 31334 33821 32606 35006 33041 27558 22560 19930 309950
1990 11750 15071 19818 25249 29640 32647 28514 33715 31751 27485 21632 20075 297349
1991 12463 13963 8024 26470 31028 33086 33163 33503 30910 28121 22038 18346 291115
1992 11660 7473 4406 25480 29851 33071 32334 32739 34127 22380 22211 14539 270272
1993 -2040 3812 16305 26077 31402 33041 33506 34036 33413 27766 20403 19888 277611
1994 15695 13866 15289 26276 30628 33423 32356 35508 33351 27544 20086 14656 298677
1995 3709 12151 17533 25021 31067 33514 33423 35016 34470 28952 22440 20029 297328
1996 15674 15146 20066 26314 31078 33491 33104 35765 33863 27869 20223 19695 312289
1997 9268 15258 21115 25783 31335 33487 32507 34277 26448 28294 21702 17554 297027
1998 14665 -784 16387 25048 31163 33289 29276 34672 31156 28399 21685 19789 284743
1999 15407 14564 20696 23216 31171 32544 29964 36299 32639 28008 22319 20102 306928
2000 16133 13474 18567 26246 31256 32954 33438 33721 34011 26063 22412 20115 308391
2001 9165 12120 17313 26087 31038 33166 33048 35384 34171 26769 22401 19967 300628
2002 16051 16362 20956 26582 31407 33513 33159 35744 31455 27756 20770 19688 313444
2003 15324 6771 17979 25311 31312 33350 33620 34373 32592 28276 21231 17964 298105
2004 15470 11342 20379 22510 31026 33254 33516 34362 31557 18054 15894 16983 284347
2005 4858 1654 20010 25725 31292 33195 31916 30865 33938 24001 22383 20430 280265
2006 16138 16220 19100 25902 30753 32810 32033 35114 30766 26334 22631 20104 307905
2007 15876 16117 20026 26521 31205 33258 31910 34879 32224 28302 22203 14750 307271
2008 9641 14990 20648 26151 29963 33449 31890 32624 33876 28248 19688 15147 296314
2009 15757 10554 20823 26490 31309 33159 32301 34916 32735 28381 22629 16274 305327
2010 2025 13260 17458 26050 31225 33299 33782 33618 34096 25313 22907 14247 287279
2011 16210 11107 20366 26038 31160 33244 31486 36090 30319 26868 20003 17796 300688
2012 15999 16267 19955 24371 31312 33362 29978 31291 33768 25941 22804 14566 299617
2013 12941 16060 20041 26557 31277 33429 32346 30999 30573 28572 19523 20082 302401
2014 15995 16442 19852 26269 31188 33286 31521 30159 28996 28021 22602 16503 300832
2015 11732 15121 17008 26280 30461 33176 29606 35336 34285 26019 22254 19613 300894
2016 11508 15943 21171 23664 31663 34007 32389 35152 34170 28685 22418 13143 303913
2017 11056 11863 21507 27087 30616 33936 32998 35303 33345 28957 23104 20720 310492
2018 13616 16394 20283 26731 31161 34026 32224 35860 35070 23964 22996 19152 311477
2019 8288 10198 19414 25317 30932 33974 34037 36177 33018 29532 12649 16149 289685
2020 16384 13977 11103 25087 31373 33654 33819 36507 34697 28826 23246 20516 309189
2021 13199 16873 20783 26661 31646 33436 31648 35901 34687 28560 23047 17408 313849
2022 16217 16584 20908 26939 31696 33881 31130 31642 32461 28101 20888 18665 309112
2023 11083 15036 15519 27039 31196 33294 34080 31315 31885 29197 22778 19981 302403
2024 13459 11701 16371 25708 31520 33961 34342 36204 34239 29157 23309 20650 310621
