Year January February March April May June July August September October November December Total
1971 57 88 124 169 253 272 243 293 216 151 91 49 2006
1972 70 108 146 169 277 187 266 228 184 43 82 45 1805
1973 59 94 116 184 289 255 259 241 114 153 109 61 1934
1974 41 96 186 211 155 217 149 230 168 154 75 32 1714
1975 70 84 177 212 265 248 355 241 185 132 81 41 2091
1976 74 26 170 136 266 270 327 271 182 127 64 80 1993
1977 60 117 186 196 242 125 282 159 196 113 102 75 1853
1978 28 79 114 184 247 273 330 246 145 145 106 52 1949
1979 12 106 193 265 283 285 257 232 193 160 95 73 2154
1980 54 53 197 292 284 266 243 255 182 134 88 64 2112
1981 63 82 164 266 318 302 302 243 234 143 81 55 2253
1982 65 93 112 241 375 292 389 286 165 160 84 44 2306
1983 69 72 187 211 263 288 265 218 253 139 86 42 2093
1984 78 92 141 180 260 277 247 213 192 144 78 17 1919
1985 66 77 151 200 251 205 271 252 166 126 47 51 1863
1986 66 80 144 197 262 276 253 237 189 120 80 58 1962
1987 84 91 153 206 260 283 271 249 175 140 70 43 2025
1988 51 92 129 194 301 282 251 155 122 84 56 42 1759
1989 55 130 157 186 204 308 326 271 79 197 102 82 2097
1990 54 73 177 168 370 237 255 258 236 178 92 59 2157
1991 62 94 169 205 238 312 372 291 159 176 81 44 2203
1992 38 45 122 181 274 218 306 264 199 152 85 13 1897
1993 -4 50 124 179 296 163 333 294 181 103 28 65 1812
1994 51 72 128 231 250 258 272 287 130 146 96 25 1946
1995 24 73 128 169 197 235 225 294 177 168 86 34 1810
1996 74 84 145 199 283 320 237 295 173 89 68 71 2038
1997 65 92 114 120 188 287 153 250 166 145 104 13 1697
1998 53 46 138 238 281 294 168 279 189 158 96 66 2006
1999 80 92 162 164 251 297 324 264 216 143 100 56 2149
2000 44 92 121 183 229 242 251 219 220 113 72 62 1848
2001 51 61 122 166 238 273 283 235 193 132 63 27 1844
2002 41 40 67 216 319 361 308 215 224 167 78 31 2067
2003 58 68 85 118 281 239 270 209 180 153 65 68 1794
2004 48 86 98 138 222 259 312 202 98 115 92 23 1693
2005 39 68 139 226 299 290 252 279 198 129 106 70 2095
2006 60 109 146 181 239 299 285 297 198 156 104 72 2146
2007 79 99 152 176 219 220 309 295 213 159 71 38 2030
2008 52 74 139 223 276 277 212 264 208 168 76 24 1993
2009 65 85 156 238 243 273 293 279 222 157 103 56 2170
2010 -8 69 155 234 299 230 335 293 227 127 103 43 2107
2011 80 94 161 207 302 319 315 270 153 168 60 45 2174
2012 74 103 147 235 275 300 330 190 211 145 104 51 2165
2013 56 68 163 125 227 292 231 291 185 157 51 64 1910
2014 73 101 174 210 239 312 308 179 200 146 101 47 2090
2015 48 88 139 219 219 182 226 257 209 143 98 65 1893
2016 50 99 157 211 260 310 219 263 215 157 85 49 2075
2017 46 52 155 180 279 290 296 268 227 166 73 63 2095
2018 36 83 111 212 237 262 272 271 186 67 62 40 1839
2019 60 86 168 189 287 310 302 275 213 158 58 56 2162
2020 72 70 74 227 281 290 240 243 213 152 96 63 2021
2021 0 88 144 203 254 288 284 248 224 153 97 53 2036
2022 71 90 143 220 304 263 309 240 193 150 90 69 2142
2023 58 86 139 220 274 278 308 218 187 148 89 46 2051
2024 46 86 147 198 258 277 301 255 178 153 99 68 2066
