Year January February March April May June July August September October November December Total
1971 402 450 834 1031 1125 1171 1244 1338 1229 748 525 438 10535
1972 446 499 924 1141 1245 1296 1378 1482 1360 828 580 484 11663
1973 452 505 935 1156 1261 1313 1396 1500 1378 839 588 491 11814
1974 593 653 1236 1571 1743 1841 1923 2041 1875 1129 792 647 16044
1975 451 504 939 1168 1281 1334 1406 1509 1384 841 590 488 11895
1976 396 446 821 1005 1091 1129 1205 1301 1192 727 511 428 10252
1977 514 575 1069 1325 1448 1508 1597 1715 1574 957 672 558 13512
1978 465 525 968 1182 1282 1322 1407 1522 1395 853 599 502 12022
1979 514 574 1063 1313 1434 1492 1587 1707 1567 953 669 557 13430
1980 569 633 1186 1482 1629 1701 1789 1914 1756 1065 748 618 15090
1981 550 605 1134 1425 1565 1638 1727 1850 1705 1028 722 598 14547
1982 529 581 1091 1381 1527 1617 1707 1816 1668 1007 705 578 14207
1983 739 819 1536 1930 2130 2235 2348 2505 2298 1391 975 802 19708
1984 471 516 981 1254 1390 1483 1547 1628 1508 908 637 516 12839
1985 901 881 1357 2004 2523 2624 2608 2532 2229 1242 542 896 20339
1986 1055 1402 2517 2770 3984 3033 2867 2889 3255 1941 1311 1170 28194
1987 1708 1199 1612 1911 2547 2483 2563 2592 2602 1062 565 0 20844
1988 0 422 1214 1798 2409 2638 2740 2792 2308 1220 1037 943 19521
1989 469 1093 1408 1455 2261 2642 2706 2315 1609 1255 1163 536 18912
1990 273 613 1784 2628 2525 2764 2571 2528 2244 1222 776 550 20478
1991 402 1240 1371 1553 1952 2390 2262 2022 1490 1229 1026 784 17721
1992 598 664 1644 3235 3278 2588 2972 3155 2211 1497 1741 719 24302
1993 331 614 1961 2869 2425 2744 3047 2871 2656 1521 1039 1245 23323
1994 731 669 842 1214 936 1243 1326 1015 1066 424 632 447 10545
1995 316 551 1234 1500 1421 1313 1312 1185 1048 729 459 550 11618
1996 626 522 539 302 631 921 1436 1322 1298 720 337 426 9080
1997 124 273 516 927 1154 1271 978 1149 1303 810 502 397 9404
1998 635 326 1174 1573 1648 1531 1333 1509 1505 679 317 607 12837
1999 471 331 471 749 903 1108 1552 1706 1480 752 256 433 10212
2000 538 323 451 552 899 1103 1133 1344 1254 416 500 415 8928
2001 292 433 1177 1239 1115 1099 1135 1494 1021 637 586 435 10663
2002 244 268 301 453 656 729 776 809 808 383 317 318 6062
2003 585 194 1895 1347 1400 1262 1145 1831 1914 672 666 869 13780
2004 511 474 596 940 686 855 928 1118 1106 457 789 675 9135
2005 611 800 2031 2192 2313 1619 1494 1946 1325 774 649 546 16300
2006 196 461 539 781 1027 1187 1407 1207 1479 814 622 341 10061
2007 80 156 424 783 848 993 993 1380 1234 933 498 294 8616
2008 265 422 325 513 725 1207 1249 1330 1143 698 261 278 8416
2009 481 362 742 1131 893 1261 1268 902 863 596 250 136 8885
2010 275 326 1067 1419 1309 1337 1153 1185 1044 1208 749 110 11182
2011 604 217 966 1360 1329 1166 1115 768 851 1019 752 433 10580
2012 294 273 412 1038 1133 896 1263 1410 1101 768 510 248 9346
2013 328 371 767 1026 1278 1369 1425 1375 1772 923 339 468 11441
2014 197 399 398 539 836 1156 1141 1340 1247 940 358 41 8592
2015 438 672 1625 1325 1330 1180 1192 996 937 1024 828 568 12115
2016 35 222 347 479 735 862 838 801 683 590 266 57 5913
2017 178 234 907 921 933 1023 1093 1148 895 638 404 235 8609
2018 45 127 277 392 523 848 1216 1359 854 233 217 199 6292
2019 22 2 415 615 621 744 785 811 646 389 1 7 5058
2020 71 104 349 842 926 849 728 764 461 300 117 92 5603
2021 0 84 254 375 536 573 878 1296 1007 360 234 7 5604
2022 175 142 465 530 750 841 1084 1472 1454 422 287 37 7656
2023 0 71 202 501 904 963 995 1056 829 385 182 94 6184
2024 47 12 230 726 836 892 933 922 691 405 131 76 5902
