Year January February March April May June July August September October November December Total
1971 26 27 27 27 27 27 27 27 26 26 26 26 319
1972 27 29 29 29 29 29 29 29 27 27 27 27 338
1973 28 29 29 29 29 29 29 29 28 28 28 28 343
1974 28 30 30 30 30 30 30 30 28 28 28 28 350
1975 28 29 29 29 29 29 29 29 28 28 28 28 343
1976 27 29 29 29 29 29 29 29 27 27 27 27 338
1977 26 28 28 28 28 28 28 28 26 26 26 26 326
1978 25 27 27 27 27 27 27 27 25 25 25 25 314
1979 25 27 27 27 27 27 27 27 25 25 25 25 314
1980 25 26 26 26 26 26 26 26 25 25 25 25 307
1981 24 26 26 26 26 26 26 26 24 24 24 24 302
1982 25 25 25 25 25 25 25 25 25 25 25 25 300
1983 25 26 26 26 26 26 26 26 25 25 25 25 307
1984 25 27 27 27 27 27 27 27 25 25 25 25 314
1985 25 27 27 27 27 27 27 27 25 25 25 25 314
1986 25 27 27 27 27 27 27 27 25 25 25 25 314
1987 25 27 27 27 27 27 27 27 25 25 25 25 314
1988 24 26 26 26 26 26 26 26 24 24 24 24 302
1989 24 26 26 26 26 26 26 26 24 24 24 24 302
1990 23 25 25 25 25 25 25 25 23 23 23 23 290
1991 22 24 24 24 24 24 24 24 22 22 22 22 278
1992 22 24 24 24 24 24 24 24 22 22 22 22 278
1993 22 23 23 23 23 23 23 23 22 22 22 22 271
1994 22 23 23 23 23 23 23 23 22 22 22 22 271
1995 22 24 24 24 24 24 24 24 22 22 22 22 278
1996 22 24 24 24 24 24 24 24 22 22 22 22 278
1997 22 23 23 23 23 23 23 23 22 22 22 22 271
1998 19 22 22 22 22 22 22 22 19 19 19 19 249
1999 18 19 19 19 19 19 19 19 18 18 18 18 223
2000 17 18 18 18 18 18 18 18 17 17 17 17 211
2001 15 15 15 15 15 15 15 15 15 15 15 15 180
2002 14 14 14 14 14 14 14 14 14 14 14 14 168
2003 14 14 14 14 14 14 14 14 14 14 14 14 168
2004 14 15 15 15 15 15 15 15 14 14 14 14 175
2005 15 15 15 15 15 15 15 15 15 15 15 15 180
2006 15 16 16 16 16 16 16 16 15 15 15 15 187
2007 15 16 16 16 16 16 16 16 15 15 15 15 187
2008 15 16 16 16 16 16 16 16 15 15 15 15 187
2009 15 16 16 16 16 16 16 16 15 15 15 15 187
2010 15 16 16 16 16 16 16 16 15 15 15 15 187
2011 15 15 15 15 15 15 15 15 15 15 15 15 180
2012 15 16 16 16 16 16 16 16 15 15 15 15 187
2013 15 15 15 15 15 15 15 15 15 15 15 15 180
2014 15 15 15 15 15 15 15 15 15 15 15 15 180
2015 15 15 15 15 15 15 15 15 15 15 15 15 180
2016 20 20 20 20 20 20 20 20 20 20 20 20 226
2017 20 20 20 20 20 20 20 20 20 20 20 20 232
2018 17 17 17 17 17 17 17 17 17 17 17 17 215
2019 15 15 15 15 15 15 15 15 15 15 15 15 198
2020 15 15 15 15 15 15 15 15 15 15 15 15 180
2021 13 13 13 13 13 13 13 13 13 13 13 13 164
2022 11 11 11 11 11 11 11 11 11 11 11 11 147
2023 11 11 11 11 11 11 11 11 11 11 11 11 147
2024 11 11 11 11 11 11 11 11 11 11 11 11 147
