Year January February March April May June July August September October November December Total
1971 19 18 22 23 31 35 39 37 32 27 23 21 327
1972 20 19 24 27 34 39 43 41 34 30 24 22 357
1973 21 20 26 29 37 41 45 43 37 31 26 23 379
1974 22 21 28 30 39 44 47 46 38 32 28 24 399
1975 22 21 28 30 39 45 48 47 40 34 29 26 409
1976 25 23 30 33 43 49 54 52 43 36 31 28 447
1977 26 25 32 36 47 54 58 55 47 39 33 30 482
1978 28 26 33 37 49 57 60 58 49 41 35 31 504
1979 29 28 36 40 52 59 64 60 51 43 36 33 531
1980 30 29 37 41 55 62 66 64 55 44 37 34 554
1981 31 30 39 43 57 64 68 66 57 47 40 35 577
1982 33 31 41 45 59 67 71 68 59 48 42 36 600
1983 34 33 43 47 61 68 74 71 61 52 43 37 624
1984 35 34 44 48 64 71 76 74 64 53 44 39 646
1985 36 35 45 52 66 75 80 77 67 56 47 42 678
1986 40 37 48 55 71 80 86 82 71 59 50 44 723
1987 42 39 52 57 75 85 90 87 75 63 53 46 764
1988 44 42 54 62 79 89 95 91 78 66 56 48 804
1989 46 44 57 64 82 92 99 95 82 69 59 52 841
1990 47 45 60 66 87 97 103 99 86 71 60 53 874
1991 50 47 61 68 88 99 106 101 87 73 62 56 898
1992 51 48 63 70 89 101 109 104 89 75 64 57 920
1993 53 51 65 72 92 104 112 106 92 78 66 58 949
1994 55 52 67 74 95 107 116 110 95 79 68 60 978
1995 57 54 69 76 98 111 119 115 98 82 70 61 1010
1996 58 55 71 77 101 113 122 117 99 82 71 63 1029
1997 59 55 70 79 102 114 122 117 100 84 71 63 1036
1998 60 55 72 79 103 115 123 118 102 85 71 63 1046
1999 59 56 73 80 102 115 123 118 100 85 72 64 1047
2000 60 56 72 81 103 115 125 119 102 86 74 64 1057
2001 60 57 74 82 104 119 126 121 103 87 75 65 1073
2002 61 57 75 82 105 120 128 123 104 88 76 67 1086
2003 62 58 76 83 106 121 129 124 106 89 76 68 1098
2004 63 59 77 84 110 123 132 127 108 92 78 68 1121
2005 64 61 79 86 113 125 136 129 112 94 79 71 1149
2006 65 61 80 88 115 129 138 133 114 95 81 72 1171
2007 66 62 80 89 115 130 138 133 114 96 81 72 1176
2008 66 62 81 89 115 129 137 131 113 93 80 71 1167
2009 65 61 79 86 113 125 135 129 111 92 78 70 1144
2010 63 60 78 85 111 124 132 126 109 90 77 69 1124
2011 63 59 77 84 109 123 131 124 107 89 76 66 1108
2012 62 59 76 83 108 120 129 122 105 88 76 66 1094
2013 62 58 76 82 108 119 128 122 104 88 75 66 1088
2014 62 58 75 82 107 119 128 121 104 88 74 65 1083
2015 62 58 75 82 105 118 128 121 104 87 74 65 1079
2016 57 54 69 76 100 113 120 115 100 82 68 61 1011
2017 58 54 70 77 101 114 122 116 101 84 70 61 1026
2018 58 55 71 78 102 116 124 118 102 85 70 62 1043
2019 59 55 71 78 103 117 125 119 102 85 71 62 1052
2020 59 55 72 79 102 117 125 120 102 85 71 62 1052
2021 60 56 74 81 104 120 129 122 104 88 72 63 1074
2022 61 58 75 82 107 122 130 124 106 90 74 65 1092
2023 62 58 75 82 109 124 132 125 108 90 74 66 1106
2024 62 59 76 84 109 124 133 127 109 91 75 66 1118
