Year January February March April May June July August September October November December Total
1971 125 125 125 125 125 125 125 125 125 125 125 125 1500
1972 134 134 134 134 134 134 134 134 134 134 134 134 1608
1973 125 125 125 125 125 125 125 125 125 125 125 125 1500
1974 117 117 117 117 117 117 117 117 117 117 117 117 1404
1975 117 117 117 117 117 117 117 117 117 117 117 117 1404
1976 59 59 59 59 59 59 59 59 59 59 59 59 708
1977 75 75 75 75 75 75 75 75 75 75 75 75 900
1978 191 191 191 191 191 191 191 191 191 191 191 191 2292
1979 183 183 183 183 183 183 183 183 183 183 183 183 2196
1980 150 150 150 150 150 150 150 150 150 150 150 150 1800
1981 142 142 142 142 142 142 142 142 142 142 142 142 1704
1982 191 191 191 191 191 191 191 191 191 191 191 191 2292
1983 125 125 125 125 125 125 125 125 125 125 125 125 1500
1984 134 134 134 134 134 134 134 134 134 134 134 134 1608
1985 250 250 250 250 250 250 250 250 250 250 250 250 3000
1986 250 250 250 250 250 250 250 250 250 250 250 250 3000
1987 250 250 250 250 250 250 250 250 250 250 250 250 3000
1988 250 250 250 250 250 250 250 250 250 250 250 250 3000
1989 250 250 250 250 250 250 250 250 250 250 250 250 3000
1990 250 250 250 250 250 250 250 250 250 250 250 250 3000
1991 644 644 644 644 644 644 644 644 644 644 644 644 7728
1992 1037 1037 1037 1037 1037 1037 1037 1037 1037 1037 1037 1037 12444
1993 1430 1430 1430 1430 1430 1430 1430 1430 1430 1430 1430 1430 17160
1994 1823 1823 1823 1823 1823 1823 1823 1823 1823 1823 1823 1823 21876
1995 2217 2217 2217 2217 2217 2217 2217 2217 2217 2217 2217 2217 26604
1996 2140 2140 2140 2140 2140 2140 2140 2140 2140 2140 2140 2140 25680
1997 2063 2063 2063 2063 2063 2063 2063 2063 2063 2063 2063 2063 24756
1998 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 1986 23832
1999 1910 1910 1910 1910 1910 1910 1910 1910 1910 1910 1910 1910 22920
2000 1833 1833 1833 1833 1833 1833 1833 1833 1833 1833 1833 1833 21996
2001 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 21180
2002 1697 1697 1697 1697 1697 1697 1697 1697 1697 1697 1697 1697 20364
2003 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 19548
2004 1561 1561 1561 1561 1561 1561 1561 1561 1561 1561 1561 1561 18732
2005 1493 1493 1493 1493 1493 1493 1493 1493 1493 1493 1493 1493 17916
2006 1541 1541 1541 1541 1541 1541 1541 1541 1541 1541 1541 1541 18492
2007 1589 1589 1589 1589 1589 1589 1589 1589 1589 1589 1589 1589 19068
2008 1637 1637 1637 1637 1637 1637 1637 1637 1637 1637 1637 1637 19644
2009 1686 1686 1686 1686 1686 1686 1686 1686 1686 1686 1686 1686 20232
2010 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 20808
2011 1707 1707 1707 1707 1707 1707 1707 1707 1707 1707 1707 1707 20484
2012 1681 1681 1681 1681 1681 1681 1681 1681 1681 1681 1681 1681 20172
2013 1655 1655 1655 1655 1655 1655 1655 1655 1655 1655 1655 1655 19860
2014 1628 1628 1628 1628 1628 1628 1628 1628 1628 1628 1628 1628 19536
2015 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2016 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2017 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2018 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2019 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2020 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2021 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2022 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2023 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
2024 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 1601 19212
