Year January February March April May June July August September October November December Total
1971 12 11 28 37 45 53 51 24 32 17 17 3 330
1972 12 17 28 38 48 47 52 40 32 -12 8 1 311
1973 9 0 1 37 48 51 51 44 38 29 12 12 332
1974 -2 16 18 38 51 53 44 42 32 14 12 7 325
1975 11 11 18 33 51 53 43 48 35 27 10 9 349
1976 12 -10 24 28 45 53 44 47 19 23 17 11 313
1977 3 16 26 35 45 53 48 38 32 20 16 6 338
1978 -13 -5 -5 31 48 53 51 42 36 21 -7 -7 245
1979 -7 11 8 38 45 53 50 33 38 25 17 9 320
1980 -19 -22 17 34 46 53 47 43 36 25 18 11 289
1981 10 11 12 36 48 52 46 36 29 19 5 12 316
1982 2 4 8 37 42 53 50 32 33 27 5 -9 284
1983 4 4 2 33 51 53 49 24 11 21 14 2 268
1984 12 17 28 38 51 51 34 26 30 29 9 -16 309
1985 0 9 21 33 49 53 43 48 32 21 -8 12 313
1986 8 6 13 36 48 50 46 32 28 23 13 3 306
1987 3 6 24 36 47 52 48 39 33 12 -1 4 303
1988 2 10 27 21 51 52 46 17 38 27 12 11 314
1989 -3 15 22 38 48 53 46 41 38 23 18 9 348
1990 1 8 21 31 46 52 35 36 23 25 14 11 303
1991 3 10 -10 38 51 53 51 40 31 24 8 3 302
1992 0 -4 3 37 38 53 52 25 38 24 18 -11 273
1993 -33 -25 19 38 46 53 57 36 38 20 10 10 269
1994 12 9 19 33 47 53 51 40 30 25 12 -3 328
1995 -10 0 14 32 49 53 54 40 33 29 17 11 322
1996 12 9 25 38 51 53 48 41 34 26 12 11 360
1997 -5 10 28 31 48 53 54 40 15 28 16 1 319
1998 5 -9 14 32 47 53 41 35 27 23 10 10 288
1999 11 12 25 31 50 51 34 40 24 29 18 12 337
2000 11 9 15 38 51 49 55 28 38 2 15 12 323
2001 -1 6 16 33 50 53 51 35 37 24 14 9 327
2002 12 17 27 38 51 53 50 50 28 23 14 10 373
2003 8 -8 17 36 51 53 50 33 33 28 10 7 318
2004 11 6 26 28 51 53 52 41 26 -2 -5 1 288
2005 -14 -13 25 33 51 53 51 31 38 18 17 12 302
2006 12 17 17 37 51 52 43 39 28 21 18 12 347
2007 10 14 23 38 51 53 42 44 33 27 18 -2 351
2008 -8 10 28 38 47 53 45 37 35 29 7 -4 317
2009 11 6 28 35 48 53 49 48 35 29 18 -2 358
2010 -15 5 19 38 51 53 51 40 38 13 16 -5 304
2011 12 6 26 34 49 53 46 48 32 24 12 -1 341
2012 12 15 21 35 51 53 38 35 31 27 17 2 337
2013 1 15 27 38 51 53 43 30 28 27 7 11 331
2014 12 16 22 37 51 53 42 24 20 27 18 -1 321
2015 1 13 14 36 45 51 46 41 33 13 16 10 319
2016 0 14 27 32 45 54 50 26 32 26 11 -8 309
2017 -7 3 25 39 48 54 37 42 31 28 18 12 330
2018 6 12 24 39 50 54 41 37 38 15 16 11 343
2019 -7 -14 22 37 45 54 56 48 31 28 -8 0 292
2020 12 11 2 38 50 54 55 47 39 28 16 12 364
2021 -2 16 24 37 51 53 34 40 35 25 18 -4 327
2022 10 14 24 39 51 52 45 25 27 21 13 5 326
2023 -14 9 4 39 47 54 55 42 31 27 17 9 320
2024 4 -4 15 34 51 52 49 43 38 27 18 12 339
