Year January February March April May June July August September October November December Total
1971 666 723 1274 1547 1806 1923 2005 1868 1739 1158 860 637 16206
1972 722 847 1381 1741 1931 2039 2152 2159 1902 947 848 681 17350
1973 694 642 1204 1772 2018 2100 2213 2232 1977 1288 873 759 17772
1974 743 979 1609 2099 2452 2595 2624 2815 2456 1475 1114 888 21849
1975 754 804 1333 1709 2052 2206 2147 2285 2015 1357 862 713 18237
1976 619 683 1869 2043 2635 2927 2692 2976 1585 1343 962 810 21144
1977 779 1138 1802 2272 2390 2928 2928 2937 2530 1619 1141 912 23376
1978 138 476 1867 4085 5198 6832 6199 5732 4986 3273 1371 318 40475
1979 160 1815 1663 4276 6690 7338 6232 5614 5754 3648 2254 1548 46992
1980 -150 -347 3556 5407 6654 8003 7211 6223 4969 2813 2012 1429 47780
1981 1478 1639 2386 4028 4739 5343 5300 4622 3379 2161 1288 1223 37586
1982 1039 1032 1765 3591 4190 5174 4866 2915 3840 2788 1113 412 32725
1983 1191 1258 1814 4203 6003 6452 6588 4431 2682 2532 2142 1388 40684
1984 1499 2017 3396 3775 4968 5093 4429 3140 3735 2801 1065 -711 35207
1985 1317 1681 3410 4716 6284 7277 6418 6477 4361 2600 601 1602 46744
1986 1714 1967 3643 5239 6842 6243 5280 5082 4894 2936 1950 1518 47308
1987 2187 1730 2816 3717 4619 4956 5042 4514 4249 1889 939 528 37186
1988 311 915 2280 2900 4639 4968 5101 3781 4031 2562 1782 1571 34841
1989 652 1967 2668 3354 4426 5158 5121 3935 3405 2337 1998 1067 36088
1990 591 1208 2881 4088 4507 4889 4200 4194 3358 2365 1473 1116 34870
1991 1279 2245 1986 3767 4477 4911 4802 4402 3473 2859 2015 1535 37751
1992 1694 1745 2731 5567 5920 5645 6218 5276 4597 3313 3304 1112 47122
1993 186 1015 4588 6396 6383 7110 7446 6412 6083 4019 2771 2989 55398
1994 2981 2808 3435 4530 4553 5353 5401 4511 3868 3147 2774 2095 45456
1995 1957 2762 4145 5048 5850 6392 6395 5452 5303 4356 3199 2916 53775
1996 3142 3078 3901 4305 5173 5610 5731 5556 4853 3989 2882 2872 51092
1997 2063 2749 3748 4269 5210 5439 5127 4527 4102 3815 2975 2418 46442
1998 2709 1755 3911 5220 6062 6745 5655 5634 4839 3987 2593 2799 51909
1999 2740 2779 3838 4097 5440 5905 5059 5550 5009 4011 2745 2732 49905
2000 2704 2591 3188 4202 5109 4990 5585 4632 4798 2574 2718 2575 45666
2001 2013 2344 3958 4920 5781 6040 5693 5625 4737 3586 2978 2542 50217
2002 2534 2774 3308 3980 4715 5139 4945 4888 4181 3034 2436 2344 44278
2003 2364 1629 4128 4321 5025 5096 4888 4719 4935 3319 2606 2637 45667
2004 2342 2220 3189 3642 4056 4240 4200 4242 3799 2080 1798 2519 38327
2005 1675 1519 4973 5843 7022 6720 6640 5379 5380 3261 2988 2696 54096
2006 2599 3061 3349 4488 5605 6040 5722 5317 4770 3573 3051 2478 50053
2007 2215 2478 3332 4101 4949 5432 5000 4978 4655 3807 2883 2013 45843
2008 1690 2729 3566 4549 4892 6377 5895 5412 5084 3996 2238 1935 48363
2009 2862 2367 4074 5068 5642 5984 6182 5606 4917 3992 3117 2174 51985
2010 1896 2462 4073 5298 6042 6473 6323 5629 5353 4161 3458 2067 53235
2011 3007 2432 4112 5068 5681 6055 5531 5277 4582 3945 2876 2159 50725
2012 2481 2637 3109 4256 4954 4895 4489 4659 4161 3511 2859 2111 44122
2013 2167 2496 3387 4095 4845 5176 4684 4255 4418 3501 2291 2478 43793
2014 2280 2573 2901 3396 4063 4738 4231 3856 3690 3320 2531 1805 39384
2015 2207 2722 4074 4185 4403 4732 4355 4175 3606 3248 2915 2488 43110
2016 1915 2408 2881 3422 4033 4470 4429 4308 3622 3019 2356 1747 38590
2017 1952 2203 4142 5188 5747 6631 6474 6972 5180 3962 3047 2501 53989
2018 2127 2546 3089 3798 4395 5194 5189 5755 4500 2920 2555 2278 44361
2019 1604 1883 3526 4806 5485 6419 6532 6864 4981 3817 1897 2011 49848
2020 2471 2672 2951 5583 6299 6976 6875 7258 5404 3935 2932 2456 55815
2021 1988 2724 3456 4446 5320 5919 5694 6805 5333 3601 2891 1986 50172
2022 2364 2574 3361 4248 5004 5599 5777 6078 5361 3495 2754 2105 48730
2023 1794 2539 2986 5616 6549 7312 7353 7633 5709 4134 3039 2330 57012
2024 2227 2245 3307 4928 6001 6738 6867 7186 5439 3942 2899 2404 54202
