Year January February March April May June July August September October November December Total
1971 18 8 49 66 85 104 88 32 57 17 28 -10 542
1972 19 29 50 69 90 83 87 66 60 -61 3 -7 488
1973 8 -15 -30 68 85 95 90 75 73 51 16 18 534
1974 -15 28 29 70 96 104 74 71 56 14 18 7 552
1975 13 8 18 56 95 104 69 89 60 46 8 7 573
1976 17 -45 33 45 77 104 67 87 35 39 28 16 503
1977 -6 21 44 62 87 97 85 63 53 31 27 6 570
1978 -32 -22 -51 59 89 104 92 73 67 38 -38 -27 352
1979 -32 12 -4 69 81 101 92 59 68 42 25 9 522
1980 -56 -78 18 60 86 104 82 75 67 41 30 13 442
1981 12 15 7 64 91 100 71 55 56 32 -6 18 515
1982 -10 -9 -9 66 80 104 92 58 60 49 2 -32 451
1983 4 -1 -26 61 96 104 76 43 3 37 17 -6 408
1984 17 28 45 68 95 97 51 33 56 48 9 -41 506
1985 -10 10 29 57 91 103 63 89 58 38 -33 17 512
1986 12 1 11 63 95 91 76 46 49 29 20 1 494
1987 -4 -10 33 68 80 95 83 68 61 11 -13 -1 471
1988 -2 9 49 32 96 98 88 23 70 47 20 13 543
1989 -8 21 34 72 89 104 79 66 72 40 30 7 606
1990 -5 -2 30 54 89 101 43 64 32 44 21 13 484
1991 0 13 -47 72 96 99 89 72 57 36 7 -2 492
1992 -9 -14 0 67 61 99 88 28 72 40 30 -37 425
1993 -75 -74 23 72 86 102 109 54 72 24 5 12 410
1994 16 2 33 58 92 103 98 66 48 41 20 -13 564
1995 -25 -15 11 57 91 101 102 71 59 51 28 17 548
1996 17 10 40 72 94 104 74 66 59 43 14 15 608
1997 -24 12 50 51 90 100 102 70 24 47 24 -7 539
1998 2 -26 6 56 86 104 70 63 44 27 11 16 459
1999 16 18 46 50 93 95 50 67 25 51 30 18 559
2000 15 3 12 69 96 83 106 45 71 -19 20 18 519
2001 -10 5 23 58 94 95 92 34 69 33 21 10 524
2002 18 29 47 67 96 104 85 94 42 40 19 12 653
2003 12 -27 19 64 95 104 91 53 63 47 11 9 541
2004 15 4 45 48 96 103 95 67 26 -13 -19 -10 457
2005 -38 -44 39 55 96 100 93 53 69 31 28 18 500
2006 18 29 13 65 95 95 54 60 48 21 30 17 545
2007 13 22 41 71 96 104 63 80 56 47 29 -10 612
2008 -23 11 50 72 88 104 65 52 64 51 1 -18 517
2009 15 1 50 64 91 103 78 88 64 50 30 -18 616
2010 -44 8 29 68 96 103 84 64 70 8 27 -19 494
2011 19 3 45 63 90 104 68 89 57 35 16 -18 571
2012 17 21 27 64 96 104 52 63 53 49 29 -1 574
2013 -7 22 46 72 93 104 53 45 53 47 3 16 547
2014 19 27 42 67 96 104 63 35 33 47 30 -11 552
2015 -15 20 18 68 86 97 85 70 53 15 22 13 532
2016 -6 18 49 57 83 101 96 35 50 45 16 -23 521
2017 -23 1 45 69 88 104 55 73 57 51 30 19 569
2018 8 14 40 72 94 101 67 56 68 21 22 16 579
2019 -26 -52 33 66 75 104 101 91 56 51 -30 -10 459
2020 17 18 -10 65 95 104 98 89 73 51 26 17 643
2021 -16 27 38 66 96 99 50 71 62 40 29 -31 531
2022 13 17 40 72 96 99 81 29 43 35 19 3 547
2023 -51 4 -9 72 82 104 96 78 58 48 27 11 520
2024 3 -34 16 63 95 96 80 72 69 47 29 19 555
