Year January February March April May June July August September October November December Total
1971 1411 1495 1495 1495 1495 1495 1495 1495 1411 1411 1411 1411 17520
1972 1409 1493 1493 1493 1493 1493 1493 1493 1409 1409 1409 1409 17496
1973 1398 1483 1483 1483 1483 1483 1483 1483 1398 1398 1398 1398 17371
1974 1392 1474 1474 1474 1474 1474 1474 1474 1392 1392 1392 1392 17278
1975 1412 1495 1495 1495 1495 1495 1495 1495 1412 1412 1412 1412 17525
1976 1435 1523 1523 1523 1523 1523 1523 1523 1435 1435 1435 1435 17836
1977 1450 1541 1541 1541 1541 1541 1541 1541 1450 1450 1450 1450 18037
1978 1474 1561 1561 1561 1561 1561 1561 1561 1474 1474 1474 1474 18297
1979 1454 1545 1545 1545 1545 1545 1545 1545 1454 1454 1454 1454 18085
1980 1439 1524 1524 1524 1524 1524 1524 1524 1439 1439 1439 1439 17863
1981 1420 1506 1506 1506 1506 1506 1506 1506 1420 1420 1420 1420 17642
1982 1401 1486 1486 1486 1486 1486 1486 1486 1401 1401 1401 1401 17407
1983 1393 1476 1476 1476 1476 1476 1476 1476 1393 1393 1393 1393 17297
1984 1391 1476 1476 1476 1476 1476 1476 1476 1391 1391 1391 1391 17287
1985 1382 1461 1461 1461 1461 1461 1461 1461 1382 1382 1382 1382 17137
1986 1373 1455 1455 1455 1455 1455 1455 1455 1373 1373 1373 1373 17050
1987 1364 1447 1447 1447 1447 1447 1447 1447 1364 1364 1364 1364 16949
1988 1336 1414 1414 1414 1414 1414 1414 1414 1336 1336 1336 1336 16578
1989 1294 1371 1371 1371 1371 1371 1371 1371 1294 1294 1294 1294 16067
1990 1258 1337 1337 1337 1337 1337 1337 1337 1258 1258 1258 1258 15649
1991 1224 1295 1295 1295 1295 1295 1295 1295 1224 1224 1224 1224 15185
1992 1193 1262 1262 1262 1262 1262 1262 1262 1193 1193 1193 1193 14799
1993 1204 1279 1279 1279 1279 1279 1279 1279 1204 1204 1204 1204 14973
1994 1224 1295 1295 1295 1295 1295 1295 1295 1224 1224 1224 1224 15185
1995 1238 1313 1313 1313 1313 1313 1313 1313 1238 1238 1238 1238 15381
1996 1263 1338 1338 1338 1338 1338 1338 1338 1263 1263 1263 1263 15681
1997 1276 1355 1355 1355 1355 1355 1355 1355 1276 1276 1276 1276 15865
1998 1310 1386 1386 1386 1386 1386 1386 1386 1310 1310 1310 1310 16252
1999 1344 1421 1421 1421 1421 1421 1421 1421 1344 1344 1344 1344 16667
2000 1375 1458 1458 1458 1458 1458 1458 1458 1375 1375 1375 1375 17081
2001 1406 1489 1489 1489 1489 1489 1489 1489 1406 1406 1406 1406 17453
2002 1436 1522 1522 1522 1522 1522 1522 1522 1436 1436 1436 1436 17834
2003 1473 1559 1559 1559 1559 1559 1559 1559 1473 1473 1473 1473 18278
2004 1510 1600 1600 1600 1600 1600 1600 1600 1510 1510 1510 1510 18750
2005 1543 1633 1633 1633 1633 1633 1633 1633 1543 1543 1543 1543 19146
2006 1576 1670 1670 1670 1670 1670 1670 1670 1576 1576 1576 1576 19570
2007 1610 1704 1704 1704 1704 1704 1704 1704 1610 1610 1610 1610 19978
2008 1611 1708 1708 1708 1708 1708 1708 1708 1611 1611 1611 1611 20011
2009 1603 1697 1697 1697 1697 1697 1697 1697 1603 1603 1603 1603 19894
2010 1598 1695 1695 1695 1695 1695 1695 1695 1598 1598 1598 1598 19855
2011 1597 1690 1690 1690 1690 1690 1690 1690 1597 1597 1597 1597 19815
2012 1598 1694 1694 1694 1694 1694 1694 1694 1598 1598 1598 1598 19848
2013 1594 1690 1690 1690 1690 1690 1690 1690 1594 1594 1594 1594 19800
2014 1594 1690 1690 1690 1690 1690 1690 1690 1594 1594 1594 1594 19800
2015 1594 1690 1690 1690 1690 1690 1690 1690 1594 1594 1594 1594 19800
2016 1668 1668 1668 1668 1668 1668 1668 1668 1668 1668 1668 1668 20031
2017 1675 1675 1675 1675 1675 1675 1675 1675 1675 1675 1675 1675 20069
2018 1614 1614 1614 1614 1614 1614 1614 1614 1614 1614 1614 1614 19338
2019 1551 1551 1551 1551 1551 1551 1551 1551 1551 1551 1551 1551 18611
2020 1492 1492 1492 1492 1492 1492 1492 1492 1492 1492 1492 1492 17883
2021 1434 1434 1434 1434 1434 1434 1434 1434 1434 1434 1434 1434 17154
2022 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 16423
2023 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 16423
2024 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 1370 16423
