Year January February March April May June July August September October November December Total
1971 14990 14052 18212 19984 25755 29056 31195 29985 25799 21828 18710 16579 266145
1972 15664 14753 19210 21182 27296 30793 33063 31775 27335 23132 19829 17564 281596
1973 16594 15628 20353 22442 28891 32558 34921 33529 28817 24357 20860 18467 297417
1974 17427 16397 21333 23496 30196 33971 36374 34865 29912 25241 21581 19068 309861
1975 17967 16878 21922 24110 30976 34850 37313 35763 30685 25893 22137 19560 318054
1976 18429 17313 22480 24723 31793 35792 38347 36779 31574 26661 22807 20171 326869
1977 19015 17873 23226 25554 32877 37023 39679 38071 32696 27619 23636 20904 338173
1978 19713 18536 24098 26528 34149 38488 41280 39638 34067 28799 24662 21829 351787
1979 20603 19390 25217 27781 35708 40180 43031 41259 35406 29887 25557 22591 366610
1980 21291 20004 25986 28586 36768 41398 44363 42556 36548 30863 26407 23355 378125
1981 22022 20705 26913 29621 38075 42842 45885 43992 37756 31868 27253 24090 391022
1982 22704 21333 27708 30480 39175 44078 47199 45249 38831 32770 28022 24763 402312
1983 23333 21926 28475 31318 40278 45345 48590 46607 40017 33793 28913 25568 414163
1984 24106 22666 29451 32414 41704 46972 50353 48324 41510 35069 30017 26553 429139
1985 25051 23562 30631 33722 43386 48862 52379 50262 43169 36469 31213 27614 446320
1986 26044 24493 31840 35052 45102 50802 54462 52264 44898 37931 32464 28727 464079
1987 27096 25488 33132 36479 46888 52757 56498 54162 46479 39231 33540 29647 481397
1988 27934 26246 34089 37496 48175 54183 58001 55580 47680 40221 34381 30376 494362
1989 28609 26869 34886 38354 49225 55305 59136 56605 48504 40873 34900 30802 504068
1990 28981 27191 35259 38726 49799 56057 60054 57596 49447 41748 35714 31576 512148
1991 29767 27981 36355 40002 51437 57907 62041 59498 51084 43129 36894 32622 528717
1992 30752 28907 37561 41332 53171 59874 64172 61568 52876 44663 38218 33810 546904
1993 31883 29978 38969 42896 55218 62220 66733 64069 55058 46536 39848 35269 568677
1994 33287 31316 40731 44863 57750 65078 69789 67007 57583 48671 41674 36886 594635
1995 34806 32752 42595 46921 60348 67943 72807 69843 59977 50652 43335 38330 620309
1996 36140 33980 44160 48603 62501 70361 75381 72302 62073 52410 44836 39648 642395
1997 37377 35134 45655 50240 64599 72714 77905 74714 64142 54157 46325 40958 663920
1998 38615 36295 47157 51892 66709 75072 80410 77095 66171 55855 47768 42225 685264
1999 39795 37399 48583 53445 68659 77215 82650 79194 67924 57303 48973 43261 704401
2000 40748 38267 49677 54612 70207 79012 84628 81142 69643 58790 50274 44443 721443
2001 41108 38632 50181 55206 70934 79789 85419 81861 70225 59250 50646 44746 727997
2002 41356 38843 50434 55456 71241 80123 85757 82167 70476 59450 50811 44885 730999
2003 41457 38933 50539 55562 71404 80335 86018 82447 70741 59697 51036 45103 733272
2004 41659 39136 50822 55892 71877 80920 86703 83164 71399 60292 51579 45613 739056
2005 42140 39616 51474 56645 72851 82017 87877 84288 72370 61113 52280 46231 748902
2006 43068 40483 52605 57893 74394 83683 89596 85867 73667 62158 53135 46951 763500
2007 43694 41044 53292 58603 75271 84641 90584 86785 74425 62769 53638 47379 772125
2008 44064 41377 53707 59038 75772 85136 91042 87158 74685 62945 53746 47433 776103
2009 44080 41357 53643 58921 75608 84934 90812 86914 74466 62745 53567 47269 774316
2010 43908 41188 53411 58657 75297 84618 90503 86654 74267 62603 53459 47191 771756
2011 44417 41681 54068 59399 76264 85718 91697 87807 75268 63455 54199 47854 781827
2012 45045 42280 54849 60269 77375 86960 93018 89067 76344 64362 54969 48530 793068
2013 45679 42870 55616 61111 78472 88209 94377 90394 77501 65349 55825 49296 804699
2014 46410 43570 56533 62131 79781 89689 95953 91906 78793 66441 56758 50123 818088
2015 47189 44298 57478 63167 81124 91206 97590 93481 80154 67595 57751 51000 832033
2016 46927 43815 57142 63033 82204 93331 99999 94873 81971 68715 56377 49855 838241
2017 47263 44131 57557 63493 82799 94005 100726 95565 82565 69218 56783 50217 844321
2018 47666 44509 58046 64032 83503 94806 101578 96380 83267 69803 57268 50648 851506
2019 47665 44505 58044 64031 83503 94804 101576 96373 83264 69801 57266 50644 851477
2020 47034 43914 57275 63179 82393 93541 100230 95094 82162 68876 56504 49973 840170
2021 46944 43833 57164 63061 82234 93369 100039 94914 82003 68744 56399 49876 838582
2022 47207 44077 57489 63417 82702 93894 100602 95450 82464 69131 56716 50158 843306
2023 47393 44253 57711 63662 83027 94264 100999 95827 82790 69402 56939 50355 846625
2024 47680 44520 58058 64050 83523 94831 101606 96401 83287 69820 57283 50657 851716
