Year January February March April May June July August September October November December Total
1971 6211 8026 17382 20747 27658 31214 26210 13707 13589 4801 7193 2198 178936
1972 7182 10211 17294 21928 26866 23916 24184 17674 14113 -6636 311 -102 156941
1973 6545 -275 1485 29467 38969 49474 42280 36991 31101 22161 8461 9373 276032
1974 2828 12520 14787 26761 35454 39204 28265 24859 17967 7114 7905 4450 222114
1975 5960 5693 9389 17709 30673 35171 25431 26760 17063 14593 5387 3169 196998
1976 6438 2331 13042 15907 23873 29947 22671 20901 11509 9721 6615 5210 168165
1977 -548 7514 9741 15093 20424 23183 18960 13008 9218 7264 5538 2831 132226
1978 -5149 -4007 -922 29327 40960 47161 36664 30458 28304 14343 -1978 -8112 207049
1979 -8683 16899 18304 48800 56046 67122 63219 41613 40409 25795 14407 8564 392495
1980 -6984 -7534 25903 46480 61140 65992 56701 41233 30494 22538 12572 7312 355847
1981 5282 6519 7424 22858 30228 36054 23968 26290 18389 12370 4851 6770 201003
1982 -1061 2623 7243 24676 25482 35413 23302 18729 15366 15402 119 -1701 165593
1983 2957 5784 4820 33910 52283 50645 40274 22485 15925 13927 11275 3171 257456
1984 9578 14946 23189 24227 37391 37012 21356 20434 16432 12750 5249 -8877 213687
1985 3236 8670 19333 30901 38303 42826 34590 29360 14202 12587 1457 7465 242930
1986 8580 2158 3674 24646 32233 35400 26003 16235 18454 9461 7012 1141 184997
1987 3399 1310 13746 24111 26871 34864 32917 20948 21043 11896 4007 1317 196429
1988 1103 8041 18392 14475 31007 30059 21539 11592 20971 12237 7730 6045 183191
1989 745 9024 10001 22169 26784 27631 19185 16019 16743 7990 6691 3516 166498
1990 1914 2441 5398 11839 17974 20364 11317 7084 8646 9542 3403 -3001 96921
1991 1702 4733 -5705 24131 29704 31097 31329 20297 15394 14134 4288 -2328 168776
1992 770 358 481 25976 17107 30786 22315 11290 18024 14869 10143 -10446 141673
1993 -29200 -3663 30680 53717 58583 61678 56454 32250 33849 16222 1293 8370 320233
1994 11239 3120 10556 22599 27366 37203 26956 23270 15222 11638 4028 -3612 189585
1995 -6393 6045 17789 34236 42312 46760 38258 21093 19295 16334 7903 8665 252297
1996 9986 6152 14966 24801 31847 32104 19730 20038 7522 10473 6343 7393 191355
1997 -3088 3212 15824 16978 25853 26536 26878 13873 12763 7227 5348 -1969 149435
1998 2789 -10379 2700 17283 28455 34520 25550 21351 15509 10511 7198 5539 161026
1999 8225 8809 13145 10000 26512 27892 11451 14812 10934 15967 10750 8234 166731
2000 7703 9170 6169 20292 25624 23737 23885 10596 14175 -2454 3934 7040 149871
2001 -924 4263 10539 15377 28488 32657 20870 18922 20739 12202 8931 4215 176279
2002 6877 10215 13946 17506 23438 25879 20232 18279 11932 8764 5974 2970 166012
2003 5609 -3152 6992 16852 25070 28969 22069 12495 12452 11446 4719 4556 148077
2004 3735 5745 8924 14443 26298 28552 24449 18085 13464 9307 3310 -1123 155189
2005 -5359 -12817 20283 31315 43466 44209 36784 21692 25540 18621 13364 10715 247813
2006 12783 14276 6389 22484 32117 33458 21580 18800 17083 11441 12137 8128 210676
2007 4773 6254 14650 22959 29343 33357 22620 20985 17595 15883 8624 -7101 189942
2008 -4950 4067 22105 29967 26804 39465 24741 15672 23738 17299 7081 -5428 200561
2009 8000 6320 23937 26809 29336 32804 30393 27856 20246 18051 10663 2187 236602
2010 -15516 863 10804 30128 35373 40396 28293 22439 21583 13156 11204 827 199550
2011 9817 5986 18184 25487 30812 36070 27823 26219 21051 15128 5462 -1376 220663
2012 7712 9845 12334 20235 30818 32937 19931 15440 14317 13367 6849 326 184111
2013 -934 4437 8876 20093 27323 30889 19258 19413 14599 16246 2118 5361 167679
2014 9287 10223 11379 22602 29000 31722 23105 10981 6710 10444 10440 1251 177144
2015 1695 10284 14170 19596 24201 29070 29248 23131 18670 9955 7255 5018 192293
2016 5638 11573 17108 20432 25665 29525 27676 20705 17344 13282 7782 4353 201083
2017 4955 7817 18008 24474 31938 34826 29113 28658 23245 17683 11215 8908 240840
2018 8672 9197 15216 20742 25871 27335 24861 21194 17980 9825 8484 5872 195249
2019 4999 6568 14175 20816 27302 30814 29901 26046 19104 16647 7831 5689 209892
2020 8539 9155 14666 25573 34373 36793 36898 30297 24177 17789 11219 8418 257897
2021 6699 10787 15409 21571 27460 29834 23458 22626 20651 15866 11009 5804 211174
2022 8104 10295 15427 21056 27014 26812 27383 22038 20469 14029 10217 4710 207554
2023 4782 11108 16824 37836 43703 41821 42062 34743 27161 21296 12947 8089 302372
2024 8015 8618 16267 23979 35727 37764 37738 32789 26242 19066 11869 9670 267744
