Year January February March April May June July August September October November December Total
1971 4717 4717 4717 4717 4717 4717 4717 4717 4717 4717 4717 4717 56604
1972 5254 5254 5254 5254 5254 5254 5254 5254 5254 5254 5254 5254 63048
1973 5369 5369 5369 5369 5369 5369 5369 5369 5369 5369 5369 5369 64428
1974 4979 4979 4979 4979 4979 4979 4979 4979 4979 4979 4979 4979 59748
1975 4508 4508 4508 4508 4508 4508 4508 4508 4508 4508 4508 4508 54096
1976 6232 6232 6232 6232 6232 6232 6232 6232 6232 6232 6232 6232 74784
1977 5518 5518 5518 5518 5518 5518 5518 5518 5518 5518 5518 5518 66216
1978 5659 5659 5659 5659 5659 5659 5659 5659 5659 5659 5659 5659 67908
1979 5960 5960 5960 5960 5960 5960 5960 5960 5960 5960 5960 5960 71520
1980 4858 4858 4858 4858 4858 4858 4858 4858 4858 4858 4858 4858 58296
1981 4544 4544 4544 4544 4544 4544 4544 4544 4544 4544 4544 4544 54528
1982 6019 6019 6019 6019 6019 6019 6019 6019 6019 6019 6019 6019 72228
1983 3993 3993 3993 3993 3993 3993 3993 3993 3993 3993 3993 3993 47916
1984 4417 4417 4417 4417 4417 4417 4417 4417 4417 4417 4417 4417 53004
1985 7531 7531 7531 7531 7531 7531 7531 7531 7531 7531 7531 7531 90372
1986 8804 8804 8804 8804 8804 8804 8804 8804 8804 8804 8804 8804 105648
1987 10080 10080 10080 10080 10080 10080 10080 10080 10080 10080 10080 10080 120960
1988 11355 11355 11355 11355 11355 11355 11355 11355 11355 11355 11355 11355 136260
1989 12631 12631 12631 12631 12631 12631 12631 12631 12631 12631 12631 12631 151572
1990 13904 13904 13904 13904 13904 13904 13904 13904 13904 13904 13904 13904 166848
1991 13185 13185 13185 13185 13185 13185 13185 13185 13185 13185 13185 13185 158220
1992 12467 12467 12467 12467 12467 12467 12467 12467 12467 12467 12467 12467 149604
1993 11751 11751 11751 11751 11751 11751 11751 11751 11751 11751 11751 11751 141012
1994 11031 11031 11031 11031 11031 11031 11031 11031 11031 11031 11031 11031 132372
1995 10312 10312 10312 10312 10312 10312 10312 10312 10312 10312 10312 10312 123744
1996 9808 9808 9808 9808 9808 9808 9808 9808 9808 9808 9808 9808 117696
1997 9306 9306 9306 9306 9306 9306 9306 9306 9306 9306 9306 9306 111672
1998 8801 8801 8801 8801 8801 8801 8801 8801 8801 8801 8801 8801 105612
1999 8300 8300 8300 8300 8300 8300 8300 8300 8300 8300 8300 8300 99600
2000 7796 7796 7796 7796 7796 7796 7796 7796 7796 7796 7796 7796 93552
2001 7496 7496 7496 7496 7496 7496 7496 7496 7496 7496 7496 7496 89952
2002 7198 7198 7198 7198 7198 7198 7198 7198 7198 7198 7198 7198 86376
2003 6899 6899 6899 6899 6899 6899 6899 6899 6899 6899 6899 6899 82788
2004 6600 6600 6600 6600 6600 6600 6600 6600 6600 6600 6600 6600 79200
2005 6300 6300 6300 6300 6300 6300 6300 6300 6300 6300 6300 6300 75600
2006 6385 6385 6385 6385 6385 6385 6385 6385 6385 6385 6385 6385 76620
2007 6471 6471 6471 6471 6471 6471 6471 6471 6471 6471 6471 6471 77652
2008 6556 6556 6556 6556 6556 6556 6556 6556 6556 6556 6556 6556 78672
2009 6642 6642 6642 6642 6642 6642 6642 6642 6642 6642 6642 6642 79704
2010 6728 6728 6728 6728 6728 6728 6728 6728 6728 6728 6728 6728 80736
2011 8552 8552 8552 8552 8552 8552 8552 8552 8552 8552 8552 8552 102624
2012 10375 10375 10375 10375 10375 10375 10375 10375 10375 10375 10375 10375 124500
2013 12199 12199 12199 12199 12199 12199 12199 12199 12199 12199 12199 12199 146388
2014 14023 14023 14023 14023 14023 14023 14023 14023 14023 14023 14023 14023 168276
2015 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2016 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2017 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2018 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2019 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2020 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2021 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2022 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2023 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
2024 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 15847 190164
