Year January February March April May June July August September October November December Total
1971 350 414 897 1158 1553 1700 1478 685 848 370 452 47 9952
1972 392 550 910 1229 1542 1402 1453 1144 972 -290 235 40 9579
1973 288 49 228 1200 1450 1589 1380 1316 1177 856 331 373 10237
1974 19 531 699 1209 1585 1699 1239 1186 881 327 438 254 10067
1975 285 382 579 1018 1570 1703 1273 1405 846 811 297 179 10348
1976 353 98 787 989 1417 1692 1211 1350 661 644 435 331 9968
1977 18 515 789 1139 1533 1638 1349 1118 848 502 468 175 10092
1978 -248 -10 158 1128 1505 1664 1443 1215 1070 529 -177 -392 7885
1979 -413 399 428 1195 1377 1611 1499 1112 1136 788 462 265 9859
1980 -239 -347 590 1133 1524 1692 1413 1178 1013 774 517 305 9553
1981 212 357 453 1129 1488 1619 1245 1222 975 636 251 373 9960
1982 -12 256 456 1206 1400 1696 1399 977 854 848 85 -272 8893
1983 64 182 177 1106 1569 1701 1343 840 342 354 263 24 7965
1984 261 545 878 1070 1544 1558 962 858 731 601 295 -487 8816
1985 41 298 704 1064 1561 1681 1309 1275 715 507 9 265 9429
1986 354 191 497 1185 1541 1603 1268 981 962 578 303 8 9471
1987 143 152 759 1141 1455 1644 1478 1095 990 608 204 2 9671
1988 100 386 870 807 1580 1628 1293 765 1060 556 365 303 9713
1989 48 487 686 1233 1551 1697 1383 1240 1121 590 509 272 10817
1990 175 289 713 1114 1531 1654 999 945 758 769 343 -32 9258
1991 145 349 86 1236 1582 1651 1515 1141 953 700 252 -132 9478
1992 23 88 264 1118 1149 1651 1341 758 1094 734 495 -473 8242
1993 -932 -163 618 1229 1505 1687 1634 841 1089 589 106 309 8512
1994 349 208 623 1123 1450 1654 1518 1185 856 649 178 -189 9604
1995 -170 201 604 1118 1539 1691 1643 1051 914 831 394 317 10133
1996 354 271 819 1226 1585 1641 1260 1171 776 683 405 358 10549
1997 -61 325 851 1105 1515 1672 1612 1096 793 713 406 -137 9890
1998 281 -220 437 1101 1559 1693 1232 1139 925 654 333 281 9415
1999 373 482 858 901 1579 1642 965 1018 791 858 530 374 10371
2000 347 459 509 1216 1585 1426 1621 973 1149 -123 292 358 9812
2001 -10 332 688 966 1506 1645 1368 1091 1101 747 485 189 10108
2002 349 525 852 1204 1586 1703 1406 1325 821 724 385 184 11064
2003 314 -74 650 1186 1571 1695 1448 1117 924 771 280 279 10161
2004 219 330 676 953 1583 1691 1483 1230 911 523 232 -24 9807
2005 -225 -220 738 1129 1543 1681 1469 1010 1082 699 518 368 9792
2006 376 543 584 1196 1573 1623 1140 1030 862 654 525 304 10410
2007 188 405 720 1187 1550 1674 1241 1165 995 823 486 -272 10162
2008 -95 312 897 1233 1430 1674 1141 1005 1005 796 324 -60 9662
2009 276 326 884 1156 1462 1635 1449 1374 1002 831 493 111 10999
2010 -538 221 643 1189 1577 1693 1237 1118 1038 632 486 12 9308
2011 387 352 852 1149 1552 1696 1340 1240 931 756 310 -46 10519
2012 341 476 740 1177 1573 1682 1182 1082 929 835 470 48 10535
2013 72 418 760 1193 1581 1698 1169 1110 853 833 84 253 10024
2014 391 533 669 1195 1582 1703 1303 834 561 670 512 74 10027
2015 -29 459 683 1149 1397 1558 1338 1145 833 478 344 236 9591
2016 21 477 888 1117 1498 1580 1443 996 851 792 321 -74 9910
2017 -89 285 813 1209 1530 1678 1037 1208 1094 850 522 336 10473
2018 270 280 848 1223 1559 1592 1223 1096 1004 134 474 242 9945
2019 86 -124 680 1186 1464 1687 1530 1327 746 854 -160 -17 9259
2020 297 259 396 1180 1563 1685 1568 1370 1147 838 479 306 11088
2021 72 514 782 1198 1568 1665 822 918 855 753 517 -6 9658
2022 267 459 789 1223 1576 1507 1236 791 893 570 467 -8 9770
2023 -138 280 527 1223 1500 1691 1616 1254 1002 816 444 118 10333
2024 105 93 605 1055 1573 1581 1422 1240 1117 813 465 373 10442
