Year January February March April May June July August September October November December Total
1971 522 427 582 600 531 754 924 914 799 666 623 618 7960
1972 617 574 619 583 761 853 1017 1003 904 878 733 714 9256
1973 646 592 691 526 846 973 1076 1124 926 698 606 555 9259
1974 794 705 618 586 691 927 930 884 819 717 498 365 8534
1975 470 538 505 368 511 650 716 640 579 408 203 294 5882
1976 295 294 428 361 439 669 904 800 562 348 372 319 5791
1977 535 389 585 591 708 808 950 914 662 617 430 478 7667
1978 374 329 664 622 669 709 779 780 784 743 713 726 7892
1979 707 635 598 645 565 743 825 758 765 591 500 395 7727
1980 356 366 381 308 390 521 698 647 565 377 263 225 5097
1981 238 364 523 594 604 656 711 688 569 286 168 184 5585
1982 216 247 258 257 226 260 362 437 288 132 103 135 2921
1983 104 117 121 119 81 155 243 244 215 105 49 38 1591
1984 30 27 53 43 188 198 373 341 244 100 104 109 1810
1985 84 171 193 232 88 377 815 615 870 774 267 1167 5653
1986 1064 1604 464 192 766 2512 1632 2002 3035 4052 3894 3858 25075
1987 1834 133 2019 4093 3776 3727 2275 4145 4046 2336 1924 2307 32615
1988 2810 3442 3578 3802 4174 4636 4914 3242 6170 6485 5678 6482 55413
1989 5388 4891 1527 545 416 451 1833 2472 1284 1103 323 2203 22436
1990 2603 3547 2324 1697 2403 2442 4320 5899 5520 6307 6322 6469 49853
1991 5109 4731 5093 4219 4305 5543 6498 5684 5234 4911 3203 4352 58882
1992 4225 4994 3780 4200 3898 6255 6663 6716 5312 4270 4185 6315 60813
1993 6327 5368 5235 4081 4155 4311 4294 4008 4016 3719 3304 4076 52894
1994 4178 3472 3255 3702 3554 4313 6450 6371 5274 4822 5594 5219 56204
1995 6488 4086 4208 4141 4268 6061 6511 6588 6400 5224 3939 5992 63906
1996 6311 5695 5047 3123 6025 6206 6704 6554 5522 4549 6210 6583 68529
1997 6535 5231 4373 5677 6310 6120 6776 6426 4782 4887 6232 6616 69965
1998 6498 5591 5289 4895 6514 6407 6925 6999 5749 4863 6301 6787 72818
1999 6670 6012 6046 4547 6578 6570 6917 7018 6574 4932 5834 6779 74477
2000 6186 6366 6755 4592 6699 6912 7315 7084 6699 4915 6301 7339 77163
2001 6655 5207 6523 4364 5350 6392 6338 6240 6138 2877 5314 6488 67886
2002 6643 6000 5530 5071 6585 6345 6533 6530 6131 4436 5873 6588 72265
2003 6978 6301 6886 5085 7087 6739 7781 7373 7218 5264 4661 5731 77104
2004 7580 6107 6678 5851 7242 6580 8842 8762 8143 5903 5491 6814 83993
2005 7837 6434 7237 5645 6114 6618 9036 7874 8426 5040 6001 6283 82545
2006 6259 5617 5594 3224 5249 7053 8577 9687 7883 5531 6942 8300 79916
2007 8125 6681 7502 6502 7734 7207 8914 10346 9218 5749 5867 6921 90766
2008 7799 8317 7966 6457 6486 8513 10115 10214 8910 7267 6308 7739 96091
2009 8118 7487 7927 6230 7106 8497 10440 10194 9282 7023 5924 7198 95426
2010 7732 7192 7106 6106 6215 8322 9754 9945 9104 6757 7119 8025 93377
2011 7711 7104 7210 5624 7109 8153 9200 9153 8529 6694 5664 7794 89945
2012 8085 7797 7333 6972 8340 8883 9279 10045 8766 6142 6442 7492 95576
2013 7597 7111 7519 5552 7824 8871 9919 10020 8994 6084 5623 7460 92574
2014 7741 7138 7311 5577 7517 8653 9661 9457 8897 7078 6360 7678 93068
2015 7848 7085 7736 5921 7523 9328 9802 10318 9277 7523 7003 8444 97808
2016 6828 6585 7881 5732 9623 11387 12271 9495 9960 6225 8310 7367 101664
2017 6861 6405 7698 6228 10362 11803 12348 12402 10900 7308 7869 8521 108705
2018 7877 6890 8042 6225 10638 8684 12059 10050 11497 6883 7174 7961 103980
2019 7774 6934 8362 6308 9686 10761 12083 11944 8535 7009 6849 6196 102441
2020 6930 7712 8330 6063 10558 10466 12571 12700 11505 7160 8285 8426 110706
2021 8140 6830 8518 6499 9799 11320 11607 11906 10806 5984 7853 8309 107571
2022 7748 7223 7101 6884 11154 12111 12813 12156 9250 8277 8601 8569 111887
2023 7814 7221 8118 6627 9762 10513 12562 12410 11481 7621 8963 6174 109266
2024 7814 7221 8118 6627 9762 10513 12562 12410 11481 7621 8963 6174 109266
