Year January February March April May June July August September October November December Total
1971 117960 139456 219699 258273 286924 318283 365271 340203 301849 199322 134474 99676 2781390
1972 128318 153314 237826 282732 312421 338924 397360 378409 332460 207242 141710 109652 3020368
1973 131771 146097 225920 296225 329860 367399 418366 401324 353791 240604 151957 121097 3184411
1974 133923 167977 250513 303891 339397 374364 424144 408178 356181 235900 159569 121145 3275182
1975 148771 173908 264702 318028 359724 398567 455262 444457 384173 262653 168055 128802 3507102
1976 141840 158689 252846 297753 332159 371825 426925 412178 355011 242993 160992 124854 3278065
1977 135971 168410 254919 303881 335724 371068 427584 407814 356983 243975 163088 124769 3294186
1978 119864 141210 220839 293163 328562 364750 410170 391466 346470 231242 141087 102812 3091635
1979 124887 175031 258075 331943 364867 405854 461098 425812 379655 257424 168936 128182 3481764
1980 132449 155153 277059 342702 386037 420964 472603 443684 385777 265672 174902 132611 3589613
1981 152420 179858 272604 335552 371873 414022 469845 458648 398780 270369 175075 139088 3638134
1982 129771 155415 238553 297610 324870 366151 410573 392378 343780 240512 149446 113898 3162957
1983 140766 166453 248750 322346 369470 399203 448921 416839 362722 252184 171091 126327 3425072
1984 135982 160356 243966 283418 323763 354366 393875 380722 333965 230250 151224 102747 3094634
1985 149758 165496 215645 250092 250385 486800 520139 423159 451481 293122 153389 140180 3499646
1986 162546 157898 280306 260528 387895 349489 400597 379438 372436 256215 194701 139670 3341719
1987 178472 154945 235671 218088 269635 344413 375776 376051 354436 195963 150200 42141 2895791
1988 36032 113187 168885 259379 239816 283610 357837 403051 398395 227922 193698 133474 2815286
1989 97744 120253 119767 176743 230883 255532 316784 327784 363219 264647 147332 63550 2484238
1990 40519 79036 85902 162105 193728 237770 315255 374394 420500 280477 143693 47621 2381000
1991 54865 166295 192731 240219 271812 270607 380010 387488 380283 283033 143918 72532 2843793
1992 56408 113025 213863 362982 353683 351083 373144 377713 331643 247629 204505 41574 3027252
1993 57560 166606 230680 248011 231131 282729 350204 391646 399638 257808 85348 20592 2721953
1994 71395 118018 142005 214240 273867 386937 473862 448506 390083 208872 79673 102580 2910038
1995 91783 178499 222163 294712 327187 402163 474818 506162 429106 290328 141402 30801 3389124
1996 96659 117335 134306 159808 176116 293593 444132 437658 397321 275038 160354 30568 2722888
1997 -3184 20622 99913 131553 171233 313595 395850 428160 371931 203898 9339 -23388 2119522
1998 30269 -29421 176502 241857 244205 264398 396096 395936 375890 248603 43564 58019 2445918
1999 19719 19491 64734 125644 172729 258631 421252 357092 384286 183652 103 50559 2057892
2000 49288 31959 49925 76507 123167 323186 374610 357940 303131 147126 51872 -20756 1867955
2001 -23074 37523 90458 178787 154188 264830 371957 358029 293388 212755 50554 -27370 1962025
2002 6433 15189 52589 103977 185653 218915 356858 299584 264188 190646 33763 21347 1749142
2003 -16020 -30832 107887 135195 201082 237349 341990 332647 295788 119606 14873 -17787 1721778
2004 -24239 16043 71744 112850 160997 213720 310091 355263 275433 230793 27998 -43124 1707569
2005 -9105 107261 316868 171064 233574 320739 341738 349006 233058 115689 29949 96180 2306021
2006 7622 42032 144397 110354 152833 228137 363078 342309 225458 62643 53537 -5518 1726882
2007 42671 43092 61715 148634 184970 247577 338298 340877 196954 85789 38228 9780 1738585
2008 3041 55382 104088 164313 205202 292692 352044 315153 253609 118519 5509 85127 1954679
2009 4104 -2089 92307 164612 183342 326091 333111 276282 169779 121225 42758 -4891 1706631
2010 -21558 90415 148119 169266 191439 206053 356966 335641 171742 92805 24074 -55248 1709714
2011 98765 26112 56634 139165 179045 222494 349794 347305 248589 109507 11284 -7645 1781049
2012 -8624 -1909 42787 129485 194887 299803 376901 291401 214917 239724 4095 3961 1787428
2013 86463 49945 71386 174769 209242 297337 343579 275636 180174 71197 13879 34399 1808006
2014 103694 65548 92367 166995 206713 304270 354094 281559 203635 143959 60053 35446 2018333
2015 -7705 117174 181239 199818 268791 356634 340245 296613 163863 161946 95145 47290 2221053
2016 -34525 81818 146013 138356 201354 343533 383581 324157 203028 128607 40068 2740 1958742
2017 2257 86471 128856 164926 193014 358256 375601 343571 226108 158837 69959 11531 2119354
2018 71303 41698 99552 142236 208541 345559 384490 419641 199620 20786 9000 1862 1944255
2019 48721 -29417 148263 162999 199616 310611 385592 338497 196764 124309 4178 43538 1933675
2020 71062 84614 125662 153200 222133 346556 424036 379677 182629 103146 67668 9976 2170342
2021 19357 87565 105298 188424 235104 375129 398737 380489 252620 123128 67769 34065 2267632
2022 63205 62672 110302 163765 240282 346021 408951 364096 280565 159667 105231 46631 2351372
2023 82941 116966 117703 129532 207430 334194 439399 381362 270346 184720 124896 106487 2495973
2024 82149 84085 73433 120949 199869 340929 424143 379149 253892 174580 129801 117997 2380956
