Year January February March April May June July August September October November December Total
1971 278 312 801 1005 1426 1602 1197 204 594 -132 299 -255 7331
1972 367 519 867 1158 1423 1085 1097 844 775 -785 48 -227 7171
1973 124 -159 -268 1034 1122 1404 1007 1037 1101 798 153 309 7662
1974 -210 696 866 1661 2222 2393 1549 1563 1134 174 564 289 12901
1975 238 324 632 1290 2175 2416 1641 1918 1027 1133 240 139 13173
1976 437 -9 949 1348 1860 2395 1473 1694 832 926 573 448 12926
1977 -53 684 1051 1561 2184 2296 1666 1524 1138 582 604 223 13460
1978 -420 -184 -163 1559 2099 2380 2043 1546 1448 742 -649 -936 9465
1979 -993 472 395 1719 1863 2354 2185 1493 1596 1137 583 284 13088
1980 -749 -773 738 1637 2306 2603 2027 1684 1429 1068 751 383 13104
1981 276 483 431 1663 2229 2489 1800 1710 1351 968 345 532 14277
1982 -231 255 569 1891 2183 2755 2090 1323 1388 1357 -52 -593 12935
1983 15 272 -102 1690 2526 2722 2025 1267 203 519 371 -60 11448
1984 376 849 1323 1678 2443 2527 1364 1059 1020 947 402 -1090 12898
1985 -85 408 1001 1654 2494 2748 1930 2087 1032 817 -78 360 14368
1986 574 207 734 1905 2523 2523 1920 1454 1462 848 346 -81 14415
1987 89 -11 1138 1880 2391 2640 2356 1694 1642 914 151 -100 14784
1988 89 575 1448 1112 2612 2588 2073 1133 1691 926 552 403 15202
1989 -63 751 1067 2016 2582 2836 2216 2001 1779 995 832 412 17424
1990 200 397 1117 1779 2488 2731 1538 1456 1052 1262 427 -315 14132
1991 152 595 -238 2049 2647 2716 2169 1751 1539 1113 259 -331 14421
1992 -41 68 346 1791 1743 2723 2079 1039 1740 1112 726 -952 12374
1993 -1669 -479 898 1965 2427 2735 2704 1372 1715 934 47 452 13101
1994 519 162 901 1823 2351 2673 2418 1833 1126 910 10 -331 14395
1995 -456 271 892 1766 2510 2796 2677 1254 1394 1358 588 444 15494
1996 492 378 1278 2015 2632 2716 1756 1819 1159 934 547 525 16251
1997 -201 482 1321 1815 2587 2770 2628 1703 1297 1127 659 -318 15870
1998 428 -488 616 1805 2641 2860 1989 1765 1606 926 505 422 15075
1999 608 803 1420 1424 2667 2756 1533 1592 1118 1448 889 609 16867
2000 497 759 678 2023 2704 2446 2584 1655 1962 -316 439 576 16007
2001 -81 485 1068 1527 2535 2810 2258 1651 1876 1246 753 256 16384
2002 540 867 1435 2021 2701 2912 2161 2218 1204 1180 591 199 18029
2003 507 -283 954 1999 2662 2880 2399 1691 1562 1267 332 417 16387
2004 249 445 1077 1499 2708 2880 2481 1945 1530 832 322 -162 15806
2005 -572 -551 1182 1854 2631 2817 2460 1587 1788 1084 857 608 15745
2006 572 911 636 1943 2666 2731 1886 1467 1404 988 852 496 16552
2007 232 606 1149 1992 2613 2846 1942 1811 1533 1360 821 -780 16125
2008 -439 350 1510 2076 2350 2858 1842 1643 1600 1247 558 -406 15189
2009 413 494 1432 1907 2492 2740 2380 2268 1561 1369 808 34 17898
2010 -1182 328 957 1977 2627 2823 1950 1835 1758 1025 764 -122 14740
2011 630 485 1440 1920 2597 2904 2198 1950 1566 1179 520 -212 17177
2012 458 744 1208 1993 2675 2854 1933 1618 1594 1405 698 -34 17146
2013 -37 657 1235 1958 2685 2907 1733 1720 1255 1389 85 369 15956
2014 655 843 1078 2024 2686 2912 2018 1352 787 1117 800 95 16367
2015 -140 738 1120 1932 2317 2634 2069 1950 1349 716 435 346 15466
2016 112 911 1780 2174 2883 3157 2745 1618 1716 1462 441 -186 18813
2017 -203 625 1551 2340 3019 3266 1821 2138 2109 1673 1042 707 20088
2018 517 535 1599 2412 3074 3183 2155 1952 1903 286 917 430 18963
2019 130 -300 1236 2292 2798 3288 2887 2439 1555 1676 -395 -84 17522
2020 563 523 841 2293 3069 3294 2930 2584 2209 1541 840 567 21254
2021 197 903 1554 2331 3076 3248 1275 1780 1596 1364 1016 -106 18234
2022 464 842 1522 2429 3114 2881 2123 1505 1650 973 853 -256 18100
2023 -230 472 986 2428 2930 3326 3145 2330 1937 1619 757 218 19918
2024 164 193 1028 2036 3101 3036 2606 2192 2152 1531 891 755 19685
