Year January February March April May June July August September October November December Total
1971 -1388 -1200 -913 -790 -755 0 0 0 -491 -900 -2813 -2476 -11726
1972 -3114 -3100 -3148 -1747 -672 0 0 0 0 -20 -1053 -19 -12873
1973 -1065 -1267 -1321 0 0 -3191 -3292 -2953 -1505 -1761 -1680 -885 -18920
1974 0 0 -1892 -2304 -1859 -1738 -463 0 0 -1 -601 0 -8858
1975 0 0 -2620 -3290 -2885 -2902 -2852 -1747 -1619 -1628 -712 0 -20255
1976 0 -1606 -2931 -3015 -2882 -1952 -1424 -1519 -1597 -1615 -1357 -607 -20505
1977 0 0 -329 -708 -1513 -581 0 -297 -114 0 0 0 -3542
1978 0 -1134 -1410 -1397 -2905 -2572 -2071 -1131 -1248 -1273 -1313 -664 -17118
1979 0 0 0 0 -320 -2243 -3198 -2965 -2753 -1804 -1196 -1103 -15582
1980 0 -112 0 0 0 -2949 -3080 -2888 -2176 -619 0 -585 -12409
1981 -1510 -890 -506 -1563 -1594 -684 -146 0 0 -46 0 0 -6939
1982 0 -102 -852 -2066 -1823 -1571 -1755 -1280 -1662 -1654 -1209 -845 -14819
1983 0 0 0 0 -579 -2672 -2460 -2307 -1757 -28 -4 -2 -9809
1984 -505 -2065 -2491 -2490 -2066 -1735 -1124 -1196 -937 -1099 -835 -515 -17058
1985 0 0 -1303 -1161 -3833 -2933 -5454 -14088 -6449 -4046 -2655 -853 -42775
1986 -304 -962 -2230 -10418 -12070 -18364 -23795 -33656 -16253 -1593 -1806 -660 -122111
1987 -4914 -10149 -19595 -31917 -35285 -48567 -72194 -68163 -38288 -15192 -7415 -14668 -366347
1988 -10422 -15728 -42422 -36576 -50492 -81431 -110206 -80423 -37574 -15057 -16824 -15787 -512942
1989 -9874 -12942 -69606 -65716 -70804 -119189 -150162 -147510 -66224 -22311 -16679 -21758 -772775
1990 -13441 -16660 -86229 -78659 -79195 -141972 -128178 -120164 -61708 -23676 -17300 -15798 -782980
1991 -1633 -9157 -30824 -41270 -45284 -66852 -97329 -90494 -37950 -13929 -17106 -4861 -456689
1992 -8242 -12187 -20515 -32964 -53551 -86140 -128755 -103079 -40239 -25076 -21788 -59671 -592207
1993 -27671 -4163 -60176 -123365 -115824 -123354 -154184 -118543 -47491 -32930 -56124 -165243 -1029068
1994 -116790 -44190 -127096 -97965 -91675 -10041 -17526 -14672 -7472 -68429 -129173 -21772 -746801
1995 -70330 -30167 -84777 -105378 -110851 -38163 -28896 -24443 -15910 -67647 -65661 -155585 -797808
1996 -116510 -122361 -182002 -180921 -185527 -151324 -50248 -42612 -33017 -3126 -2770 -127769 -1198187
1997 -161966 -163132 -161224 -157194 -185075 -91447 -39515 -34216 -14333 -87447 -169471 -159382 -1424402
1998 -169210 -164896 -132652 -117400 -147850 -140255 -45640 -25924 -19984 -41763 -127631 -109875 -1243080
1999 -143860 -145378 -166798 -172951 -182035 -115622 -67775 -48825 -19705 -68164 -148960 -113637 -1393710
2000 -124569 -145651 -170654 -174981 -183752 -72510 -60708 -56265 -42893 -54881 -150241 -189112 -1426217
2001 -191422 -171288 -176841 -167704 -164798 -133892 -85988 -60375 -56097 -42742 -108207 -170959 -1530313
2002 -156600 -172626 -196427 -186294 -186221 -160901 -87924 -88373 -70184 -40086 -107729 -128428 -1581793
2003 -178610 -167194 -188023 -175595 -183816 -143980 -75529 -48221 -54019 -124895 -174720 -170772 -1685374
2004 -188167 -174762 -185868 -181151 -188368 -165160 -104043 -45459 -70005 -3533 -170759 -189198 -1666473
2005 -175165 -67750 -21387 -163589 -163340 -101735 -90764 -66289 -106492 -140380 -147062 -76247 -1320200
2006 -153116 -127155 -98360 -165989 -175473 -181764 -77139 -47196 -137033 -180894 -119141 -153654 -1616914
2007 -133727 -131318 -171214 -160825 -159723 -149144 -100490 -43411 -134202 -164061 -147108 -118236 -1613459
2008 -166725 -157301 -167973 -165730 -172183 -126311 -78044 -65426 -93736 -135834 -167966 -64770 -1561999
2009 -171343 -162340 -180297 -172325 -164870 -94309 -75209 -70375 -143343 -133109 -143938 -149484 -1660942
2010 -126294 -90880 -128306 -153154 -171813 -171433 -50719 -84965 -170650 -165628 -158819 -182563 -1655224
2011 -89029 -134563 -186159 -180663 -168064 -155479 -77865 -60653 -102221 -150308 -174991 -150555 -1630550
2012 -186564 -168959 -187497 -179531 -179895 -130619 -34994 -86481 -137721 -32285 -173912 -132284 -1630742
2013 -79888 -146879 -179730 -148444 -174972 -130767 -81321 -96331 -150549 -186623 -143877 -137866 -1657247
2014 -84467 -130265 -176237 -177897 -183854 -134466 -93598 -99382 -140052 -134800 -146606 -131792 -1633416
2015 -180492 -109441 -146368 -154414 -177112 -78666 -72093 -71077 -168953 -116561 -120090 -130170 -1525437
2016 -155980 -116971 -122518 -168623 -176846 -89905 -75905 -65425 -133953 -133531 -140485 -117864 -1498006
2017 -126924 -62359 -136275 -160023 -175174 -79551 -71529 -71132 -135584 -132092 -128192 -145265 -1424100
2018 -90489 -109197 -138939 -168403 -178155 -87985 -71610 -21609 -164209 -175605 -173267 -143241 -1522709
2019 -90530 -150724 -82674 -143999 -153871 -104599 -92960 -102595 -161110 -151914 -126517 -72354 -1433847
2020 -75318 -74716 -94056 -148709 -180155 -103647 -69714 -62587 -165459 -164685 -123984 -145785 -1408815
2021 -123901 -111176 -148654 -163175 -167848 -86525 -51805 -48306 -106368 -138799 -124347 -87126 -1358030
2022 -88917 -102907 -132948 -140863 -149907 -60132 -18611 -16598 -52492 -66335 -68041 -63161 -960912
2023 -40277 -39917 -91483 -169320 -166259 -68731 -22345 -18894 -55726 -69121 -50868 -27517 -820458
2024 -48016 -57803 -136423 -155166 -161514 -73389 -23703 -24383 -69767 -69259 -42397 -29186 -891006
