Year January February March April May June July August September October November December Total
1971 731 1070 1819 3013 4295 5135 4177 3809 3624 2526 1613 872 32684
1972 810 1182 2012 3334 4752 5681 4622 4215 4010 2795 1784 965 36162
1973 820 1199 2040 3379 4815 5756 4683 4272 4063 2833 1807 977 36644
1974 1134 1643 2760 4678 6658 7820 6391 5795 5482 3864 2493 1337 50055
1975 1152 1683 2851 4744 6742 7967 6517 5942 5628 3946 2531 1362 51065
1976 1094 1594 2695 4500 6392 7531 6166 5618 5313 3732 2398 1290 48323
1977 1155 1678 2848 4753 6744 7946 6520 5956 5613 3920 2519 1360 51012
1978 1060 1548 2599 4367 6217 7304 5967 5416 5139 3635 2339 1252 46843
1979 1067 1553 2620 4398 6258 7377 6027 5481 5193 3651 2347 1261 47233
1980 1338 1949 3301 5511 7811 9144 7524 6872 6463 4534 2920 1571 58938
1981 1231 1799 3044 5072 7198 8471 6945 6345 5988 4198 2698 1451 54440
1982 937 1371 2311 3856 5479 6454 5276 4808 4555 3210 2063 1107 41427
1983 1158 1696 2860 4770 6769 7956 6521 5947 5622 3956 2544 1365 51164
1984 1350 1962 3297 5562 7881 9168 7548 6874 6459 4557 2946 1578 59182
1985 1481 1732 2670 6206 8976 8461 7738 6429 6811 3713 2643 1870 58730
1986 1461 1243 2940 4153 7614 9033 7043 5936 6573 3998 2574 1508 54076
1987 1543 2539 5964 5905 7717 8177 6905 6551 5903 3553 2897 211 57865
1988 2 944 2183 4667 7532 7654 8305 7528 6674 3953 2991 479 52912
1989 4 801 3141 6176 6317 6000 5110 5137 4293 3069 2200 432 42680
1990 64 834 1702 5912 6450 6531 5869 5867 5773 3853 1269 117 44241
1991 0 2136 3762 4593 5917 7173 5425 4803 4521 2485 1063 18 41896
1992 4 1540 3814 5898 8481 11390 9075 6858 6512 5030 4318 1528 64448
1993 1389 2696 2778 5516 7920 9254 7165 6306 6475 4897 3920 2577 60893
1994 1630 1746 4146 6535 8191 8039 6774 6149 6651 4804 2895 3183 60743
1995 1489 1473 2958 5163 6360 6120 5231 4148 4244 3667 2638 1656 45147
1996 2128 2125 4583 4900 5771 8303 6919 5097 5240 3500 2527 2057 53150
1997 1708 2661 2359 5385 6050 7957 6585 6698 6148 4739 3802 1989 56081
1998 2215 2696 4756 6008 8272 8067 5680 4983 4921 4252 2888 2017 56755
1999 1280 2699 3870 4942 8185 7203 7532 7225 7875 4607 2296 2709 60423
2000 1115 1570 1232 2915 5479 7303 5543 5023 4674 2637 2809 940 41240
2001 2132 1516 1391 3982 5863 6928 5975 6075 5207 3651 1607 962 45289
2002 1218 2266 3154 4050 6269 6826 5691 4933 5344 3565 2466 440 46222
2003 840 743 1354 5431 6160 7069 6734 5784 5260 2616 2157 1500 45648
2004 1686 1959 1506 5037 5528 6499 5862 5070 4403 3016 2699 1167 44432
2005 474 697 2788 5285 6805 7611 5909 5717 5313 3323 1813 2076 47811
2006 2179 1338 2547 4581 4869 7434 6927 5767 5738 3500 2196 1087 48163
2007 1146 1408 899 4713 5932 6549 5642 5974 5100 4281 1033 450 43127
2008 682 1995 2461 4154 6619 6993 6140 5921 5190 3938 2638 1451 48182
2009 883 1009 1879 1687 4378 7015 4578 4172 3888 2486 1873 1003 34851
2010 317 1308 2941 3431 6838 7757 5761 6342 5364 3878 2381 1126 47444
2011 1859 1190 2129 3667 5578 7449 5678 5609 5674 4272 3091 1102 47298
2012 646 942 1739 2658 5913 6265 4561 4450 3400 2510 1169 908 35161
2013 1775 2664 2228 3547 4595 7910 5814 6070 5474 3566 1708 1899 47250
2014 605 884 2132 4033 5518 6020 3950 3670 3626 2899 1633 896 35866
2015 654 1147 2021 3632 7911 8071 7443 6478 6802 4772 2638 1882 53451
2016 115 240 379 697 1850 2386 3162 2971 2580 1406 239 40 16067
2017 74 55 644 1374 1907 3007 2784 3067 2228 1295 623 273 17334
2018 127 46 194 706 1823 2678 2761 3019 2428 408 547 82 14815
2019 21 10 435 1453 1682 2857 2878 2896 2181 1194 27 9 15641
2020 66 25 188 1172 2147 2490 2520 2651 1825 1122 471 168 14842
2021 68 228 131 902 1994 2545 2612 3390 2672 1314 715 260 16829
2022 169 105 360 1013 1811 2991 4096 4324 3911 1117 584 85 20566
2023 62 76 415 1105 2313 3211 3649 3406 3169 1689 494 296 19881
2024 151 237 397 1853 3271 3430 4350 4220 3048 1959 851 558 24323
