Year January February March April May June July August September October November December Total
1971 143 150 150 150 150 150 150 150 143 143 143 143 1765
1972 146 153 153 153 153 153 153 153 146 146 146 146 1801
1973 147 156 156 156 156 156 156 156 147 147 147 147 1827
1974 149 159 159 159 159 159 159 159 149 149 149 149 1858
1975 152 161 161 161 161 161 161 161 152 152 152 152 1887
1976 153 165 165 165 165 165 165 165 153 153 153 153 1920
1977 155 166 166 166 166 166 166 166 155 155 155 155 1937
1978 157 167 167 167 167 167 167 167 157 157 157 157 1954
1979 158 169 169 169 169 169 169 169 158 158 158 158 1973
1980 161 172 172 172 172 172 172 172 161 161 161 161 2009
1981 163 173 173 173 173 173 173 173 163 163 163 163 2026
1982 165 175 175 175 175 175 175 175 165 165 165 165 2050
1983 169 180 180 180 180 180 180 180 169 169 169 169 2105
1984 175 186 186 186 186 186 186 186 175 175 175 175 2177
1985 181 191 191 191 191 191 191 191 181 181 181 181 2242
1986 186 196 196 196 196 196 196 196 186 186 186 186 2302
1987 189 201 201 201 201 201 201 201 189 189 189 189 2352
1988 182 193 193 193 193 193 193 193 182 182 182 182 2261
1989 174 183 183 183 183 183 183 183 174 174 174 174 2151
1990 163 175 175 175 175 175 175 175 163 163 163 163 2040
1991 155 165 165 165 165 165 165 165 155 155 155 155 1930
1992 148 157 157 157 157 157 157 157 148 148 148 148 1839
1993 138 146 146 146 146 146 146 146 138 138 138 138 1712
1994 128 136 136 136 136 136 136 136 128 128 128 128 1592
1995 118 123 123 123 123 123 123 123 118 118 118 118 1451
1996 109 115 115 115 115 115 115 115 109 109 109 109 1350
1997 99 105 105 105 105 105 105 105 99 99 99 99 1230
1998 94 101 101 101 101 101 101 101 94 94 94 94 1177
1999 92 97 97 97 97 97 97 97 92 92 92 92 1139
2000 86 92 92 92 92 92 92 92 86 86 86 86 1074
2001 84 89 89 89 89 89 89 89 84 84 84 84 1043
2002 79 84 84 84 84 84 84 84 79 79 79 79 983
2003 85 91 91 91 91 91 91 91 85 85 85 85 1062
2004 93 99 99 99 99 99 99 99 93 93 93 93 1158
2005 100 107 107 107 107 107 107 107 100 100 100 100 1249
2006 107 113 113 113 113 113 113 113 107 107 107 107 1326
2007 112 119 119 119 119 119 119 119 112 112 112 112 1393
2008 115 121 121 121 121 121 121 121 115 115 115 115 1422
2009 116 123 123 123 123 123 123 123 116 116 116 116 1441
2010 117 124 124 124 124 124 124 124 117 117 117 117 1453
2011 120 126 126 126 126 126 126 126 120 120 120 120 1482
2012 121 129 129 129 129 129 129 129 121 121 121 121 1508
2013 121 129 129 129 129 129 129 129 121 121 121 121 1508
2014 121 129 129 129 129 129 129 129 121 121 121 121 1508
2015 121 129 129 129 129 129 129 129 121 121 121 121 1508
2016 177 177 177 177 177 177 177 177 177 177 177 177 2121
2017 177 177 177 177 177 177 177 177 177 177 177 177 2126
2018 174 174 174 174 174 174 174 174 174 174 174 174 2094
2019 171 171 171 171 171 171 171 171 171 171 171 171 2063
2020 169 169 169 169 169 169 169 169 169 169 169 169 2031
2021 165 165 165 165 165 165 165 165 165 165 165 165 1999
2022 163 163 163 163 163 163 163 163 163 163 163 163 1966
2023 163 163 163 163 163 163 163 163 163 163 163 163 1966
2024 163 163 163 163 163 163 163 163 163 163 163 163 1966
