Year January February March April May June July August September October November December Total
1971 1068 1004 1301 1426 1836 2072 2222 2135 1837 1553 1331 1178 18963
1972 1110 1045 1364 1503 1933 2179 2338 2243 1928 1631 1396 1237 19907
1973 1168 1099 1429 1573 2026 2282 2446 2347 2020 1705 1460 1292 20847
1974 1220 1148 1492 1645 2119 2389 2569 2468 2122 1798 1541 1364 21875
1975 1289 1215 1581 1744 2238 2509 2684 2567 2195 1849 1578 1390 22839
1976 1310 1227 1590 1746 2244 2527 2705 2594 2228 1882 1611 1424 23088
1977 1342 1261 1638 1802 2319 2610 2799 2681 2304 1947 1665 1471 23839
1978 1387 1305 1696 1866 2402 2704 2897 2781 2389 2019 1728 1530 24704
1979 1443 1360 1765 1943 2495 2804 3001 2871 2461 2078 1774 1566 25561
1980 1475 1383 1796 1974 2532 2844 3040 2907 2492 2099 1792 1583 25917
1981 1487 1395 1809 1986 2546 2863 3061 2932 2511 2119 1810 1597 26116
1982 1500 1411 1828 2008 2583 2905 3109 2979 2558 2157 1844 1632 26514
1983 1536 1445 1874 2060 2642 2972 3176 3040 2609 2196 1876 1656 27082
1984 1558 1463 1898 2081 2673 3007 3215 3079 2640 2227 1901 1681 27423
1985 1583 1484 1927 2118 2722 3063 3284 3149 2706 2285 1954 1728 28003
1986 1629 1534 1990 2192 2815 3166 3392 3252 2792 2358 2015 1781 28916
1987 1678 1577 2049 2252 2894 3255 3488 3341 2863 2417 2068 1825 29707
1988 1719 1614 2096 2302 2959 3331 3564 3416 2930 2473 2110 1865 30379
1989 1760 1651 2144 2355 3023 3401 3636 3482 2987 2516 2150 1899 31004
1990 1786 1678 2174 2388 3070 3453 3694 3539 3036 2562 2189 1936 31505
1991 1821 1711 2220 2441 3136 3527 3775 3617 3101 2616 2236 1973 32174
1992 1863 1747 2266 2492 3206 3604 3863 3706 3182 2688 2295 2031 32943
1993 1917 1798 2340 2572 3305 3722 3983 3818 3276 2763 2364 2087 33945
1994 1967 1847 2402 2641 3391 3816 4088 3917 3363 2841 2428 2147 34848
1995 2024 1899 2468 2715 3487 3921 4196 4020 3446 2907 2483 2195 35761
1996 2066 1940 2519 2768 3553 3995 4276 4096 3513 2963 2531 2235 36455
1997 2105 1977 2567 2821 3618 4063 4343 4159 3563 3001 2562 2262 37041
1998 2126 1996 2589 2841 3647 4093 4376 4186 3588 3021 2580 2275 37318
1999 2144 2011 2604 2859 3671 4121 4405 4217 3616 3045 2599 2292 37584
2000 2159 2024 2625 2884 3696 4156 4440 4251 3639 3068 2617 2311 37870
2001 2133 2001 2595 2851 3659 4115 4406 4221 3619 3055 2608 2304 37567
2002 2131 2000 2597 2854 3666 4120 4409 4222 3618 3053 2608 2301 37579
2003 2126 1996 2588 2845 3655 4107 4394 4208 3607 3042 2597 2292 37457
2004 2118 1987 2579 2834 3639 4089 4376 4191 3593 3027 2586 2287 37306
2005 2108 1978 2569 2821 3625 4073 4355 4173 3580 3016 2576 2275 37149
2006 2103 1970 2559 2816 3612 4059 4340 4156 3560 3004 2564 2266 37009
2007 2091 1960 2547 2798 3591 4032 4312 4127 3538 2980 2547 2245 36768
2008 2072 1946 2522 2771 3555 3994 4270 4090 3504 2952 2521 2226 36423
2009 2053 1926 2497 2743 3520 3955 4226 4046 3466 2919 2491 2198 36040
2010 2027 1902 2462 2702 3468 3895 4160 3982 3410 2869 2451 2161 35489
2011 2035 1908 2469 2708 3478 3907 4174 3994 3422 2882 2462 2170 35609
2012 2041 1918 2485 2724 3498 3927 4196 4016 3436 2894 2470 2179 35784
2013 2047 1922 2491 2732 3504 3934 4209 4023 3447 2903 2477 2185 35874
2014 2056 1928 2499 2743 3521 3951 4222 4040 3461 2914 2487 2194 36016
2015 2062 1935 2506 2750 3533 3967 4242 4061 3480 2930 2503 2210 36179
2016 2041 1906 2486 2742 3577 4059 4353 4124 3565 2988 2453 2168 36458
2017 2049 1916 2497 2754 3592 4077 4369 4145 3580 3001 2463 2179 36620
2018 2070 1936 2524 2781 3631 4116 4415 4188 3619 3035 2487 2201 37004
2019 2068 1932 2519 2779 3624 4109 4405 4181 3610 3024 2483 2197 36931
2020 2016 1883 2454 2710 3532 4008 4296 4077 3524 2952 2420 2142 36014
2021 2006 1874 2440 2695 3514 3987 4273 4054 3503 2939 2408 2130 35824
2022 2022 1890 2463 2716 3543 4021 4310 4089 3534 2961 2428 2149 36121
2023 2028 1894 2468 2725 3554 4032 4322 4099 3542 2969 2436 2154 36224
2024 2028 1894 2472 2728 3558 4036 4325 4102 3548 2971 2437 2156 36252
