Year January February March April May June July August September October November December Total
1971 14 11 25 31 35 37 26 0 14 -4 19 -15 193
1972 31 32 39 38 34 20 25 14 21 -88 -3 -30 133
1973 20 -26 -59 82 91 116 59 66 59 39 4 12 463
1974 -12 15 21 55 62 50 23 22 17 2 9 3 267
1975 7 4 8 46 109 114 40 64 26 28 1 3 450
1976 11 -35 35 50 76 118 42 66 18 23 18 11 433
1977 -3 11 19 28 43 33 20 10 6 13 11 4 195
1978 -14 -16 -87 74 94 110 68 56 46 20 -46 -87 218
1979 -80 24 -10 89 78 115 95 48 55 33 13 4 464
1980 -48 -95 15 66 103 124 64 52 47 29 27 16 400
1981 9 7 3 31 40 35 12 10 18 4 -2 9 176
1982 -17 -7 -8 94 68 104 61 29 23 26 -22 -57 294
1983 2 -3 -19 57 111 122 70 25 -4 19 -2 -24 354
1984 29 44 49 54 69 60 32 6 6 13 9 -54 317
1985 -5 11 10 55 94 91 27 55 9 18 -26 16 355
1986 23 4 14 70 87 87 37 9 24 16 7 0 378
1987 -12 -8 29 73 81 89 66 23 43 14 -17 -1 380
1988 -8 10 56 30 95 61 55 7 47 26 13 12 404
1989 -7 26 22 80 87 94 26 33 51 29 28 17 486
1990 11 6 34 57 82 92 40 32 16 39 9 -7 411
1991 7 18 -79 80 95 86 62 21 38 31 -3 -32 324
1992 -5 5 -9 72 34 79 44 -24 52 22 25 -53 242
1993 -110 -46 20 79 80 90 86 -1 43 13 -13 17 258
1994 22 -8 23 48 74 82 68 35 33 26 2 -2 403
1995 -31 -15 8 65 82 92 77 16 28 42 22 15 401
1996 22 5 47 78 96 91 32 33 -14 31 16 19 456
1997 -47 10 57 56 75 90 78 19 19 26 17 -12 388
1998 7 -27 -21 44 88 94 45 48 31 14 3 14 340
1999 21 20 48 39 95 90 -4 26 -3 42 29 23 426
2000 14 24 -5 72 95 72 84 22 54 -27 11 21 437
2001 -7 8 35 51 69 88 44 21 50 36 27 -2 420
2002 22 35 53 69 96 94 56 55 24 23 5 -4 528
2003 21 -37 19 75 92 91 61 22 24 40 1 10 419
2004 13 7 48 64 96 94 56 33 7 10 -13 -40 375
2005 -79 -76 47 56 115 123 79 43 69 39 41 36 493
2006 31 41 26 70 93 88 59 11 30 32 34 7 522
2007 6 10 37 69 86 87 20 42 29 41 27 -103 351
2008 -70 -7 77 97 100 123 48 42 71 64 18 -56 507
2009 13 -9 77 91 63 116 89 92 60 61 41 -10 684
2010 -112 -7 19 89 121 126 24 53 53 16 30 -35 377
2011 32 4 61 92 99 109 50 43 27 29 3 -13 536
2012 19 22 32 67 91 88 29 8 40 26 14 -17 419
2013 -19 13 39 86 118 114 25 49 32 36 -8 3 488
2014 24 24 28 50 70 67 28 1 4 17 16 -6 323
2015 -4 20 34 77 70 62 46 27 34 1 -4 4 367
2016 -7 20 55 66 74 74 39 -4 34 26 0 -24 353
2017 -43 -14 47 95 109 112 31 44 63 48 26 18 536
2018 6 5 23 34 39 40 11 9 36 -8 23 14 232
2019 -2 -75 29 89 94 120 102 76 48 47 -25 -27 476
2020 26 8 -15 84 112 110 87 67 58 38 22 12 609
2021 -6 15 14 38 48 48 0 20 12 18 20 -17 210
2022 9 17 27 72 86 65 27 12 25 11 12 -4 359
2023 -42 3 -27 99 99 122 101 38 54 53 23 7 530
2024 7 -17 -7 74 118 87 45 23 52 34 18 15 449
