Year January February March April May June July August September October November December Total
1971 67 67 67 67 67 67 67 67 67 67 67 67 804
1972 166 166 166 166 166 166 166 166 166 166 166 166 1992
1973 190 190 190 190 190 190 190 190 190 190 190 190 2280
1974 224 224 224 224 224 224 224 224 224 224 224 224 2688
1975 233 233 233 233 233 233 233 233 233 233 233 233 2796
1976 224 224 224 224 224 224 224 224 224 224 224 224 2688
1977 257 257 257 257 257 257 257 257 257 257 257 257 3084
1978 299 299 299 299 299 299 299 299 299 299 299 299 3588
1979 308 308 308 308 308 308 308 308 308 308 308 308 3696
1980 274 274 274 274 274 274 274 274 274 274 274 274 3288
1981 257 257 257 257 257 257 257 257 257 257 257 257 3084
1982 182 182 182 182 182 182 182 182 182 182 182 182 2184
1983 224 224 224 224 224 224 224 224 224 224 224 224 2688
1984 266 266 266 266 266 266 266 266 266 266 266 266 3192
1985 108 108 108 108 108 108 108 108 108 108 108 108 1296
1986 113 113 113 113 113 113 113 113 113 113 113 113 1356
1987 119 119 119 119 119 119 119 119 119 119 119 119 1428
1988 127 127 127 127 127 127 127 127 127 127 127 127 1524
1989 134 134 134 134 134 134 134 134 134 134 134 134 1608
1990 140 140 140 140 140 140 140 140 140 140 140 140 1680
1991 143 143 143 143 143 143 143 143 143 143 143 143 1716
1992 149 149 149 149 149 149 149 149 149 149 149 149 1788
1993 151 151 151 151 151 151 151 151 151 151 151 151 1812
1994 155 155 155 155 155 155 155 155 155 155 155 155 1860
1995 160 160 160 160 160 160 160 160 160 160 160 160 1920
1996 151 151 151 151 151 151 151 151 151 151 151 151 1812
1997 143 143 143 143 143 143 143 143 143 143 143 143 1716
1998 134 134 134 134 134 134 134 134 134 134 134 134 1608
1999 125 125 125 125 125 125 125 125 125 125 125 125 1500
2000 117 117 117 117 117 117 117 117 117 117 117 117 1404
2001 117 117 117 117 117 117 117 117 117 117 117 117 1404
2002 118 118 118 118 118 118 118 118 118 118 118 118 1416
2003 118 118 118 118 118 118 118 118 118 118 118 118 1416
2004 118 118 118 118 118 118 118 118 118 118 118 118 1416
2005 119 119 119 119 119 119 119 119 119 119 119 119 1428
2006 114 114 114 114 114 114 114 114 114 114 114 114 1368
2007 111 111 111 111 111 111 111 111 111 111 111 111 1332
2008 107 107 107 107 107 107 107 107 107 107 107 107 1284
2009 102 102 102 102 102 102 102 102 102 102 102 102 1224
2010 99 99 99 99 99 99 99 99 99 99 99 99 1188
2011 88 88 88 88 88 88 88 88 88 88 88 88 1056
2012 78 78 78 78 78 78 78 78 78 78 78 78 936
2013 66 66 66 66 66 66 66 66 66 66 66 66 792
2014 56 56 56 56 56 56 56 56 56 56 56 56 672
2015 45 45 45 45 45 45 45 45 45 45 45 45 540
2016 45 45 45 45 45 45 45 45 45 45 45 45 540
2017 45 45 45 45 45 45 45 45 45 45 45 45 540
2018 45 45 45 45 45 45 45 45 45 45 45 45 540
2019 45 45 45 45 45 45 45 45 45 45 45 45 540
2020 45 45 45 45 45 45 45 45 45 45 45 45 540
2021 45 45 45 45 45 45 45 45 45 45 45 45 540
2022 45 45 45 45 45 45 45 45 45 45 45 45 540
2023 45 45 45 45 45 45 45 45 45 45 45 45 540
2024 45 45 45 45 45 45 45 45 45 45 45 45 540
