Year January February March April May June July August September October November December Total
1971 132 158 340 450 619 691 627 362 307 138 160 -15 3969
1972 143 206 354 481 629 542 609 508 414 -209 107 10 3794
1973 81 53 98 431 548 637 606 525 462 342 135 134 4052
1974 -18 186 309 468 638 691 521 537 401 89 165 104 4091
1975 90 119 218 411 611 688 506 563 280 340 135 72 4033
1976 131 80 301 431 520 686 496 550 321 291 187 133 4127
1977 34 167 315 439 614 657 501 431 332 267 158 99 4014
1978 -23 50 115 448 570 685 639 542 399 219 -100 -97 3447
1979 -68 148 221 464 489 661 664 491 472 268 121 51 3982
1980 -97 -67 226 420 593 690 597 476 381 295 207 90 3811
1981 94 153 188 431 584 632 496 467 359 223 110 137 3874
1982 -19 71 211 461 538 691 564 343 323 331 52 -65 3501
1983 48 117 180 434 614 677 494 463 240 231 108 22 3628
1984 129 198 250 436 630 668 485 342 255 197 165 -78 3677
1985 14 128 201 311 618 680 521 560 288 208 10 115 3654
1986 138 116 230 447 606 648 493 452 335 216 42 18 3741
1987 15 83 277 469 571 660 562 435 437 221 22 19 3771
1988 58 111 349 293 628 561 607 338 417 304 132 102 3900
1989 48 160 275 490 619 689 569 467 460 277 210 112 4376
1990 99 120 292 423 599 680 514 483 262 308 119 7 3906
1991 50 183 122 488 637 636 630 516 391 301 63 -68 3949
1992 60 127 203 455 365 669 510 325 437 242 177 -116 3454
1993 -238 21 257 481 607 684 702 353 446 188 96 125 3722
1994 124 118 260 402 557 654 629 495 334 217 87 46 3923
1995 -8 97 230 431 580 680 661 457 327 349 160 90 4054
1996 127 143 321 479 631 665 584 545 221 259 108 128 4211
1997 -52 135 348 382 590 650 604 416 302 242 145 2 3764
1998 102 67 178 412 621 690 494 540 335 132 106 111 3788
1999 127 188 341 367 613 664 422 356 276 349 211 136 4050
2000 109 161 144 476 634 641 671 453 463 57 142 123 4074
2001 40 133 288 404 585 677 580 446 439 313 184 60 4149
2002 107 203 338 454 638 691 597 565 230 270 160 21 4274
2003 132 38 280 474 633 685 630 477 386 299 103 95 4232
2004 99 142 318 370 638 673 626 503 286 219 60 10 3944
2005 -51 -30 237 396 624 668 641 439 440 276 207 141 3988
2006 126 206 223 466 636 670 505 415 367 189 198 100 4101
2007 82 142 287 464 590 679 500 430 398 338 203 -125 3988
2008 -22 92 350 485 577 678 544 480 412 308 150 -18 4036
2009 93 145 334 470 522 662 644 599 424 322 192 23 4430
2010 -168 132 273 465 628 687 494 441 384 246 185 -17 3750
2011 143 122 327 457 596 691 547 505 301 251 134 2 4076
2012 123 171 299 462 639 686 511 439 422 331 180 35 4298
2013 34 173 311 458 632 691 442 402 303 323 40 110 3919
2014 145 198 257 456 630 691 575 417 304 300 202 24 4199
2015 -34 129 256 448 536 570 500 406 396 145 110 68 3530
2016 75 172 346 428 547 674 600 375 379 309 81 -25 3961
2017 -48 119 291 451 587 684 472 516 425 347 209 142 4195
2018 100 149 306 484 625 663 505 501 418 67 192 95 4105
2019 44 -54 233 471 529 685 664 565 387 345 4 18 3891
2020 90 129 200 436 623 687 635 600 473 323 181 123 4500
2021 50 173 280 470 632 677 399 533 354 230 200 5 4003
2022 111 162 273 486 638 609 456 368 354 191 163 25 3836
2023 -27 117 154 487 592 686 683 432 403 337 141 75 4080
2024 51 116 158 426 629 626 619 442 460 266 169 143 4105
