Year January February March April May June July August September October November December Total
1971 130 117 123 117 67 113 122 126 118 105 104 129 1371
1972 130 122 126 87 113 121 128 127 117 0 0 70 1141
1973 137 123 107 114 127 130 137 136 129 97 120 132 1489
1974 131 115 135 124 125 128 131 131 117 72 126 131 1466
1975 130 97 90 66 102 117 130 130 93 72 105 116 1248
1976 114 96 133 118 124 128 124 130 119 55 102 95 1338
1977 126 108 133 112 119 121 127 128 118 113 24 0 1229
1978 21 93 120 117 122 342 403 397 339 277 311 358 2900
1979 386 360 273 128 304 359 375 421 385 349 424 621 4385
1980 501 672 449 561 846 788 698 836 713 963 934 815 8776
1981 1149 1094 1174 1364 1011 1448 1667 1677 1560 984 853 1072 15053
1982 1472 1411 1301 1316 1469 1552 1656 1698 1537 1294 1012 1253 16971
1983 1449 1246 1217 1059 1042 1257 1458 1574 1454 1035 1065 916 14772
1984 1296 1290 1028 1035 1613 1607 1614 1571 1582 1404 1470 1161 16671
1985 1248 1289 1528 1106 1627 1929 1873 1746 1648 1658 1428 1552 18632
1986 1117 1281 1137 1143 1437 1480 1364 1321 1094 686 641 844 13545
1987 1132 1491 902 431 839 1370 1580 1464 1140 1418 1434 1530 14731
1988 1342 1284 1177 1291 1634 1725 1906 2040 1239 1001 1185 742 16566
1989 1267 1414 1974 1840 1840 1960 2023 2119 1752 1643 1569 1303 20704
1990 1869 1172 1567 1630 1829 2080 2173 1927 1864 965 645 1255 18976
1991 1824 1114 1054 1071 1548 1605 1961 1987 2054 2212 1925 1919 20274
1992 2134 1812 1922 1650 1874 1790 2051 2349 2269 1999 1941 2173 23964
1993 2242 2614 1618 2075 1921 1950 2340 2500 2280 2351 2040 2242 26173
1994 2232 1894 2366 2057 2417 2339 2390 2497 2327 2049 1838 1831 26237
1995 2116 1439 1109 1490 1599 1307 1909 2279 2204 2003 1457 1295 20207
1996 1886 1273 1152 1455 1429 1597 2103 2306 2174 2408 2247 2277 22307
1997 1950 1698 1917 1793 1861 1877 2182 2246 2333 2167 1755 2162 23941
1998 2144 1793 2033 2143 1668 1730 2279 2445 2312 2394 1982 2257 25180
1999 2383 2260 2141 2083 1882 1995 2330 2486 2350 2301 1986 2445 26642
2000 2439 2159 2196 1707 2122 2555 2496 2558 2437 2526 2379 2649 28223
2001 2497 2307 2368 2643 2551 2456 2426 2439 2362 2483 2080 2064 28676
2002 2143 1951 1817 2138 2119 2179 2359 2063 2005 1988 2434 2470 25666
2003 2530 2217 2120 2179 2033 2265 2633 2344 2250 2209 2118 2475 27373
2004 2540 2314 2467 2086 2044 2364 2554 2572 2323 2127 1758 2555 27704
2005 2484 2085 2149 2164 2419 2581 2718 2439 2475 2652 2504 2580 29250
2006 2317 2277 2500 2014 2225 2360 2593 2695 2544 2630 2442 2568 29165
2007 2632 2442 2486 2237 2538 2587 2726 2767 2237 2240 2365 2563 29820
2008 2826 2601 2752 2554 2415 2839 3089 3122 2966 2831 2899 2984 33878
2009 2942 2696 2562 1749 2237 2703 2710 2957 2543 2877 2714 3277 31967
2010 3153 2972 3075 2621 3130 3152 3346 3068 2996 2827 2947 3257 36544
2011 3230 2987 3034 2581 2467 2848 3113 3438 3185 2875 3088 3116 35962
2012 3125 2985 2254 2169 2812 3019 2892 2923 2742 3212 2637 3109 33879
2013 3060 2480 2499 2726 3182 3108 3162 3102 3174 2897 2580 3076 35046
2014 3187 2611 2580 2129 2712 2960 3265 3239 3050 2662 2359 2624 33378
2015 2690 2040 2490 2112 2585 2797 3158 2910 2736 2434 2072 2237 30261
2016 1992 1808 1445 1683 2197 3210 2852 3068 2449 1984 1691 1991 26370
2017 2062 1881 1866 1361 1946 2952 3258 3035 2598 1932 2040 1731 26662
2018 1592 1332 1619 1312 1767 2038 2307 2441 2117 1867 1626 1589 21607
2019 1290 1175 1092 666 1374 1496 2253 2082 1636 1306 1151 1404 16925
2020 1126 778 694 1353 1921 2397 2308 2486 2193 2030 1364 1100 19750
2021 812 976 781 960 1343 1847 2059 1827 1931 1684 1597 972 16789
2022 1053 1386 704 627 1126 1878 2080 1945 1919 1428 928 1382 16456
2023 1484 1039 883 497 1133 1368 2055 1769 1493 1317 1363 1217 15618
2024 1484 1039 883 497 1133 1368 2055 1769 1493 1317 1363 1217 15618
