Year January February March April May June July August September October November December Total
1971 4236 4290 5847 7354 9610 10292 8882 7088 7215 5231 6811 4449 81305
1972 6432 6948 8683 9082 10366 10149 9476 8480 7982 3067 4956 2421 88042
1973 4027 3983 5015 7266 9386 14345 12859 12131 10138 8361 5965 4487 97963
1974 2637 4353 7965 11184 13865 15347 11681 10607 9626 6220 5909 3819 103213
1975 3398 3881 8283 11766 14878 16820 14248 12964 10793 9441 5764 3619 115855
1976 3773 4771 8930 11449 14100 15461 12281 12357 10889 8938 6881 4679 114509
1977 3243 4397 6731 9619 13674 14310 11524 10917 9758 7448 5487 3873 100981
1978 2752 4465 5957 10121 14541 16333 14163 12061 11297 8700 5131 3215 108736
1979 2453 4458 5741 9014 11796 16069 15689 13975 13263 9684 6964 5420 114526
1980 2792 3430 6836 10316 14256 19181 16936 15750 13948 10011 7229 5632 126317
1981 6500 6480 7432 12234 15295 16548 13888 12939 11823 8766 6295 5468 123668
1982 4017 5005 7240 11858 14113 15910 14154 12343 11923 10327 6431 4549 117870
1983 4870 5266 6665 10105 14169 18232 15861 14685 12196 8358 6380 4413 121200
1984 5995 8438 10550 13541 17421 18721 15682 14014 13003 10492 8425 4493 140775
1985 4617 5362 7155 11044 16269 17848 16360 15195 13740 10483 7621 6214 131908
1986 5767 5804 8239 10675 16624 18043 15139 13359 13197 9746 7531 5333 129457
1987 4719 6145 10381 11044 16109 17190 15744 14017 13959 10004 7975 5400 132687
1988 4638 4889 8434 11527 15962 17349 18044 15130 14086 10184 8483 4966 133692
1989 4302 5792 9583 14058 16152 15813 14139 13874 12562 10641 8474 5751 131141
1990 5089 4610 7719 12474 15028 15975 14439 13495 11729 9217 4926 3493 118194
1991 4425 6246 6956 10749 15008 16195 14637 12457 11587 9016 5746 3998 117020
1992 4636 5980 8927 12447 14987 19918 17128 13550 14234 11226 9845 5121 137999
1993 4132 6958 8188 12708 16148 18199 17478 14681 14643 11485 10021 8813 143454
1994 7751 6889 11211 15007 18465 18936 17691 16271 15365 11912 8407 9191 157096
1995 6552 5921 7661 11645 16303 16559 15891 13815 12188 12355 8948 7265 135103
1996 8308 7304 10145 11732 13994 17170 15497 13759 11840 10242 8252 7688 135931
1997 5471 7334 8792 12058 16112 18831 17551 15978 14219 12250 10712 7710 147018
1998 8456 7478 11189 14495 18231 18960 15471 15038 13954 12056 9191 8567 153086
1999 8038 8324 10555 11545 16955 17335 16334 15794 15621 12812 8935 8640 150888
2000 6767 6862 6893 10007 14575 18150 16099 13598 13329 8194 8670 7017 130161
2001 7279 6759 7990 12216 16076 18246 16463 15291 14314 11641 7634 6038 139947
2002 6541 7691 9539 11472 15271 16572 14805 13880 12221 10078 8538 5656 132264
2003 6656 5111 7367 12940 15001 16855 16478 14092 12866 9687 7468 7168 131689
2004 7227 7179 8217 11824 14492 16248 15525 13923 11889 9348 7439 6075 129386
2005 4684 4530 8901 12340 16025 17590 15844 14028 13566 10750 8366 8199 134823
2006 7516 6867 8577 11517 13640 16784 15608 13841 13394 10008 8398 6652 132802
2007 6360 6583 7404 12018 15237 16928 14716 15355 12589 11180 7130 3993 129493
2008 5177 6886 9588 11866 15116 16959 15236 14735 13648 11196 8878 6103 135388
2009 6529 6308 8675 8420 12573 17367 14373 13749 11654 9904 8177 6547 124276
2010 4176 6783 9653 10942 16326 18595 15520 15911 13531 10751 8691 6351 137230
2011 8112 6647 9312 11383 15793 18230 15890 15288 13989 12062 9248 6313 142267
2012 6639 6800 7852 9681 15852 16983 13952 14122 12326 10882 7171 6281 128541
2013 7054 7900 8636 11140 14951 19377 15376 15433 14354 11565 6953 7772 140511
2014 6835 6544 8380 11021 14865 17437 14491 11921 11145 9837 7520 5870 125866
2015 5345 5972 8108 10550 16407 18767 18011 16271 15993 11928 7511 6739 141602
2016 4583 4938 6123 7208 10813 13856 14042 12013 10587 8274 4658 3863 100953
2017 3797 4451 6418 7914 10779 13661 12210 13122 11901 9604 7839 6583 108282
2018 4727 3982 5822 7121 10024 11770 10947 11265 10032 5433 5760 4452 91338
2019 3682 2517 5030 7347 9093 12352 13019 12231 9998 8164 4226 4268 91936
2020 3953 3326 4011 7772 10901 12355 12034 12812 10897 8851 6022 4711 97645
2021 3062 4056 4672 6738 9684 11517 9652 11164 9503 7037 5886 3209 86198
2022 3942 4258 4854 7032 9732 11615 12144 11546 11088 6930 5990 4031 93167
2023 3058 3358 4052 6724 9940 11896 13226 11119 10305 8004 5509 4506 91704
2024 4033 3370 4367 7019 11723 12681 14040 12907 11245 8488 6534 5170 101582
