Year January February March April May June July August September October November December Total
1971 453 403 999 1200 1676 1917 1381 329 504 -307 451 -496 8510
1972 569 729 1108 1360 1701 1074 1222 841 967 -1607 94 -375 7683
1973 196 -281 -470 1138 1230 1684 1087 1283 1360 1044 219 515 9005
1974 -412 642 752 1306 1800 1927 979 1050 893 -200 380 286 9403
1975 143 167 319 869 1595 1927 923 1355 365 991 115 89 8858
1976 494 -428 614 958 1231 1888 693 1249 674 721 589 500 9183
1977 -59 513 790 1118 1663 1703 898 755 623 540 462 291 9297
1978 -308 -288 -535 1213 1592 1977 1479 1099 1108 628 -1043 -1034 5888
1979 -963 334 193 1313 1173 1831 1650 1019 1276 833 421 146 9226
1980 -1017 -1175 398 1133 1720 1991 1282 1068 1036 832 709 332 8309
1981 368 480 46 1125 1660 1753 899 846 735 540 174 550 9176
1982 -477 15 114 1426 1522 2002 1102 575 644 1034 -348 -787 6822
1983 26 103 -109 1063 1750 1914 1020 667 -133 242 134 -175 6502
1984 446 723 844 1190 1796 1783 971 253 442 313 417 -992 8186
1985 -139 273 374 803 1759 1858 954 1264 310 456 -368 427 7971
1986 552 112 409 1268 1745 1597 796 430 478 321 -112 -36 7560
1987 -166 -78 619 1373 1558 1728 1172 583 1100 454 -232 -92 8019
1988 63 286 1153 476 1894 1458 1317 123 1101 767 397 262 9297
1989 58 503 676 1500 1827 2060 1190 1040 1321 658 755 388 11976
1990 319 225 759 1187 1686 1944 901 969 277 988 194 -316 9133
1991 193 544 -663 1536 1928 1834 1395 973 948 841 -68 -346 9115
1992 62 222 204 1353 500 1859 1058 -191 1264 601 571 -960 6543
1993 -1571 -636 664 1474 1723 1988 1996 444 1130 388 82 421 8103
1994 483 101 642 1199 1662 1905 1578 890 597 477 -153 74 9455
1995 -398 51 354 1247 1762 2082 1889 717 815 1167 560 358 10604
1996 478 301 1025 1554 2016 2021 1085 1184 214 589 331 480 11278
1997 -674 366 1057 1130 1806 1922 1764 951 510 613 327 -255 9517
1998 344 -154 72 1071 1891 2113 989 1257 874 255 159 406 9277
1999 544 634 1086 790 1925 1970 357 547 265 1177 793 575 10663
2000 468 455 232 1484 2007 1710 1857 757 1463 -530 247 510 10660
2001 21 326 845 1014 1659 2047 1265 781 1345 910 634 187 11034
2002 455 766 1110 1437 2013 2144 1223 1477 483 714 397 -37 12182
2003 547 -312 540 1470 1962 2069 1559 791 879 941 32 336 10814
2004 307 300 829 963 2017 2059 1581 1084 813 399 -115 -368 9869
2005 -730 -609 626 1133 1912 2011 1657 727 1211 721 746 613 10018
2006 539 808 495 1343 1978 1946 957 375 934 432 737 403 10947
2007 180 391 918 1490 1846 2072 810 791 962 1076 732 -1260 10008
2008 -533 31 1198 1577 1622 2104 914 799 1060 881 430 -707 9376
2009 327 316 1101 1455 1488 1950 1648 1658 1055 1021 648 -162 12505
2010 -1257 253 660 1411 1918 2077 601 934 1108 699 481 -357 8528
2011 605 222 1078 1435 1770 2142 1144 1000 713 647 257 -272 10741
2012 486 555 836 1394 2007 2123 999 824 1276 1006 502 -132 11876
2013 -30 453 873 1396 1991 2145 509 527 440 1069 -31 312 9654
2014 641 714 699 1425 1978 2148 1200 369 517 867 646 -39 11165
2015 -189 527 627 1357 1516 1655 839 725 934 172 16 172 8351
2016 145 570 1190 1370 1641 1922 1403 514 1035 975 -28 -509 10228
2017 -519 272 851 1482 1854 2070 803 1145 1274 1165 779 606 11782
2018 287 295 937 1582 1919 2015 728 888 1195 -158 665 252 10605
2019 45 -688 506 1443 1454 2120 1736 1391 968 1153 -712 -202 9214
2020 415 289 276 1391 1943 2118 1582 1594 1451 1010 514 498 13081
2021 -85 580 816 1463 1941 2080 74 1130 821 637 736 -351 9842
2022 370 490 819 1602 2030 1651 758 332 889 412 462 -156 9659
2023 -655 21 -49 1603 1784 2132 2000 892 1176 1083 440 245 10672
2024 104 -107 256 1213 1992 1838 1400 993 1367 772 568 611 11007
