Year January February March April May June July August September October November December Total
1971 1498 1310 1023 900 865 110 110 110 601 1010 2923 2586 13046
1972 3327 3313 3361 1960 885 213 213 213 213 233 1266 232 15429
1973 1268 1470 1524 203 203 3394 3495 3156 1708 1964 1883 1088 21356
1974 221 221 2113 2525 2080 1959 684 221 221 222 822 221 11510
1975 202 202 2822 3492 3087 3104 3054 1949 1821 1830 914 202 22679
1976 242 1848 3173 3257 3124 2194 1666 1761 1839 1857 1599 849 23409
1977 236 236 565 944 1749 817 236 533 350 236 236 236 6374
1978 173 1307 1583 1570 3078 2745 2244 1304 1421 1446 1486 837 19194
1979 202 202 202 202 522 2445 3400 3167 2955 2006 1398 1305 18006
1980 205 317 205 205 205 3154 3285 3093 2381 824 205 790 14869
1981 1742 1122 738 1795 1826 916 378 232 232 278 232 232 9723
1982 274 376 1126 2340 2097 1845 2029 1554 1936 1928 1483 1119 18107
1983 258 258 258 258 837 2930 2718 2565 2015 286 262 260 12905
1984 746 2306 2732 2731 2307 1976 1365 1437 1178 1340 1076 756 19950
1985 146 146 146 146 174 1467 1664 1693 1679 1856 1691 217 11025
1986 548 1205 1210 1093 2011 1723 1705 1650 1602 1852 2065 919 17583
1987 221 221 221 221 2129 1591 1651 1300 2165 1619 1495 1600 14434
1988 1153 320 1100 2148 900 2239 1970 1358 1369 1351 1346 1195 16449
1989 864 920 1034 1300 2122 1292 1268 1279 1390 2141 1254 1292 16156
1990 638 260 876 562 997 880 933 363 198 199 198 198 6302
1991 232 232 232 232 1439 1026 1081 232 236 232 232 236 5642
1992 221 221 221 221 221 221 221 221 221 347 221 221 2778
1993 214 214 214 214 295 214 909 964 704 596 1243 1055 6836
1994 1010 900 1081 1834 1882 1810 1873 1997 1777 1215 1027 1629 18035
1995 1082 694 251 251 2150 2074 1645 1895 846 1942 1350 1378 15558
1996 1341 1251 232 232 232 232 232 232 232 232 232 232 4912
1997 239 239 239 243 1864 2024 1747 1241 1102 1220 1862 1320 13340
1998 1290 872 1347 1741 1809 1938 1373 1344 1665 1760 1245 1259 17643
1999 1322 290 243 243 362 1070 1070 715 1025 1074 804 243 8461
2000 260 260 260 260 333 1504 799 325 396 260 262 260 5179
2001 262 262 262 1065 1484 1729 1561 1102 1091 992 293 262 10365
2002 268 268 268 268 268 316 268 363 320 268 271 268 3414
2003 257 257 257 257 257 360 258 257 257 337 257 257 3268
2004 253 253 253 253 313 253 253 253 253 339 253 253 3182
2005 259 259 259 259 299 297 259 264 259 504 260 259 3437
2006 0 0 0 0 0 0 0 195 0 0 6 0 201
2007 0 0 0 17 424 692 476 994 102 1 0 0 2706
2008 0 0 0 0 0 0 3 53 223 0 0 1 280
2009 0 0 0 0 140 741 253 0 0 0 0 0 1134
2010 0 0 0 0 0 678 911 868 0 0 0 0 2457
2011 0 0 0 229 1591 870 970 485 459 898 5 0 5507
2012 0 0 0 0 685 668 557 1255 811 704 0 0 4680
2013 0 0 0 0 734 1280 1020 1065 1297 584 0 0 5980
2014 0 0 0 0 251 1415 1066 0 6 1 0 0 2739
2015 0 0 0 0 82 1471 1609 1490 1445 1308 10 0 7415
2016 0 0 0 0 705 1309 1411 743 323 364 0 0 4855
2017 0 0 0 175 562 537 271 948 1511 1594 1477 1412 8487
2018 326 0 0 3 1 1 1 0 0 3 1 0 336
2019 0 1 0 230 120 749 765 824 952 879 1082 653 6255
2020 0 0 0 412 409 331 392 1123 1159 1162 836 454 6278
2021 7 0 0 0 2 123 25 0 0 5 0 0 162
2022 0 0 0 308 290 192 209 268 248 602 1205 342 3664
2023 0 0 0 0 257 137 208 275 260 348 404 304 2193
2024 0 0 0 20 814 1088 1038 1150 1069 961 920 262 7322
