Year January February March April May June July August September October November December Total
1971 17 20 35 50 65 71 57 52 45 31 24 17 484
1972 18 22 39 56 72 79 64 57 49 33 27 18 534
1973 18 22 40 57 73 80 64 58 49 34 27 19 541
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 56 71 130 195 255 285 226 197 169 119 92 58 1853
1976 31 39 72 107 141 157 125 109 93 66 51 32 1023
1977 114 138 247 350 451 492 397 358 307 208 168 120 3350
1978 132 160 288 412 531 583 469 421 361 246 197 138 3938
1979 114 135 240 336 429 465 377 344 296 197 162 120 3215
1980 171 207 371 528 682 745 601 540 464 314 253 180 5056
1981 130 165 300 447 584 650 517 452 387 272 210 136 4250
1982 93 118 216 323 423 472 375 327 280 198 152 97 3074
1983 92 116 212 314 411 457 364 318 273 191 148 96 2992
1984 90 114 207 307 401 446 355 311 266 187 144 94 2922
1985 151 210 61 149 506 716 864 450 552 280 81 164 4184
1986 184 238 415 645 722 759 731 670 626 574 357 258 6179
1987 247 267 364 700 855 692 546 467 448 123 32 0 4741
1988 0 47 187 369 610 726 568 455 394 203 83 2 3644
1989 0 121 216 252 443 332 357 351 224 208 179 93 2776
1990 93 202 310 286 508 534 406 407 309 322 169 30 3576
1991 31 124 159 203 240 305 244 197 207 140 79 24 1953
1992 208 242 475 1033 1022 1158 789 685 629 361 478 257 7337
1993 90 196 551 956 1050 1114 804 629 395 441 177 193 6596
1994 162 223 304 490 526 690 635 516 416 264 238 160 4624
1995 35 155 347 511 584 588 478 369 304 200 145 156 3872
1996 201 163 336 257 425 554 411 301 304 201 265 141 3559
1997 21 80 221 281 463 444 308 397 496 307 75 144 3237
1998 164 123 273 345 514 538 409 315 373 248 116 188 3606
1999 23 36 69 150 396 374 243 252 222 97 50 50 1962
2000 46 33 114 125 165 201 164 91 67 31 91 44 1172
2001 39 179 242 314 349 519 382 236 270 174 67 84 2855
2002 46 18 23 80 141 166 110 68 73 59 52 33 869
2003 120 30 175 217 218 348 176 282 172 138 137 104 2117
2004 117 111 79 278 319 323 313 280 225 78 142 108 2373
2005 124 110 434 495 652 689 561 475 373 167 272 141 4493
2006 97 70 154 294 301 336 329 325 230 171 145 87 2539
2007 58 39 86 176 215 208 161 142 118 95 65 28 1391
2008 84 107 99 127 194 216 242 158 107 73 54 29 1490
2009 79 31 89 222 209 324 208 165 127 132 57 44 1687
2010 21 24 76 159 209 180 129 143 89 67 100 25 1222
2011 326 165 525 588 843 760 577 488 432 353 318 250 5625
2012 62 134 126 156 146 190 161 182 188 84 36 28 1493
2013 144 139 251 328 337 529 439 333 341 300 181 130 3452
2014 149 195 201 233 727 1218 1690 1324 859 745 590 424 8355
2015 1092 1484 2638 3035 4693 3957 3318 3201 3037 2761 2217 1732 33165
2016 79 796 1490 2350 3346 4142 3342 3493 3229 2814 908 31 26022
2017 220 761 2401 2380 3707 3072 2759 3491 2534 2169 1102 593 25187
2018 9 36 509 2548 1941 693 775 586 525 230 35 292 8178
2019 0 1 138 466 509 763 756 459 372 160 0 7 3630
2020 192 37 340 804 446 551 404 334 230 212 74 43 3667
2021 0 8 28 104 237 282 304 246 260 97 51 2 1619
2022 44 54 185 355 616 439 483 379 218 120 12 17 2923
2023 0 1 34 196 522 540 522 435 265 167 30 16 2727
2024 0 2 6 27 49 77 104 116 71 20 8 15 495
