Year January February March April May June July August September October November December Total
1971 54 57 57 57 57 57 57 57 54 54 54 54 669
1972 51 54 54 54 54 54 54 54 51 51 51 51 633
1973 48 51 51 51 51 51 51 51 48 48 48 48 597
1974 45 47 47 47 47 47 47 47 45 45 45 45 554
1975 47 50 50 50 50 50 50 50 47 47 47 47 585
1976 49 52 52 52 52 52 52 52 49 49 49 49 609
1977 51 54 54 54 54 54 54 54 51 51 51 51 633
1978 53 56 56 56 56 56 56 56 53 53 53 53 657
1979 53 56 56 56 56 56 56 56 53 53 53 53 657
1980 54 56 56 56 56 56 56 56 54 54 54 54 662
1981 53 57 57 57 57 57 57 57 53 53 53 53 664
1982 54 56 56 56 56 56 56 56 54 54 54 54 662
1983 56 59 59 59 59 59 59 59 56 56 56 56 693
1984 58 61 61 61 61 61 61 61 58 58 58 58 717
1985 60 63 63 63 63 63 63 63 60 60 60 60 741
1986 62 66 66 66 66 66 66 66 62 62 62 62 772
1987 65 68 68 68 68 68 68 68 65 65 65 65 801
1988 62 65 65 65 65 65 65 65 62 62 62 62 765
1989 60 63 63 63 63 63 63 63 60 60 60 60 741
1990 57 60 60 60 60 60 60 60 57 57 57 57 705
1991 55 57 57 57 57 57 57 57 55 55 55 55 674
1992 52 55 55 55 55 55 55 55 52 52 52 52 645
1993 51 54 54 54 54 54 54 54 51 51 51 51 633
1994 48 53 53 53 53 53 53 53 48 48 48 48 611
1995 47 51 51 51 51 51 51 51 47 47 47 47 592
1996 46 49 49 49 49 49 49 49 46 46 46 46 573
1997 45 48 48 48 48 48 48 48 45 45 45 45 561
1998 42 45 45 45 45 45 45 45 42 42 42 42 525
1999 39 41 41 41 41 41 41 41 39 39 39 39 482
2000 36 39 39 39 39 39 39 39 36 36 36 36 453
2001 34 35 35 35 35 35 35 35 34 34 34 34 415
2002 31 33 33 33 33 33 33 33 31 31 31 31 386
2003 34 35 35 35 35 35 35 35 34 34 34 34 415
2004 36 38 38 38 38 38 38 38 36 36 36 36 446
2005 39 41 41 41 41 41 41 41 39 39 39 39 482
2006 42 44 44 44 44 44 44 44 42 42 42 42 518
2007 44 46 46 46 46 46 46 46 44 44 44 44 542
2008 45 47 47 47 47 47 47 47 45 45 45 45 554
2009 46 48 48 48 48 48 48 48 46 46 46 46 566
2010 47 49 49 49 49 49 49 49 47 47 47 47 578
2011 48 50 50 50 50 50 50 50 48 48 48 48 590
2012 49 51 51 51 51 51 51 51 49 49 49 49 602
2013 48 51 51 51 51 51 51 51 48 48 48 48 597
2014 48 51 51 51 51 51 51 51 48 48 48 48 597
2015 48 51 51 51 51 51 51 51 48 48 48 48 597
2016 58 58 58 58 58 58 58 58 58 58 58 58 705
2017 58 58 58 58 58 58 58 58 58 58 58 58 706
2018 54 54 54 54 54 54 54 54 54 54 54 54 652
2019 50 50 50 50 50 50 50 50 50 50 50 50 599
2020 45 45 45 45 45 45 45 45 45 45 45 45 546
2021 41 41 41 41 41 41 41 41 41 41 41 41 494
2022 37 37 37 37 37 37 37 37 37 37 37 37 440
2023 37 37 37 37 37 37 37 37 37 37 37 37 440
2024 37 37 37 37 37 37 37 37 37 37 37 37 440
