Year January February March April May June July August September October November December Total
1971 130 120 158 174 224 253 272 263 226 192 165 147 2324
1972 138 130 171 188 244 275 295 284 246 208 178 159 2516
1973 151 142 183 205 264 296 319 308 264 223 191 170 2716
1974 162 152 197 218 281 318 342 329 283 239 206 182 2909
1975 172 163 212 235 300 339 362 348 300 251 216 189 3087
1976 180 170 220 241 311 349 375 358 307 261 221 196 3189
1977 185 174 226 248 320 359 387 370 320 271 231 205 3296
1978 192 181 237 261 337 381 410 397 342 290 249 222 3499
1979 210 199 259 287 369 415 447 429 370 313 267 238 3803
1980 225 211 276 303 391 440 472 454 389 330 283 248 4022
1981 234 222 288 318 408 460 494 476 408 345 295 262 4210
1982 247 233 302 333 430 483 516 494 424 358 306 272 4398
1983 255 239 312 342 441 495 532 512 440 372 318 281 4539
1984 266 250 325 357 459 519 556 533 458 387 331 293 4734
1985 278 260 338 373 477 541 579 557 478 404 348 308 4941
1986 290 274 357 394 505 569 609 585 501 422 362 319 5187
1987 301 284 367 403 520 587 630 606 522 441 378 334 5373
1988 316 297 386 428 549 619 665 638 548 463 397 352 5658
1989 331 312 406 447 576 650 697 671 577 489 419 371 5946
1990 349 329 430 473 611 690 740 713 614 521 447 396 6313
1991 374 353 460 508 654 737 790 760 653 553 472 420 6734
1992 395 372 483 534 686 775 830 798 686 580 496 440 7075
1993 415 391 509 562 722 813 874 837 721 609 522 461 7436
1994 436 411 535 589 757 853 916 878 755 638 546 484 7798
1995 456 430 559 617 792 890 955 916 787 663 569 503 8137
1996 474 446 580 637 819 920 985 945 810 683 585 516 8400
1997 486 456 594 652 838 943 1009 967 829 700 596 528 8598
1998 497 466 605 665 854 960 1030 986 843 712 611 538 8767
1999 507 477 618 681 875 984 1052 1009 865 730 625 552 8975
2000 518 486 633 695 895 1006 1079 1033 889 750 640 567 9191
2001 524 492 640 705 906 1020 1093 1049 900 760 650 576 9315
2002 533 501 651 717 921 1038 1112 1067 917 772 663 585 9477
2003 541 508 662 729 938 1055 1131 1085 933 788 674 597 9641
2004 553 519 676 744 958 1077 1157 1109 953 806 690 609 9851
2005 565 531 691 760 978 1100 1178 1132 970 820 702 620 10047
2006 575 540 703 771 991 1115 1194 1143 980 827 705 623 10167
2007 576 542 701 771 989 1112 1189 1136 974 820 698 619 10127
2008 569 534 692 760 974 1093 1168 1118 956 806 689 607 9966
2009 559 524 679 747 957 1075 1150 1098 940 792 677 595 9793
2010 550 515 667 733 941 1058 1132 1084 928 783 667 590 9648
2011 554 521 676 742 952 1069 1142 1093 936 789 674 594 9742
2012 558 525 679 746 958 1075 1147 1097 938 791 675 595 9784
2013 559 524 680 745 957 1075 1149 1099 941 793 677 597 9796
2014 562 526 681 747 961 1077 1152 1104 945 796 680 600 9831
2015 564 529 686 755 968 1086 1161 1111 951 801 685 605 9902
2016 556 520 678 747 975 1106 1185 1125 973 816 668 591 9943
2017 561 524 682 752 984 1116 1196 1134 980 822 674 595 10023
2018 568 530 691 762 995 1130 1211 1149 993 831 682 603 10151
2019 572 535 696 768 1004 1139 1219 1157 1001 837 687 609 10229
2020 574 536 699 770 1006 1141 1223 1162 1004 840 690 610 10257
2021 580 542 706 779 1014 1153 1235 1169 1012 847 695 614 10350
2022 589 550 716 791 1031 1170 1254 1190 1028 862 707 627 10519
2023 595 556 726 799 1044 1184 1268 1204 1041 873 716 633 10640
2024 601 562 733 809 1054 1195 1282 1217 1052 881 722 640 10750
