Year January February March April May June July August September October November December Total
1971 46 35 137 190 234 297 278 159 204 88 74 -16 1726
1972 53 79 141 187 271 246 292 218 163 4 28 9 1691
1973 0 22 9 187 247 266 287 245 212 148 55 49 1727
1974 -27 72 118 187 271 298 243 253 196 83 59 30 1783
1975 35 48 68 165 253 294 227 252 186 146 53 33 1760
1976 51 -16 115 152 244 298 233 267 137 126 83 54 1744
1977 17 74 122 193 223 280 261 221 186 127 73 19 1796
1978 -68 -6 0 152 251 298 285 249 179 116 -40 -32 1384
1979 -49 31 45 194 230 294 289 211 216 129 70 26 1686
1980 -95 -64 63 184 242 298 247 241 163 118 86 40 1523
1981 37 53 46 177 230 283 242 190 155 101 42 52 1608
1982 -13 24 59 183 246 296 276 170 161 134 19 -27 1528
1983 9 28 16 165 265 298 239 171 131 117 40 8 1487
1984 43 64 123 190 268 287 165 196 189 130 50 -46 1659
1985 -13 52 86 169 258 288 253 270 175 121 -21 44 1682
1986 42 25 73 171 261 286 260 214 155 109 50 18 1664
1987 6 31 96 191 238 279 263 205 199 68 -3 24 1597
1988 2 44 137 97 259 263 278 186 208 143 58 23 1698
1989 -3 54 108 203 254 298 275 213 213 134 89 44 1882
1990 2 17 104 155 242 278 250 214 135 133 68 31 1629
1991 9 60 -9 202 264 283 279 237 156 125 55 11 1672
1992 17 0 -10 193 198 294 265 200 193 91 88 -29 1500
1993 -134 -83 99 200 254 281 311 206 211 98 50 23 1516
1994 41 22 96 154 256 296 279 231 183 113 52 7 1730
1995 -63 27 29 157 236 280 296 240 177 153 74 40 1646
1996 38 16 120 198 266 297 255 256 182 117 37 26 1808
1997 -40 46 138 164 263 284 289 208 94 129 65 29 1669
1998 21 -34 64 164 249 293 231 239 110 93 44 46 1520
1999 40 57 137 137 253 273 208 211 154 154 89 52 1765
2000 29 21 85 192 269 282 298 198 210 40 70 50 1744
2001 -15 30 88 168 266 292 268 225 207 138 68 24 1759
2002 45 77 124 199 271 298 278 270 148 116 58 24 1908
2003 42 -16 86 173 262 298 287 213 190 142 45 19 1741
2004 38 1 137 152 270 297 275 217 160 1 -7 -13 1528
2005 -95 -38 94 144 262 283 283 201 212 95 84 51 1576
2006 40 76 49 180 268 285 252 239 179 84 87 35 1774
2007 43 64 123 191 265 298 237 216 168 148 88 -42 1799
2008 -26 28 136 203 255 293 271 210 194 143 51 -26 1732
2009 31 28 138 191 250 287 280 263 196 149 84 -16 1881
2010 -59 9 101 189 269 295 259 229 209 45 66 -64 1548
2011 50 4 117 176 254 298 266 257 164 111 61 26 1784
2012 39 52 104 188 271 298 223 179 178 133 87 12 1764
2013 8 65 125 197 266 298 226 201 113 137 46 40 1722
2014 50 67 118 185 267 297 252 194 128 150 87 9 1804
2015 6 47 78 188 225 261 260 197 186 65 64 36 1613
2016 5 58 131 145 242 289 276 180 150 134 57 -40 1627
2017 -50 32 122 191 251 296 220 232 176 153 89 54 1766
2018 17 49 103 201 262 297 223 215 201 68 73 43 1752
2019 -13 -47 93 185 193 296 302 263 202 153 -28 -2 1597
2020 45 58 42 180 268 297 297 273 214 153 76 49 1952
2021 13 72 99 193 272 291 212 245 180 110 88 -14 1761
2022 43 67 115 202 272 287 252 182 158 121 59 14 1772
2023 -74 37 22 202 257 292 299 192 166 145 74 47 1659
2024 13 10 77 184 267 284 284 217 209 135 82 54 1816
