Year January February March April May June July August September October November December Total
1971 271 248 453 561 692 820 780 564 607 381 353 173 5903
1972 288 326 476 568 769 759 827 711 586 216 294 215 6035
1973 217 227 254 593 746 825 849 768 679 527 342 312 6339
1974 158 309 416 545 735 811 728 735 611 386 338 273 6045
1975 325 349 483 721 987 1115 964 970 779 635 418 339 8085
1976 332 201 506 624 852 999 855 908 643 556 442 355 7273
1977 362 466 709 931 1155 1314 1207 1089 935 705 555 400 9828
1978 268 377 553 954 1292 1460 1344 1233 1012 757 406 353 10009
1979 286 438 618 966 1188 1371 1299 1128 1035 743 575 441 10088
1980 275 327 784 1149 1484 1683 1471 1401 1152 866 718 536 11846
1981 469 519 707 1077 1396 1583 1408 1243 1068 813 600 527 11410
1982 346 427 632 982 1266 1451 1338 1116 993 807 520 357 10235
1983 410 443 586 960 1302 1452 1295 1132 898 780 573 427 10258
1984 473 521 776 1005 1319 1451 1204 1172 1052 818 601 341 10733
1985 451 601 579 819 1425 1746 1865 1461 1329 912 412 597 12197
1986 597 606 936 1355 1679 1808 1765 1602 1391 1209 850 657 14455
1987 602 651 931 1452 1786 1758 1618 1430 1316 706 444 413 13107
1988 372 463 843 1000 1611 1796 1698 1399 1308 935 612 450 12487
1989 378 571 834 1065 1455 1488 1499 1390 1175 951 790 575 12171
1990 483 596 941 1041 1542 1698 1523 1467 1152 1097 768 515 12823
1991 462 623 615 1071 1348 1516 1493 1349 1146 914 649 494 11680
1992 667 662 998 1911 2022 2420 2043 1782 1657 1128 1153 668 17111
1993 320 472 1254 1872 2201 2402 2195 1800 1479 1226 811 745 16777
1994 709 709 1026 1355 1712 2035 2010 1768 1465 1115 904 696 15504
1995 434 641 998 1408 1784 1949 1916 1661 1392 1137 871 766 14957
1996 777 683 1140 1239 1690 1965 1798 1656 1409 1101 940 745 15143
1997 460 647 1067 1210 1738 1857 1788 1698 1493 1239 808 745 14750
1998 727 579 994 1291 1771 1979 1808 1683 1412 1117 821 833 15015
1999 627 636 928 1063 1687 1796 1608 1569 1312 1091 844 716 13877
2000 637 578 882 1142 1498 1652 1722 1432 1298 846 858 718 13263
2001 566 747 1039 1297 1677 2001 1895 1621 1507 1155 847 725 15077
2002 675 665 890 1119 1496 1677 1636 1559 1208 1028 826 676 13455
2003 754 520 981 1241 1578 1878 1751 1688 1403 1164 892 759 14609
2004 757 670 988 1277 1715 1876 1904 1715 1432 917 840 707 14798
2005 553 594 1295 1505 2058 2237 2178 1911 1692 1157 1135 875 17190
2006 774 766 959 1372 1732 1912 1914 1841 1509 1147 1019 796 15741
2007 732 715 1010 1278 1642 1806 1709 1613 1371 1173 935 593 14577
2008 625 709 1038 1234 1583 1788 1837 1600 1385 1131 853 602 14385
2009 727 634 1019 1298 1574 1867 1798 1692 1391 1186 899 631 14716
2010 496 599 928 1216 1598 1723 1649 1586 1366 932 904 556 13553
2011 1001 733 1418 1632 2214 2319 2138 1997 1643 1351 1118 913 18477
2012 725 785 994 1222 1556 1756 1662 1573 1431 1116 880 675 14375
2013 741 799 1161 1416 1737 2095 1929 1756 1505 1339 962 821 16261
2014 832 869 1102 1299 2134 2785 3244 2716 2025 1806 1442 1069 21323
2015 1692 2130 3470 4112 6033 5477 4902 4633 4296 3693 3028 2433 45899
2016 689 1450 2417 3372 4718 5714 4968 4903 4454 3878 1697 594 38868
2017 740 1376 3306 3468 5110 4677 4302 4994 3827 3270 1960 1323 38364
2018 646 680 1402 3658 3369 2308 2315 2084 1858 1188 874 1006 21397
2019 583 468 1007 1554 1829 2384 2452 2044 1706 1268 664 638 16600
2020 871 696 1132 1871 1883 2171 2092 1922 1589 1317 914 768 17234
2021 613 690 901 1202 1688 1901 1826 1788 1547 1137 910 612 14821
2022 728 730 1092 1478 2081 2058 2111 1834 1496 1173 835 684 16301
2023 494 633 798 1327 1969 2187 2252 1929 1586 1285 887 747 16090
2024 649 589 872 1134 1530 1715 1813 1655 1458 1124 883 769 14189
