Year January February March April May June July August September October November December Total
1971 19 11 61 85 107 137 111 28 73 11 31 -34 640
1972 22 35 65 77 122 99 116 92 71 -86 4 -28 589
1973 -6 -16 -35 87 105 126 122 100 100 68 15 20 686
1974 -28 32 48 87 130 142 90 100 81 13 22 10 727
1975 9 11 17 70 123 141 93 117 71 66 4 6 728
1976 20 -45 46 71 103 142 69 121 56 53 37 23 696
1977 -6 25 59 85 106 128 107 85 70 47 31 4 741
1978 -42 -15 -29 72 116 141 123 109 76 51 -54 -29 519
1979 -44 15 16 91 102 139 128 86 98 49 21 2 703
1980 -82 -85 16 76 111 142 93 108 80 48 40 12 559
1981 13 20 14 76 115 131 96 66 63 40 -2 22 654
1982 -37 -6 -3 85 109 142 113 67 72 61 -13 -41 549
1983 -3 0 -14 79 125 142 100 71 -3 43 10 -15 535
1984 14 30 58 88 128 136 65 69 79 54 16 -60 677
1985 -25 16 31 65 121 138 106 121 64 47 -56 21 649
1986 18 2 24 78 124 127 98 66 46 41 18 -1 641
1987 -18 0 35 89 104 131 110 83 81 8 -29 -11 583
1988 -10 8 66 39 126 121 120 53 94 62 10 9 698
1989 -13 18 38 97 116 142 104 89 98 57 40 4 790
1990 -22 -16 33 63 117 132 63 69 33 60 23 -3 552
1991 -11 25 -56 97 129 130 119 94 71 37 -16 -20 599
1992 -9 -11 -9 92 57 134 100 40 93 40 35 -56 506
1993 -106 -90 37 96 117 136 148 70 97 23 7 13 548
1994 18 -4 34 65 116 139 123 86 59 48 16 -7 693
1995 -45 -26 8 68 117 136 132 81 73 70 32 16 662
1996 15 6 52 95 128 142 95 102 64 51 4 13 767
1997 -54 15 64 63 124 136 132 76 27 56 25 -3 661
1998 2 -22 6 71 108 142 92 97 43 21 7 18 585
1999 17 24 62 53 121 123 63 55 31 70 40 22 681
2000 8 -1 11 91 130 124 142 71 96 -11 21 21 703
2001 -16 11 34 75 121 135 117 76 96 49 28 7 733
2002 20 36 59 90 130 142 103 121 39 50 22 3 815
2003 17 -37 23 87 125 142 122 73 74 62 2 5 695
2004 13 1 58 65 130 141 121 71 58 -4 -21 -33 600
2005 -80 -50 35 65 125 124 115 62 98 36 38 24 592
2006 20 36 9 83 128 132 95 90 78 23 40 9 743
2007 11 24 54 94 127 142 76 73 67 66 40 -56 718
2008 -47 -7 64 97 113 139 109 67 83 64 14 -53 643
2009 12 3 65 90 110 133 112 118 82 67 35 -38 789
2010 -63 2 35 86 130 141 80 81 93 -10 24 -42 557
2011 23 -7 50 76 115 142 103 109 63 50 17 -5 736
2012 17 23 34 81 130 142 80 64 78 59 33 -9 732
2013 -18 20 54 95 126 142 64 72 62 61 10 6 694
2014 23 30 51 83 128 142 99 43 45 67 37 -12 736
2015 -18 19 17 83 96 122 112 73 74 18 14 12 622
2016 -9 18 60 72 97 119 107 47 44 56 6 -46 571
2017 -49 1 43 87 110 135 69 79 79 68 37 23 682
2018 -2 11 45 93 117 134 52 80 85 5 30 14 664
2019 -26 -71 30 85 73 136 125 115 81 68 -45 -26 545
2020 15 20 6 72 118 137 123 108 96 67 29 21 812
2021 -21 27 27 85 124 134 34 87 54 42 35 -31 597
2022 15 22 39 93 125 125 85 46 55 33 20 -11 647
2023 -64 2 -21 93 109 134 126 61 77 63 30 14 624
2024 -2 -22 19 77 123 122 106 68 89 51 34 23 688
