Year January February March April May June July August September October November December Total
1971 621 714 1059 1277 1493 1530 1445 1283 1097 823 604 539 12485
1972 687 790 1171 1414 1652 1693 1599 1421 1213 911 669 598 13818
1973 696 801 1187 1433 1674 1716 1621 1440 1229 922 678 606 14003
1974 706 808 1189 1433 1668 1708 1622 1447 1238 930 687 614 14050
1975 1075 1243 1785 2153 2514 2609 2505 2264 1938 1452 1064 938 21540
1976 966 1107 1521 1843 2176 2243 2131 1936 1632 1239 955 845 18594
1977 1569 1825 2587 3107 3611 3770 3646 3325 2842 2123 1562 1366 31333
1978 1611 1886 2661 3176 3652 3808 3685 3374 2864 2139 1598 1393 31847
1979 2188 2598 3742 4466 5122 5392 5222 4767 4061 3001 2177 1887 44623
1980 2294 2764 4024 4820 5544 5897 5689 5180 4410 3231 2295 1978 48126
1981 3027 3636 5223 6261 7223 7674 7397 6750 5732 4213 3029 2612 62777
1982 2284 2746 3984 4760 5456 5793 5605 5115 4356 3195 2282 1967 47543
1983 1821 2192 3122 3714 4234 4474 4321 3973 3347 2468 1818 1568 37052
1984 1059 1235 1696 2032 2356 2433 2324 2127 1781 1343 1046 918 20350
1985 2255 2048 934 492 523 3980 6222 5010 4066 3118 1668 1923 32239
1986 2887 2501 3049 3165 5163 5505 6922 5289 4593 2982 2132 2015 46203
1987 2471 2098 2727 3550 4298 4776 5163 5810 4096 2612 1475 0 39076
1988 0 1220 2783 3712 4315 5205 5013 4835 4186 2970 2535 986 37760
1989 0 2199 3067 3801 5597 4722 5123 4765 3976 3447 2551 1166 40414
1990 1577 2133 3380 5370 5919 6277 6790 6466 5979 3693 2274 1499 51357
1991 510 1827 3265 5160 4880 5933 4861 4758 4146 2372 1990 1997 41699
1992 2114 1843 3347 3318 3923 3667 2989 3599 3786 1926 2772 1676 34960
1993 2508 2730 3256 3147 3488 3926 4736 3102 2693 1693 1343 2011 34633
1994 1927 1875 2253 2672 3015 3850 4080 3895 3099 2145 1948 1184 31943
1995 1853 2204 2966 4422 4240 4260 3782 3871 2781 2083 1525 1877 35864
1996 2162 2595 3439 3733 3695 3891 4015 3070 2811 1700 1221 1957 34289
1997 1535 1895 2776 3889 3186 4807 4062 3925 3412 2898 1446 1562 35393
1998 3053 2258 3563 3783 4331 5035 4524 5186 5370 4439 1692 2911 46145
1999 2662 3602 4102 4325 5073 5600 5031 5009 4268 3762 2172 2257 47863
2000 2860 3224 4322 4089 4842 5946 7587 6547 6573 4349 3378 2633 56350
2001 3323 3913 5754 5541 5632 6318 7850 8115 6933 4552 3497 3048 64476
2002 4048 3577 5174 5892 6599 7104 7365 7360 6705 4708 2703 3081 64316
2003 3954 3335 6529 6510 7485 7508 8121 7704 7076 5154 4180 3489 71045
2004 3737 4628 4872 5475 6022 6833 7607 5204 5134 4292 4645 3164 61613
2005 3970 4876 6933 6130 5897 5855 4862 6520 5040 4152 2851 2873 59959
2006 2502 2952 3377 2953 3485 4922 3464 4266 4036 2629 3331 2163 40080
2007 2904 2584 3247 4792 4465 4696 4774 4577 5492 4836 2618 2278 47263
2008 4110 4721 5649 6333 6559 6258 9483 8348 6430 4494 2497 4327 69209
2009 4674 4690 6844 8385 7451 7728 6111 5873 4842 4772 2044 2329 65743
2010 2710 3634 5826 6286 4957 5063 5434 5707 4858 4372 2575 2036 53458
2011 3258 3179 4993 6159 5427 5822 8180 6360 5084 4969 3113 2948 59492
2012 4091 4011 5468 7033 6554 7229 8455 7642 6053 4607 2861 2226 66230
2013 3494 4194 5418 6172 7204 8124 6752 5788 5881 4237 2819 2962 63045
2014 3414 4437 5097 6347 6773 6499 5969 5440 4462 4495 2900 2719 58552
2015 3780 4764 6606 6440 7492 7419 7345 6184 5291 3984 3639 3493 66437
2016 2290 5629 5959 6552 7399 8878 9345 8363 6432 5343 3552 1368 71114
2017 2708 3230 6877 8644 7746 9628 9021 7900 6612 5367 3282 3337 74353
2018 3207 3967 5993 9045 8629 9699 9008 9103 7501 4571 3363 1943 76028
2019 2004 2618 5932 8638 7975 8815 9473 8688 6704 4926 2114 1739 69625
2020 2371 3128 4740 7508 9395 9673 10332 9436 6555 5462 3621 2359 74579
2021 2829 5325 6258 9079 11113 12105 9499 9657 8886 6669 4148 2218 87790
2022 4100 5118 7067 8276 10717 11721 11887 10285 9076 5936 4123 2112 90420
2023 3254 4203 5518 7812 9646 10188 12736 10959 7723 6399 4019 2368 84820
2024 2090 3686 5154 6827 7920 9356 9367 7585 5696 4528 2805 2112 67129
