Year January February March April May June July August September October November December Total
1971 45 48 48 48 48 48 48 48 45 45 45 45 561
1972 46 49 49 49 49 49 49 49 46 46 46 46 573
1973 47 49 49 49 49 49 49 49 47 47 47 47 578
1974 48 50 50 50 50 50 50 50 48 48 48 48 590
1975 50 53 53 53 53 53 53 53 50 50 50 50 621
1976 53 56 56 56 56 56 56 56 53 53 53 53 657
1977 55 59 59 59 59 59 59 59 55 55 55 55 688
1978 59 61 61 61 61 61 61 61 59 59 59 59 722
1979 57 60 60 60 60 60 60 60 57 57 57 57 705
1980 56 60 60 60 60 60 60 60 56 56 56 56 700
1981 55 58 58 58 58 58 58 58 55 55 55 55 681
1982 54 56 56 56 56 56 56 56 54 54 54 54 662
1983 54 56 56 56 56 56 56 56 54 54 54 54 662
1984 55 57 57 57 57 57 57 57 55 55 55 55 674
1985 55 57 57 57 57 57 57 57 55 55 55 55 674
1986 54 57 57 57 57 57 57 57 54 54 54 54 669
1987 54 57 57 57 57 57 57 57 54 54 54 54 669
1988 54 57 57 57 57 57 57 57 54 54 54 54 669
1989 54 57 57 57 57 57 57 57 54 54 54 54 669
1990 54 56 56 56 56 56 56 56 54 54 54 54 662
1991 54 56 56 56 56 56 56 56 54 54 54 54 662
1992 54 56 56 56 56 56 56 56 54 54 54 54 662
1993 54 56 56 56 56 56 56 56 54 54 54 54 662
1994 54 57 57 57 57 57 57 57 54 54 54 54 669
1995 54 57 57 57 57 57 57 57 54 54 54 54 669
1996 55 57 57 57 57 57 57 57 55 55 55 55 674
1997 55 57 57 57 57 57 57 57 55 55 55 55 674
1998 55 57 57 57 57 57 57 57 55 55 55 55 674
1999 55 57 57 57 57 57 57 57 55 55 55 55 674
2000 55 58 58 58 58 58 58 58 55 55 55 55 681
2001 55 57 57 57 57 57 57 57 55 55 55 55 674
2002 54 56 56 56 56 56 56 56 54 54 54 54 662
2003 55 57 57 57 57 57 57 57 55 55 55 55 674
2004 55 58 58 58 58 58 58 58 55 55 55 55 681
2005 55 57 57 57 57 57 57 57 55 55 55 55 674
2006 56 58 58 58 58 58 58 58 56 56 56 56 686
2007 56 59 59 59 59 59 59 59 56 56 56 56 693
2008 57 61 61 61 61 61 61 61 57 57 57 57 712
2009 57 61 61 61 61 61 61 61 57 57 57 57 712
2010 57 62 62 62 62 62 62 62 57 57 57 57 719
2011 58 62 62 62 62 62 62 62 58 58 58 58 724
2012 58 62 62 62 62 62 62 62 58 58 58 58 724
2013 58 62 62 62 62 62 62 62 58 58 58 58 724
2014 58 62 62 62 62 62 62 62 58 58 58 58 724
2015 58 62 62 62 62 62 62 62 58 58 58 58 724
2016 19 19 19 19 19 19 19 19 19 19 19 19 229
2017 19 19 19 19 19 19 19 19 19 19 19 19 229
2018 19 19 19 19 19 19 19 19 19 19 19 19 228
2019 19 19 19 19 19 19 19 19 19 19 19 19 226
2020 19 19 19 19 19 19 19 19 19 19 19 19 223
2021 19 19 19 19 19 19 19 19 19 19 19 19 221
2022 19 19 19 19 19 19 19 19 19 19 19 19 219
2023 19 19 19 19 19 19 19 19 19 19 19 19 219
2024 19 19 19 19 19 19 19 19 19 19 19 19 219
