Year January February March April May June July August September October November December Total
1971 154 143 184 202 260 295 317 303 260 220 189 167 2694
1972 157 148 192 212 273 307 330 317 272 228 195 173 2804
1973 163 153 199 220 282 320 343 329 282 239 203 181 2914
1974 170 160 208 229 294 332 353 338 289 243 206 183 3005
1975 172 161 208 228 295 334 360 346 299 254 219 194 3070
1976 183 173 227 250 322 362 390 372 321 270 231 204 3305
1977 192 181 236 259 333 374 403 386 330 280 239 209 3422
1978 198 185 242 266 342 386 415 398 342 289 248 220 3531
1979 206 194 254 280 362 408 438 422 364 308 264 234 3734
1980 221 207 271 300 385 433 465 446 383 324 276 245 3956
1981 231 216 282 310 398 448 482 461 397 335 285 254 4099
1982 239 223 292 321 413 464 497 477 409 346 296 262 4239
1983 246 232 300 331 426 478 512 491 423 356 303 269 4367
1984 254 239 309 341 437 493 527 507 434 367 313 277 4498
1985 261 245 319 350 450 505 541 520 447 377 322 285 4622
1986 270 253 328 363 464 522 558 536 461 388 331 293 4767
1987 276 259 335 370 476 537 576 552 475 400 343 304 4903
1988 288 270 350 387 497 562 603 580 498 421 361 321 5138
1989 302 285 371 408 525 593 636 610 523 442 380 336 5411
1990 316 297 387 426 549 619 668 641 552 467 401 356 5679
1991 337 317 415 456 588 664 714 687 591 500 430 380 6079
1992 360 339 442 487 630 709 764 735 631 535 459 407 6498
1993 384 361 471 522 671 758 810 779 670 565 485 429 6905
1994 406 381 495 546 702 794 853 816 702 594 508 450 7247
1995 427 402 521 574 741 835 896 861 741 627 536 475 7636
1996 449 423 551 607 781 882 946 908 781 661 567 504 8060
1997 474 447 581 641 824 929 997 956 821 694 594 527 8485
1998 496 467 607 669 862 974 1043 1002 861 729 624 552 8886
1999 523 491 641 704 906 1021 1094 1050 901 761 652 576 9320
2000 545 512 664 732 943 1062 1138 1092 938 792 679 600 9697
2001 557 523 681 749 964 1087 1166 1118 961 812 694 615 9927
2002 569 536 697 768 988 1113 1193 1145 984 829 712 629 10163
2003 583 549 713 786 1012 1142 1225 1178 1012 857 733 651 10441
2004 601 567 738 812 1047 1182 1269 1219 1049 887 761 674 10806
2005 624 588 765 842 1087 1226 1314 1262 1086 916 785 696 11191
2006 645 607 789 870 1120 1260 1351 1295 1113 940 804 712 11506
2007 657 619 804 886 1139 1283 1375 1318 1133 956 817 722 11709
2008 669 628 816 899 1154 1300 1392 1334 1144 968 825 730 11859
2009 674 633 823 906 1163 1310 1401 1343 1152 973 832 736 11946
2010 678 637 829 910 1170 1318 1413 1356 1164 983 841 744 12043
2011 699 659 857 941 1207 1356 1450 1387 1188 1002 854 753 12353
2012 708 665 861 946 1215 1363 1458 1396 1194 1006 858 757 12427
2013 712 667 865 950 1220 1372 1466 1404 1203 1014 865 765 12503
2014 719 674 875 961 1235 1386 1482 1419 1216 1024 874 771 12636
2015 726 682 883 971 1247 1401 1500 1436 1230 1037 886 782 12781
2016 739 691 902 994 1297 1473 1578 1497 1294 1086 891 787 13230
2017 747 697 910 1005 1308 1487 1592 1512 1306 1095 898 793 13354
2018 756 707 920 1016 1324 1502 1609 1529 1320 1107 909 801 13494
2019 761 711 926 1022 1333 1513 1620 1539 1330 1115 915 808 13588
2020 729 680 887 979 1276 1449 1552 1472 1273 1068 876 773 13012
2021 735 688 896 988 1289 1462 1568 1486 1286 1078 883 780 13143
2022 743 694 905 999 1304 1478 1585 1502 1300 1089 893 789 13285
2023 760 712 926 1022 1335 1514 1623 1539 1330 1117 914 808 13601
2024 776 725 944 1043 1359 1543 1654 1569 1356 1138 931 825 13864
