Year January February March April May June July August September October November December Total
1971 503 503 503 503 503 503 503 503 503 503 503 503 6036
1972 560 560 560 560 560 560 560 560 560 560 560 560 6720
1973 586 586 586 586 586 586 586 586 586 586 586 586 7032
1974 545 545 545 545 545 545 545 545 545 545 545 545 6540
1975 536 536 536 536 536 536 536 536 536 536 536 536 6432
1976 90 90 90 90 90 90 90 90 90 90 90 90 1080
1977 107 107 107 107 107 107 107 107 107 107 107 107 1284
1978 99 99 99 99 99 99 99 99 99 99 99 99 1188
1979 198 198 198 198 198 198 198 198 198 198 198 198 2376
1980 157 157 157 157 157 157 157 157 157 157 157 157 1884
1981 148 148 148 148 148 148 148 148 148 148 148 148 1776
1982 182 182 182 182 182 182 182 182 182 182 182 182 2184
1983 140 140 140 140 140 140 140 140 140 140 140 140 1680
1984 148 148 148 148 148 148 148 148 148 148 148 148 1776
1985 83 83 83 83 83 83 83 83 83 83 83 83 996
1986 93 93 93 93 93 93 93 93 93 93 93 93 1116
1987 105 105 105 105 105 105 105 105 105 105 105 105 1260
1988 115 115 115 115 115 115 115 115 115 115 115 115 1380
1989 125 125 125 125 125 125 125 125 125 125 125 125 1500
1990 135 135 135 135 135 135 135 135 135 135 135 135 1620
1991 475 475 475 475 475 475 475 475 475 475 475 475 5700
1992 815 815 815 815 815 815 815 815 815 815 815 815 9780
1993 1154 1154 1154 1154 1154 1154 1154 1154 1154 1154 1154 1154 13848
1994 1493 1493 1493 1493 1493 1493 1493 1493 1493 1493 1493 1493 17916
1995 1833 1833 1833 1833 1833 1833 1833 1833 1833 1833 1833 1833 21996
1996 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 1466 17592
1997 1100 1100 1100 1100 1100 1100 1100 1100 1100 1100 1100 1100 13200
1998 733 733 733 733 733 733 733 733 733 733 733 733 8796
1999 367 367 367 367 367 367 367 367 367 367 367 367 4404
2000 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 0 0 0 0 0 0 0 0 0 0 0 0 0
2003 0 0 0 0 0 0 0 0 0 0 0 0 0
2004 0 0 0 0 0 0 0 0 0 0 0 0 0
2005 0 0 0 0 0 0 0 0 0 0 0 0 0
2006 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 0 0 0 0 0 0 0 0 0 0 0 0 0
2008 0 0 0 0 0 0 0 0 0 0 0 0 0
2009 0 0 0 0 0 0 0 0 0 0 0 0 0
2010 0 0 0 0 0 0 0 0 0 0 0 0 0
2011 2 2 2 2 2 2 2 2 2 2 2 2 24
2012 3 3 3 3 3 3 3 3 3 3 3 3 36
2013 5 5 5 5 5 5 5 5 5 5 5 5 60
2014 6 6 6 6 6 6 6 6 6 6 6 6 72
2015 8 8 8 8 8 8 8 8 8 8 8 8 96
2016 8 8 8 8 8 8 8 8 8 8 8 8 96
2017 8 8 8 8 8 8 8 8 8 8 8 8 96
2018 8 8 8 8 8 8 8 8 8 8 8 8 96
2019 8 8 8 8 8 8 8 8 8 8 8 8 96
2020 8 8 8 8 8 8 8 8 8 8 8 8 96
2021 8 8 8 8 8 8 8 8 8 8 8 8 96
2022 8 8 8 8 8 8 8 8 8 8 8 8 96
2023 8 8 8 8 8 8 8 8 8 8 8 8 96
2024 8 8 8 8 8 8 8 8 8 8 8 8 96
