Year January February March April May June July August September October November December Total
1971 58 70 132 177 229 259 265 184 172 131 89 48 1814
1972 58 78 132 179 235 244 265 228 180 81 64 51 1795
1973 51 42 76 180 233 256 266 227 192 143 76 62 1804
1974 29 78 116 181 235 259 248 230 185 120 85 47 1813
1975 57 73 113 170 234 259 259 241 172 138 79 53 1848
1976 58 26 125 160 229 259 249 243 105 118 81 60 1713
1977 38 78 126 178 224 257 260 201 177 129 87 46 1801
1978 -8 37 75 168 233 259 261 229 189 107 53 24 1627
1979 3 69 87 180 227 257 245 208 189 140 89 54 1748
1980 3 10 103 172 228 258 256 230 185 141 89 60 1735
1981 52 67 94 179 229 257 260 231 173 128 74 63 1807
1982 46 58 95 178 225 259 261 184 181 141 73 12 1713
1983 43 57 82 175 235 259 263 158 147 123 85 42 1669
1984 58 78 132 176 235 257 211 201 178 142 67 -19 1716
1985 37 69 123 174 235 257 254 245 166 123 42 56 1781
1986 51 57 107 176 234 257 247 220 167 126 76 39 1757
1987 48 66 125 178 232 254 262 232 176 117 58 43 1791
1988 34 61 131 141 235 258 257 169 191 141 84 59 1761
1989 28 77 124 181 233 259 259 235 192 136 89 58 1871
1990 31 70 122 172 227 253 243 221 163 138 86 61 1787
1991 40 65 64 181 234 257 266 231 180 135 80 48 1781
1992 31 24 45 174 216 259 266 215 192 118 89 4 1633
1993 -51 -1 112 180 233 257 271 228 192 135 69 60 1685
1994 58 63 98 178 226 259 259 235 187 139 80 22 1804
1995 -1 55 109 169 232 259 266 239 188 143 88 61 1808
1996 57 65 126 181 234 259 267 233 175 141 79 59 1876
1997 26 68 132 173 235 257 259 231 126 143 85 27 1762
1998 49 -2 108 173 232 259 252 223 153 139 75 57 1718
1999 56 64 130 152 234 255 233 240 171 143 89 63 1830
2000 58 66 117 180 235 251 271 216 192 112 89 63 1850
2001 25 49 104 175 235 259 259 230 189 138 86 56 1805
2002 58 78 128 181 235 259 266 245 173 134 80 59 1896
2003 49 21 109 176 235 259 263 224 177 143 77 53 1786
2004 57 55 123 155 235 259 264 231 177 65 39 32 1692
2005 -2 -3 119 174 235 257 260 204 188 119 88 63 1702
2006 58 77 116 178 235 256 249 229 168 122 89 63 1840
2007 54 74 123 181 235 259 252 236 180 140 87 29 1850
2008 22 71 131 181 224 259 252 218 183 143 65 30 1779
2009 57 54 132 178 235 258 264 238 182 143 89 41 1871
2010 -24 52 110 179 235 258 263 230 191 126 89 24 1733
2011 58 44 124 174 233 259 251 241 172 136 72 44 1808
2012 58 76 123 174 235 259 235 210 174 131 89 33 1797
2013 35 75 124 180 235 259 243 209 155 142 56 59 1772
2014 58 78 123 179 235 259 241 192 155 138 89 41 1788
2015 36 73 101 177 224 254 248 234 177 117 86 57 1784
2016 26 68 118 143 209 235 237 191 166 127 75 7 1602
2017 20 38 115 163 208 236 231 206 157 130 80 56 1640
2018 40 68 111 163 214 234 219 211 174 90 79 46 1649
2019 15 36 108 156 209 236 244 221 158 130 24 34 1571
2020 52 53 47 155 215 236 246 221 175 130 80 56 1666
2021 27 70 114 161 215 233 221 200 171 122 80 33 1647
2022 52 68 115 163 215 234 228 174 158 120 70 42 1639
2023 21 56 88 163 213 236 247 201 154 130 77 44 1630
2024 31 40 94 154 215 235 245 220 171 130 80 56 1671
