Year January February March April May June July August September October November December Total
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 0 0 0 0 0 0 0 0 0
1977 0 0 0 0 0 0 0 0 0 0 0 0 0
1978 0 0 0 0 0 0 0 0 0 0 0 0 0
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 0 0 0 0 0 0 0 0 0 0 0 0 0
1988 0 0 0 0 0 0 0 0 0 0 0 0 0
1989 0 0 0 0 0 0 0 0 0 0 0 0 0
1990 0 0 0 0 0 0 0 0 0 0 0 0 0
1991 0 0 0 0 0 0 0 0 0 0 0 0 0
1992 0 0 0 0 0 0 0 0 0 0 0 0 0
1993 0 0 0 0 0 0 0 0 0 0 0 0 0
1994 0 0 0 0 0 0 0 0 0 0 0 0 0
1995 0 0 0 0 0 0 0 0 0 0 0 0 0
1996 0 0 0 0 0 0 0 0 0 0 0 0 0
1997 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 0 0 0 0 0 0 0 0 0 0 0 0 0
2003 11 88 1 28 99 125 250 266 195 196 31 8 1298
2004 55 124 42 28 137 151 252 248 102 25 0 7 1171
2005 7 0 5 0 0 108 260 250 69 7 20 85 811
2006 0 0 0 1 0 9 114 339 301 300 201 181 1446
2007 125 56 0 9 185 348 360 351 346 111 55 82 2028
2008 61 47 27 55 16 337 369 340 345 45 4 10 1656
2009 8 0 0 18 29 304 369 362 360 134 116 14 1714
2010 0 0 0 8 13 330 378 377 340 10 0 0 1456
2011 3 0 0 6 1 288 337 368 319 4 0 0 1326
2012 0 0 7 6 92 354 375 364 345 86 3 0 1632
2013 0 2 0 34 102 365 387 388 356 180 132 227 2173
2014 191 170 61 15 127 343 379 368 350 193 146 142 2485
2015 140 0 2 12 33 371 370 384 346 174 154 167 2153
2016 102 25 0 6 37 331 374 353 316 136 108 106 1894
2017 2 3 29 40 28 361 354 368 297 206 117 38 1843
2018 3 0 37 43 24 203 274 266 266 351 171 170 1808
2019 119 69 72 189 194 256 334 327 257 54 193 121 2185
2020 200 6 5 119 142 157 267 257 239 238 243 242 2115
2021 242 145 114 315 245 178 303 256 263 279 282 262 2884
2022 285 255 46 261 233 184 242 227 215 246 178 319 2691
2023 161 274 193 231 297 204 326 332 276 340 244 335 3213
2024 161 274 193 231 297 204 326 332 276 340 244 335 3213
